year,regtyp,sex,pgpsbil,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,Urban regions,male,Secondary School Degree,0.45103,1887,4208,0.43599,0.46606
1985,Urban regions,male,Intermediate School Degree,0.14664,618,4208,0.13595,0.15733
1985,Urban regions,male,Technical School Degree,0.03936,163,4208,0.03349,0.04524
1985,Urban regions,male,Upper Secondary Degree,0.11398,482,4208,0.10438,0.12359
1985,Urban regions,male,Other Degree,0.03341,629,4208,0.02798,0.03884
1985,Urban regions,male,"Dropout, No School Degree",0.01763,284,4208,0.01365,0.02160
1985,Urban regions,male,No School Degree Yet,0.01941,91,4208,0.01524,0.02358
1985,Urban regions,male,No School Attended,0.00240,54,4208,0.00092,0.00388
1985,Urban regions,female,Secondary School Degree,0.51368,2181,4351,0.49883,0.52853
1985,Urban regions,female,Intermediate School Degree,0.19569,848,4351,0.18390,0.20748
1985,Urban regions,female,Technical School Degree,0.01846,87,4351,0.01446,0.02246
1985,Urban regions,female,Upper Secondary Degree,0.06687,306,4351,0.05945,0.07430
1985,Urban regions,female,Other Degree,0.01886,417,4351,0.01482,0.02290
1985,Urban regions,female,"Dropout, No School Degree",0.01798,349,4351,0.01403,0.02193
1985,Urban regions,female,No School Degree Yet,0.01156,64,4351,0.00839,0.01474
1985,Urban regions,female,No School Attended,0.00396,99,4351,0.00209,0.00582
1985,Rural regions,male,Secondary School Degree,0.53334,674,1114,0.50403,0.56265
1985,Rural regions,male,Intermediate School Degree,0.13385,177,1114,0.11385,0.15385
1985,Rural regions,male,Technical School Degree,0.02714,34,1114,0.01760,0.03669
1985,Rural regions,male,Upper Secondary Degree,0.06221,86,1114,0.04802,0.07640
1985,Rural regions,male,Other Degree,0.02288,101,1114,0.01410,0.03166
1985,Rural regions,male,"Dropout, No School Degree",0.01599,42,1114,0.00862,0.02336
1985,Rural regions,female,Secondary School Degree,0.56685,736,1129,0.53793,0.59577
1985,Rural regions,female,Intermediate School Degree,0.17326,236,1129,0.15117,0.19535
1985,Rural regions,female,Upper Secondary Degree,0.04005,53,1129,0.02861,0.05149
1985,Rural regions,female,Other Degree,0.01007,62,1129,0.00425,0.01590
1985,Rural regions,female,"Dropout, No School Degree",0.01206,42,1129,0.00569,0.01842
1986,Urban regions,male,Secondary School Degree,0.44359,1810,4082,0.42834,0.45883
1986,Urban regions,male,Intermediate School Degree,0.15134,613,4082,0.14035,0.16234
1986,Urban regions,male,Technical School Degree,0.04053,162,4082,0.03448,0.04658
1986,Urban regions,male,Upper Secondary Degree,0.11764,477,4082,0.10775,0.12752
1986,Urban regions,male,Other Degree,0.03372,603,4082,0.02818,0.03926
1986,Urban regions,male,"Dropout, No School Degree",0.01809,264,4082,0.01400,0.02218
1986,Urban regions,male,No School Degree Yet,0.01823,104,4082,0.01413,0.02234
1986,Urban regions,male,No School Attended,0.00228,49,4082,0.00082,0.00374
1986,Urban regions,female,Secondary School Degree,0.50486,2045,4145,0.48964,0.52008
1986,Urban regions,female,Intermediate School Degree,0.19735,827,4145,0.18523,0.20947
1986,Urban regions,female,Technical School Degree,0.02003,87,4145,0.01577,0.02430
1986,Urban regions,female,Upper Secondary Degree,0.07094,317,4145,0.06312,0.07876
1986,Urban regions,female,Other Degree,0.01846,391,4145,0.01436,0.02256
1986,Urban regions,female,"Dropout, No School Degree",0.01792,319,4145,0.01388,0.02196
1986,Urban regions,female,No School Degree Yet,0.01051,68,4145,0.00740,0.01361
1986,Urban regions,female,No School Attended,0.00386,91,4145,0.00197,0.00575
1986,Rural regions,male,Secondary School Degree,0.52331,627,1061,0.49324,0.55338
1986,Rural regions,male,Intermediate School Degree,0.13660,167,1061,0.11593,0.15727
1986,Rural regions,male,Technical School Degree,0.02598,34,1061,0.01640,0.03555
1986,Rural regions,male,Upper Secondary Degree,0.07356,94,1061,0.05784,0.08927
1986,Rural regions,male,Other Degree,0.02345,100,1061,0.01434,0.03256
1986,Rural regions,male,"Dropout, No School Degree",0.01466,39,1061,0.00743,0.02190
1986,Rural regions,female,Secondary School Degree,0.54563,687,1083,0.51596,0.57530
1986,Rural regions,female,Intermediate School Degree,0.18091,230,1083,0.15797,0.20384
1986,Rural regions,female,Upper Secondary Degree,0.04627,58,1083,0.03376,0.05879
1986,Rural regions,female,Other Degree,0.01301,65,1083,0.00626,0.01976
1986,Rural regions,female,"Dropout, No School Degree",0.01418,43,1083,0.00714,0.02123
1987,Urban regions,male,Secondary School Degree,0.44148,1805,4028,0.42614,0.45682
1987,Urban regions,male,Intermediate School Degree,0.14910,617,4028,0.13810,0.16010
1987,Urban regions,male,Technical School Degree,0.04025,156,4028,0.03417,0.04632
1987,Urban regions,male,Upper Secondary Degree,0.12041,477,4028,0.11036,0.13046
1987,Urban regions,male,Other Degree,0.03452,579,4028,0.02889,0.04016
1987,Urban regions,male,"Dropout, No School Degree",0.01835,255,4028,0.01421,0.02250
1987,Urban regions,male,No School Degree Yet,0.01393,92,4028,0.01031,0.01755
1987,Urban regions,male,No School Attended,0.00260,47,4028,0.00103,0.00417
1987,Urban regions,female,Secondary School Degree,0.50438,2010,4077,0.48903,0.51973
1987,Urban regions,female,Intermediate School Degree,0.19331,800,4077,0.18119,0.20543
1987,Urban regions,female,Technical School Degree,0.01876,81,4077,0.01459,0.02292
1987,Urban regions,female,Upper Secondary Degree,0.07430,317,4077,0.06625,0.08236
1987,Urban regions,female,Other Degree,0.01986,392,4077,0.01557,0.02414
1987,Urban regions,female,"Dropout, No School Degree",0.01775,310,4077,0.01370,0.02181
1987,Urban regions,female,No School Degree Yet,0.01196,78,4077,0.00863,0.01530
1987,Urban regions,female,No School Attended,0.00422,89,4077,0.00223,0.00621
1987,Rural regions,male,Secondary School Degree,0.51493,615,1042,0.48457,0.54529
1987,Rural regions,male,Intermediate School Degree,0.13897,170,1042,0.11796,0.15999
1987,Rural regions,male,Technical School Degree,0.02637,31,1042,0.01664,0.03611
1987,Rural regions,male,Upper Secondary Degree,0.06917,89,1042,0.05375,0.08458
1987,Rural regions,male,Other Degree,0.02568,101,1042,0.01607,0.03529
1987,Rural regions,male,"Dropout, No School Degree",0.01203,36,1042,0.00541,0.01866
1987,Rural regions,female,Secondary School Degree,0.53664,670,1069,0.50673,0.56654
1987,Rural regions,female,Intermediate School Degree,0.18594,239,1069,0.16261,0.20927
1987,Rural regions,female,Upper Secondary Degree,0.04500,52,1069,0.03257,0.05744
1987,Rural regions,female,Other Degree,0.01667,70,1069,0.00899,0.02434
