year,age_gr,sex,pgpsbil,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,17-29 y.,male,Secondary School Degree,0.42405,740,1722,0.40070,0.44740
1984,17-29 y.,male,Intermediate School Degree,0.24786,361,1722,0.22746,0.26826
1984,17-29 y.,male,Technical School Degree,0.05087,72,1722,0.04049,0.06125
1984,17-29 y.,male,Upper Secondary Degree,0.15350,215,1722,0.13647,0.17053
1984,17-29 y.,male,Other Degree,0.03021,155,1722,0.02212,0.03829
1984,17-29 y.,male,"Dropout, No School Degree",0.02496,78,1722,0.01759,0.03234
1984,17-29 y.,male,No School Degree Yet,0.06498,101,1722,0.05333,0.07662
1984,17-29 y.,female,Secondary School Degree,0.37752,628,1678,0.35432,0.40072
1984,17-29 y.,female,Intermediate School Degree,0.33779,461,1678,0.31516,0.36043
1984,17-29 y.,female,Technical School Degree,0.03486,50,1678,0.02608,0.04364
1984,17-29 y.,female,Upper Secondary Degree,0.12879,179,1678,0.11276,0.14482
1984,17-29 y.,female,Other Degree,0.02432,152,1678,0.01695,0.03169
1984,17-29 y.,female,"Dropout, No School Degree",0.02602,108,1678,0.01840,0.03364
1984,17-29 y.,female,No School Degree Yet,0.06456,100,1678,0.05280,0.07632
1984,30-45 y.,male,Secondary School Degree,0.55647,785,1896,0.53410,0.57884
1984,30-45 y.,male,Intermediate School Degree,0.16596,242,1896,0.14921,0.18271
1984,30-45 y.,male,Technical School Degree,0.04748,71,1896,0.03791,0.05706
1984,30-45 y.,male,Upper Secondary Degree,0.13646,196,1896,0.12101,0.15192
1984,30-45 y.,male,Other Degree,0.06621,446,1896,0.05501,0.07740
1984,30-45 y.,male,"Dropout, No School Degree",0.02183,156,1896,0.01525,0.02841
1984,30-45 y.,female,Secondary School Degree,0.60518,900,1945,0.58345,0.62691
1984,30-45 y.,female,Intermediate School Degree,0.20978,317,1945,0.19169,0.22788
1984,30-45 y.,female,Technical School Degree,0.02322,35,1945,0.01653,0.02992
1984,30-45 y.,female,Upper Secondary Degree,0.07579,116,1945,0.06402,0.08755
1984,30-45 y.,female,Other Degree,0.04103,311,1945,0.03221,0.04985
1984,30-45 y.,female,"Dropout, No School Degree",0.02820,193,1945,0.02084,0.03556
1984,30-45 y.,female,No School Attended,0.01046,73,1945,0.00594,0.01498
1984,46-65 y.,male,Secondary School Degree,0.69219,954,1762,0.67063,0.71375
1984,46-65 y.,male,Intermediate School Degree,0.11697,165,1762,0.10195,0.13198
1984,46-65 y.,male,Technical School Degree,0.03899,55,1762,0.02995,0.04803
1984,46-65 y.,male,Upper Secondary Degree,0.09213,131,1762,0.07862,0.10564
