year,sampreg,pgpsbil,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,West,Secondary School Degree,0.50686,6111,12073,0.49795,0.51578
1984,West,Intermediate School Degree,0.15768,1957,12073,0.15118,0.16418
1984,West,Technical School Degree,0.02600,328,12073,0.02316,0.02884
1984,West,Upper Secondary Degree,0.07669,965,12073,0.07195,0.08144
1984,West,Other Degree,0.02351,1430,12073,0.02081,0.02622
1984,West,"Dropout, No School Degree",0.01672,871,12073,0.01444,0.01901
1984,West,No School Degree Yet,0.01334,201,12073,0.01129,0.01538
1984,West,No School Attended,0.00292,210,12073,0.00195,0.00388
1985,West,Secondary School Degree,0.50040,5478,10879,0.49100,0.50979
1985,West,Intermediate School Degree,0.16789,1879,10879,0.16087,0.17492
1985,West,Technical School Degree,0.02642,301,10879,0.02340,0.02943
1985,West,Upper Secondary Degree,0.07976,927,10879,0.07466,0.08485
1985,West,Other Degree,0.02342,1209,10879,0.02058,0.02626
1985,West,"Dropout, No School Degree",0.01686,717,10879,0.01444,0.01928
1985,West,No School Degree Yet,0.01485,192,10879,0.01258,0.01712
1985,West,No School Attended,0.00279,176,10879,0.00180,0.00378
1986,West,Secondary School Degree,0.49009,5169,10437,0.48050,0.49969
1986,West,Intermediate School Degree,0.17154,1837,10437,0.16431,0.17877
1986,West,Technical School Degree,0.02764,303,10437,0.02449,0.03078
1986,West,Upper Secondary Degree,0.08496,946,10437,0.07961,0.09031
1986,West,Other Degree,0.02386,1159,10437,0.02093,0.02679
1986,West,"Dropout, No School Degree",0.01712,665,10437,0.01463,0.01961
1986,West,No School Degree Yet,0.01258,196,10437,0.01044,0.01472
1986,West,No School Attended,0.00275,162,10437,0.00174,0.00375
1987,West,Secondary School Degree,0.48686,5100,10288,0.47720,0.49652
1987,West,Intermediate School Degree,0.16999,1826,10288,0.16273,0.17725
1987,West,Technical School Degree,0.02721,290,10288,0.02406,0.03035
1987,West,Upper Secondary Degree,0.08673,935,10288,0.08129,0.09217
1987,West,Other Degree,0.02546,1142,10288,0.02241,0.02850
1987,West,"Dropout, No School Degree",0.01634,639,10288,0.01389,0.01879
1987,West,No School Degree Yet,0.01152,197,10288,0.00945,0.01358
1987,West,No School Attended,0.00300,159,10288,0.00195,0.00406
1988,West,Secondary School Degree,0.48541,4872,9780,0.47550,0.49532
1988,West,Intermediate School Degree,0.17080,1764,9780,0.16334,0.17826
1988,West,Technical School Degree,0.02729,277,9780,0.02407,0.03052
1988,West,Upper Secondary Degree,0.08894,901,9780,0.08329,0.09458
1988,West,Other Degree,0.02326,1065,9780,0.02027,0.02625
1988,West,"Dropout, No School Degree",0.01516,582,9780,0.01274,0.01758
1988,West,No School Degree Yet,0.01176,167,9780,0.00963,0.01390
1988,West,No School Attended,0.00282,152,9780,0.00177,0.00387
1989,West,Secondary School Degree,0.47629,4652,9471,0.46623,0.48635
1989,West,Intermediate School Degree,0.16992,1710,9471,0.16235,0.17748
1989,West,Technical School Degree,0.02824,279,9471,0.02490,0.03158
1989,West,Upper Secondary Degree,0.09362,924,9471,0.08775,0.09948
1989,West,Other Degree,0.02492,1026,9471,0.02178,0.02806
1989,West,"Dropout, No School Degree",0.01566,557,9471,0.01316,0.01816
1989,West,No School Degree Yet,0.01396,178,9471,0.01160,0.01633
1989,West,No School Attended,0.00294,145,9471,0.00185,0.00403
1990,West,Secondary School Degree,0.46670,4525,9252,0.45654,0.47687
1990,West,Intermediate School Degree,0.17118,1682,9252,0.16350,0.17885
1990,West,Technical School Degree,0.02864,283,9252,0.02524,0.03204
1990,West,Upper Secondary Degree,0.09558,919,9252,0.08959,0.10157
1990,West,Other Degree,0.02693,1005,9252,0.02363,0.03023
1990,West,"Dropout, No School Degree",0.01660,532,9252,0.01400,0.01921
