year,pgisced97,sampreg,pgpsbil,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Pre-primary Level,West,No School Degree Yet,0.96435,187,187,0.93770,0.99099
1984,Primary Level,West,"Dropout, No School Degree",0.74358,760,962,0.71597,0.77119
1984,Primary Level,West,No School Attended,0.14568,202,962,0.12338,0.16799
1984,Lower Secondary Level,West,Secondary School Degree,0.80087,2258,3448,0.78754,0.81420
1984,Lower Secondary Level,West,Intermediate School Degree,0.15680,477,3448,0.14467,0.16894
1984,Lower Secondary Level,West,Other Degree,0.04120,713,3448,0.03456,0.04783
1984,Upper Secondary Level,West,Secondary School Degree,0.68559,3525,5675,0.67350,0.69767
1984,Upper Secondary Level,West,Intermediate School Degree,0.23085,1200,5675,0.21989,0.24182
1984,Upper Secondary Level,West,Technical School Degree,0.00683,40,5675,0.00469,0.00898
1984,Upper Secondary Level,West,Upper Secondary Degree,0.04923,275,5675,0.04360,0.05486
1984,Upper Secondary Level,West,Other Degree,0.02064,527,5675,0.01694,0.02434
1984,Upper Secondary Level,West,"Dropout, No School Degree",0.00489,108,5675,0.00307,0.00670
1984,Post-secondary Non-tertiary Level,West,Technical School Degree,0.37444,88,302,0.31977,0.42912
1984,Post-secondary Non-tertiary Level,West,Upper Secondary Degree,0.52567,113,302,0.46925,0.58208
1984,Post-secondary Non-tertiary Level,West,Other Degree,0.09610,101,302,0.06280,0.12940
1984,First Stage of Tertiary Education,West,Secondary School Degree,0.46083,297,647,0.42239,0.49927
1984,First Stage of Tertiary Education,West,Intermediate School Degree,0.31341,210,647,0.27764,0.34919
1984,First Stage of Tertiary Education,West,Technical School Degree,0.10543,70,647,0.08175,0.12911
1984,First Stage of Tertiary Education,West,Upper Secondary Degree,0.11112,70,647,0.08688,0.13535
1984,Second Stage of Tertiary Education,West,Intermediate School Degree,0.09482,68,763,0.07402,0.11562
1984,Second Stage of Tertiary Education,West,Technical School Degree,0.17739,130,763,0.15027,0.20451
1984,Second Stage of Tertiary Education,West,Upper Secondary Degree,0.67394,507,763,0.64065,0.70722
1984,Second Stage of Tertiary Education,West,Other Degree,0.01909,58,763,0.00938,0.02881
1985,Pre-primary Level,West,No School Degree Yet,0.99798,187,187,0.99152,1.00443
1985,Primary Level,West,"Dropout, No School Degree",0.73376,628,796,0.70303,0.76448
1985,Primary Level,West,No School Attended,0.13095,168,796,0.10750,0.15440
1985,Lower Secondary Level,West,Secondary School Degree,0.78516,1998,3061,0.77061,0.79972
1985,Lower Secondary Level,West,Intermediate School Degree,0.17495,474,3061,0.16149,0.18841
1985,Lower Secondary Level,West,Other Degree,0.03983,589,3061,0.03291,0.04676
1985,Upper Secondary Level,West,Secondary School Degree,0.67645,3176,5149,0.66367,0.68923
1985,Upper Secondary Level,West,Intermediate School Degree,0.24219,1143,5149,0.23049,0.25389
1985,Upper Secondary Level,West,Technical School Degree,0.00734,42,5149,0.00501,0.00967
1985,Upper Secondary Level,West,Upper Secondary Degree,0.04667,253,5149,0.04091,0.05244
1985,Upper Secondary Level,West,Other Degree,0.02012,449,5149,0.01629,0.02396
1985,Upper Secondary Level,West,"Dropout, No School Degree",0.00477,86,5149,0.00289,0.00665
1985,Post-secondary Non-tertiary Level,West,Technical School Degree,0.37017,77,271,0.31258,0.42777
1985,Post-secondary Non-tertiary Level,West,Upper Secondary Degree,0.54590,112,271,0.48651,0.60529
1985,Post-secondary Non-tertiary Level,West,Other Degree,0.08125,82,271,0.04866,0.11384
1985,First Stage of Tertiary Education,West,Secondary School Degree,0.45455,278,608,0.41494,0.49416
1985,First Stage of Tertiary Education,West,Intermediate School Degree,0.31538,199,608,0.27841,0.35235
1985,First Stage of Tertiary Education,West,Technical School Degree,0.09712,60,608,0.07356,0.12067
1985,First Stage of Tertiary Education,West,Upper Secondary Degree,0.12280,71,608,0.09669,0.14891
1985,Second Stage of Tertiary Education,West,Intermediate School Degree,0.09024,62,728,0.06941,0.11107
1985,Second Stage of Tertiary Education,West,Technical School Degree,0.17308,122,728,0.14558,0.20058
1985,Second Stage of Tertiary Education,West,Upper Secondary Degree,0.67912,491,728,0.64519,0.71306
1985,Second Stage of Tertiary Education,West,Other Degree,0.01987,53,728,0.00973,0.03002
1986,Primary Level,West,"Dropout, No School Degree",0.72980,581,736,0.69770,0.76191
1986,Primary Level,West,No School Attended,0.12725,155,736,0.10316,0.15134
1986,Lower Secondary Level,West,Secondary School Degree,0.77555,1874,2907,0.76038,0.79072
1986,Lower Secondary Level,West,Intermediate School Degree,0.18085,465,2907,0.16686,0.19484
1986,Lower Secondary Level,West,Other Degree,0.04310,568,2907,0.03572,0.05048
1986,Upper Secondary Level,West,Secondary School Degree,0.66144,3010,4965,0.64828,0.67460
1986,Upper Secondary Level,West,Intermediate School Degree,0.24957,1131,4965,0.23753,0.26161
1986,Upper Secondary Level,West,Technical School Degree,0.00929,47,4965,0.00662,0.01195
1986,Upper Secondary Level,West,Upper Secondary Degree,0.05276,272,4965,0.04654,0.05898
1986,Upper Secondary Level,West,Other Degree,0.01947,423,4965,0.01562,0.02331
1986,Upper Secondary Level,West,"Dropout, No School Degree",0.00489,82,4965,0.00295,0.00683
1986,Post-secondary Non-tertiary Level,West,Technical School Degree,0.37216,79,267,0.31407,0.43025
1986,Post-secondary Non-tertiary Level,West,Upper Secondary Degree,0.54085,110,267,0.48096,0.60073
1986,Post-secondary Non-tertiary Level,West,Other Degree,0.08271,78,267,0.04961,0.11581
1986,First Stage of Tertiary Education,West,Secondary School Degree,0.45966,261,570,0.41871,0.50061
1986,First Stage of Tertiary Education,West,Intermediate School Degree,0.29569,178,570,0.25819,0.33318
