year,sampreg,sex,pgpsbil,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,West,male,Secondary School Degree,0.58833,2844,5910,0.57579,0.60088
1984,West,male,Intermediate School Degree,0.16801,832,5910,0.15848,0.17755
1984,West,male,Technical School Degree,0.04396,214,5910,0.03873,0.04919
1984,West,male,Upper Secondary Degree,0.12155,592,5910,0.11322,0.12989
1984,West,male,Other Degree,0.03751,854,5910,0.03267,0.04236
1984,West,male,"Dropout, No School Degree",0.02087,403,5910,0.01722,0.02451
1984,West,male,No School Degree Yet,0.01749,101,5910,0.01415,0.02084
1984,West,male,No School Attended,0.00226,70,5910,0.00105,0.00348
1984,West,female,Secondary School Degree,0.63925,3267,6163,0.62726,0.65124
1984,West,female,Intermediate School Degree,0.21217,1125,6163,0.20196,0.22238
1984,West,female,Technical School Degree,0.02057,114,6163,0.01703,0.02412
1984,West,female,Upper Secondary Degree,0.06790,373,6163,0.06162,0.07418
1984,West,female,Other Degree,0.02060,576,6163,0.01705,0.02415
1984,West,female,"Dropout, No School Degree",0.01980,468,6163,0.01632,0.02328
1984,West,female,No School Degree Yet,0.01504,100,6163,0.01200,0.01807
1984,West,female,No School Attended,0.00467,140,6163,0.00297,0.00637
1985,West,male,Secondary School Degree,0.57406,2561,5352,0.56081,0.58731
1985,West,male,Intermediate School Degree,0.17467,795,5352,0.16450,0.18485
1985,West,male,Technical School Degree,0.04423,197,5352,0.03872,0.04974
1985,West,male,Upper Secondary Degree,0.12312,568,5352,0.11432,0.13193
1985,West,male,Other Degree,0.03749,730,5352,0.03240,0.04258
1985,West,male,"Dropout, No School Degree",0.02097,326,5352,0.01713,0.02481
1985,West,male,No School Degree Yet,0.02297,114,5352,0.01895,0.02698
1985,West,male,No School Attended,0.00249,61,5352,0.00115,0.00382
1985,West,female,Secondary School Degree,0.62526,2917,5527,0.61250,0.63802
1985,West,female,Intermediate School Degree,0.22573,1084,5527,0.21471,0.23676
1985,West,female,Technical School Degree,0.02063,104,5527,0.01688,0.02438
1985,West,female,Upper Secondary Degree,0.07154,359,5527,0.06475,0.07834
1985,West,female,Other Degree,0.01982,479,5527,0.01615,0.02350
1985,West,female,"Dropout, No School Degree",0.01961,391,5527,0.01596,0.02327
1985,West,female,No School Degree Yet,0.01328,78,5527,0.01026,0.01630
1985,West,female,No School Attended,0.00412,115,5527,0.00243,0.00581
1986,West,male,Secondary School Degree,0.56363,2437,5166,0.55011,0.57716
1986,West,male,Intermediate School Degree,0.17985,780,5166,0.16937,0.19032
1986,West,male,Technical School Degree,0.04501,196,5166,0.03936,0.05067
1986,West,male,Upper Secondary Degree,0.13011,571,5166,0.12094,0.13929
1986,West,male,Other Degree,0.03800,703,5166,0.03278,0.04321
1986,West,male,"Dropout, No School Degree",0.02100,303,5166,0.01709,0.02491
1986,West,male,No School Degree Yet,0.02000,120,5166,0.01618,0.02382
1986,West,male,No School Attended,0.00240,56,5166,0.00106,0.00373
1986,West,female,Secondary School Degree,0.61381,2732,5271,0.60067,0.62696
1986,West,female,Intermediate School Degree,0.23047,1057,5271,0.21910,0.24184
1986,West,female,Technical School Degree,0.02276,107,5271,0.01873,0.02678
