year,migback,pgisced97,pgpsbil,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,No migration background,Primary Level,"Dropout, No School Degree",0.75588,58,58,0.64436,0.86740
1984,No migration background,Lower Secondary Level,Secondary School Degree,0.83711,1928,2337,0.82213,0.85208
1984,No migration background,Lower Secondary Level,Intermediate School Degree,0.16283,409,2337,0.14785,0.17780
1984,No migration background,Upper Secondary Level,Secondary School Degree,0.70270,3207,4602,0.68949,0.71591
1984,No migration background,Upper Secondary Level,Intermediate School Degree,0.23663,1116,4602,0.22435,0.24891
1984,No migration background,Upper Secondary Level,Technical School Degree,0.00702,33,4602,0.00460,0.00943
1984,No migration background,Upper Secondary Level,Upper Secondary Degree,0.04930,246,4602,0.04305,0.05556
1984,No migration background,Post-secondary Non-tertiary Level,Technical School Degree,0.40392,77,183,0.33263,0.47521
1984,No migration background,Post-secondary Non-tertiary Level,Upper Secondary Degree,0.59471,106,183,0.52338,0.66603
1984,No migration background,First Stage of Tertiary Education,Secondary School Degree,0.47212,281,599,0.43211,0.51213
1984,No migration background,First Stage of Tertiary Education,Intermediate School Degree,0.31497,194,599,0.27774,0.35220
1984,No migration background,First Stage of Tertiary Education,Technical School Degree,0.10217,62,599,0.07790,0.12645
1984,No migration background,First Stage of Tertiary Education,Upper Secondary Degree,0.10430,62,599,0.07980,0.12879
1984,No migration background,Second Stage of Tertiary Education,Intermediate School Degree,0.10050,65,642,0.07722,0.12377
1984,No migration background,Second Stage of Tertiary Education,Technical School Degree,0.18280,120,642,0.15288,0.21272
1984,No migration background,Second Stage of Tertiary Education,Upper Secondary Degree,0.67620,457,642,0.63997,0.71242
1984,Direct migration background,Primary Level,"Dropout, No School Degree",0.73779,699,899,0.70902,0.76656
1984,Direct migration background,Primary Level,No School Attended,0.21889,200,899,0.19185,0.24594
1984,Direct migration background,Lower Secondary Level,Secondary School Degree,0.48163,297,1057,0.45150,0.51177
1984,Direct migration background,Lower Secondary Level,Intermediate School Degree,0.09646,52,1057,0.07866,0.11427
1984,Direct migration background,Lower Secondary Level,Other Degree,0.42191,708,1057,0.39212,0.45169
1984,Direct migration background,Upper Secondary Level,Secondary School Degree,0.47539,287,972,0.44398,0.50680
1984,Direct migration background,Upper Secondary Level,Intermediate School Degree,0.15523,74,972,0.13245,0.17800
1984,Direct migration background,Upper Secondary Level,Other Degree,0.26479,512,972,0.23704,0.29254
1984,Direct migration background,Upper Secondary Level,"Dropout, No School Degree",0.04728,99,972,0.03393,0.06063
1984,Direct migration background,Post-secondary Non-tertiary Level,Other Degree,0.62496,100,100,0.52960,0.72033
1984,Direct migration background,Second Stage of Tertiary Education,Upper Secondary Degree,0.63029,47,102,0.53615,0.72444
1984,Direct migration background,Second Stage of Tertiary Education,Other Degree,0.16091,55,102,0.08925,0.23257
1984,Indirect migration background,Lower Secondary Level,Secondary School Degree,0.65697,33,33,0.49249,0.82145
1984,Indirect migration background,Upper Secondary Level,Secondary School Degree,0.60798,31,31,0.43328,0.78268
1985,No migration background,Primary Level,"Dropout, No School Degree",0.73093,60,60,0.61777,0.84409
1985,No migration background,Lower Secondary Level,Secondary School Degree,0.81782,1689,2091,0.80127,0.83437
1985,No migration background,Lower Secondary Level,Intermediate School Degree,0.18218,402,2091,0.16563,0.19873
1985,No migration background,Upper Secondary Level,Secondary School Degree,0.69233,2869,4189,0.67836,0.70631
1985,No migration background,Upper Secondary Level,Intermediate School Degree,0.24830,1062,4189,0.23521,0.26138
1985,No migration background,Upper Secondary Level,Technical School Degree,0.00746,33,4189,0.00486,0.01007
1985,No migration background,Upper Secondary Level,Upper Secondary Degree,0.04678,225,4189,0.04039,0.05318
1985,No migration background,Post-secondary Non-tertiary Level,Technical School Degree,0.39195,69,172,0.31878,0.46513
1985,No migration background,Post-secondary Non-tertiary Level,Upper Secondary Degree,0.60659,103,172,0.53337,0.67981
1985,No migration background,First Stage of Tertiary Education,Secondary School Degree,0.46272,261,563,0.42150,0.50395
1985,No migration background,First Stage of Tertiary Education,Intermediate School Degree,0.31418,183,563,0.27580,0.35255
1985,No migration background,First Stage of Tertiary Education,Technical School Degree,0.09791,55,563,0.07334,0.12249
1985,No migration background,First Stage of Tertiary Education,Upper Secondary Degree,0.11754,64,563,0.09091,0.14417
1985,No migration background,Second Stage of Tertiary Education,Intermediate School Degree,0.09598,59,618,0.07274,0.11923
1985,No migration background,Second Stage of Tertiary Education,Technical School Degree,0.18032,113,618,0.14998,0.21065
1985,No migration background,Second Stage of Tertiary Education,Upper Secondary Degree,0.68438,446,618,0.64770,0.72105
1985,Direct migration background,Primary Level,"Dropout, No School Degree",0.74182,564,730,0.71005,0.77359
1985,Direct migration background,Primary Level,No School Attended,0.21865,166,730,0.18864,0.24865
1985,Direct migration background,Lower Secondary Level,Secondary School Degree,0.50174,273,911,0.46925,0.53422
1985,Direct migration background,Lower Secondary Level,Intermediate School Degree,0.10558,53,911,0.08561,0.12555
1985,Direct migration background,Lower Secondary Level,Other Degree,0.39268,585,911,0.36095,0.42441
1985,Direct migration background,Upper Secondary Level,Secondary School Degree,0.49471,272,852,0.46112,0.52831
1985,Direct migration background,Upper Secondary Level,Intermediate School Degree,0.16380,71,852,0.13893,0.18866
1985,Direct migration background,Upper Secondary Level,Other Degree,0.24555,433,852,0.21663,0.27446
1985,Direct migration background,Upper Secondary Level,"Dropout, No School Degree",0.03931,76,852,0.02625,0.05237
1985,Direct migration background,Post-secondary Non-tertiary Level,Other Degree,0.59344,81,81,0.48580,0.70107
1985,Direct migration background,Second Stage of Tertiary Education,Upper Secondary Degree,0.61873,42,92,0.51894,0.71853
1985,Direct migration background,Second Stage of Tertiary Education,Other Degree,0.17227,50,92,0.09468,0.24986
1985,Indirect migration background,Lower Secondary Level,Secondary School Degree,0.61934,36,36,0.45848,0.78021
1985,Indirect migration background,Upper Secondary Level,Secondary School Degree,0.59439,35,35,0.42934,0.75944
1986,No migration background,Primary Level,"Dropout, No School Degree",0.72009,60,60,0.60553,0.83465
1986,No migration background,Lower Secondary Level,Secondary School Degree,0.81037,1545,1931,0.79288,0.82786
1986,No migration background,Lower Secondary Level,Intermediate School Degree,0.18963,386,1931,0.17214,0.20712
1986,No migration background,Upper Secondary Level,Secondary School Degree,0.67573,2701,4031,0.66128,0.69019
1986,No migration background,Upper Secondary Level,Intermediate School Degree,0.25647,1050,4031,0.24298,0.26995
1986,No migration background,Upper Secondary Level,Technical School Degree,0.00974,40,4031,0.00671,0.01277
1986,No migration background,Upper Secondary Level,Upper Secondary Degree,0.05296,240,4031,0.04604,0.05987
1986,No migration background,Post-secondary Non-tertiary Level,Technical School Degree,0.40123,70,169,0.32711,0.47535
1986,No migration background,Post-secondary Non-tertiary Level,Upper Secondary Degree,0.59733,99,169,0.52317,0.67149
1986,No migration background,First Stage of Tertiary Education,Secondary School Degree,0.46813,241,521,0.42525,0.51102
1986,No migration background,First Stage of Tertiary Education,Intermediate School Degree,0.29359,162,521,0.25445,0.33274
1986,No migration background,First Stage of Tertiary Education,Technical School Degree,0.09515,51,521,0.06993,0.12037
1986,No migration background,First Stage of Tertiary Education,Upper Secondary Degree,0.13481,67,521,0.10545,0.16416
1986,No migration background,Second Stage of Tertiary Education,Intermediate School Degree,0.09760,58,615,0.07413,0.12108
1986,No migration background,Second Stage of Tertiary Education,Technical School Degree,0.18049,111,615,0.15007,0.21091
1986,No migration background,Second Stage of Tertiary Education,Upper Secondary Degree,0.68963,446,615,0.65303,0.72622
1986,Direct migration background,Primary Level,"Dropout, No School Degree",0.74631,517,670,0.71334,0.77928
1986,Direct migration background,Primary Level,No School Attended,0.21811,153,670,0.18681,0.24940
1986,Direct migration background,Lower Secondary Level,Secondary School Degree,0.51164,289,916,0.47925,0.54403
1986,Direct migration background,Lower Secondary Level,Intermediate School Degree,0.10950,63,916,0.08927,0.12973
1986,Direct migration background,Lower Secondary Level,Other Degree,0.37886,564,916,0.34742,0.41029
1986,Direct migration background,Upper Secondary Level,Secondary School Degree,0.50809,273,823,0.47391,0.54227
1986,Direct migration background,Upper Secondary Level,Intermediate School Degree,0.16197,69,823,0.13678,0.18716
1986,Direct migration background,Upper Secondary Level,Other Degree,0.23442,410,823,0.20546,0.26338
1986,Direct migration background,Upper Secondary Level,"Dropout, No School Degree",0.03655,71,823,0.02372,0.04937
