year,regtyp,sampreg,pgpsbil,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,Urban regions,West,Secondary School Degree,0.48385,4068,8559,0.47326,0.49444
1985,Urban regions,West,Intermediate School Degree,0.17234,1466,8559,0.16433,0.18034
1985,Urban regions,West,Technical School Degree,0.02841,250,8559,0.02489,0.03193
1985,Urban regions,West,Upper Secondary Degree,0.08930,788,8559,0.08326,0.09535
1985,Urban regions,West,Other Degree,0.02579,1046,8559,0.02243,0.02915
1985,Urban regions,West,"Dropout, No School Degree",0.01781,633,8559,0.01501,0.02062
1985,Urban regions,West,No School Degree Yet,0.01530,155,8559,0.01270,0.01790
1985,Urban regions,West,No School Attended,0.00322,153,8559,0.00202,0.00442
1985,Rural regions,West,Secondary School Degree,0.55079,1410,2297,0.53044,0.57113
1985,Rural regions,West,Intermediate School Degree,0.15437,413,2297,0.13959,0.16915
1985,Rural regions,West,Technical School Degree,0.02034,51,2297,0.01457,0.02611
1985,Rural regions,West,Upper Secondary Degree,0.05067,139,2297,0.04170,0.05964
1985,Rural regions,West,Other Degree,0.01621,163,2297,0.01105,0.02138
1985,Rural regions,West,"Dropout, No School Degree",0.01394,84,2297,0.00914,0.01874
1985,Rural regions,West,No School Degree Yet,0.01348,37,2297,0.00876,0.01819
1986,Urban regions,West,Secondary School Degree,0.47555,3855,8227,0.46476,0.48634
1986,Urban regions,West,Intermediate School Degree,0.17534,1440,8227,0.16713,0.18356
1986,Urban regions,West,Technical School Degree,0.02984,249,8227,0.02616,0.03351
1986,Urban regions,West,Upper Secondary Degree,0.09328,794,8227,0.08699,0.09956
1986,Urban regions,West,Other Degree,0.02576,994,8227,0.02234,0.02918
1986,Urban regions,West,"Dropout, No School Degree",0.01800,583,8227,0.01513,0.02087
1986,Urban regions,West,No School Degree Yet,0.01420,172,8227,0.01165,0.01676
1986,Urban regions,West,No School Attended,0.00310,140,8227,0.00190,0.00431
1986,Rural regions,West,Secondary School Degree,0.53500,1314,2164,0.51398,0.55602
1986,Rural regions,West,Intermediate School Degree,0.15980,397,2164,0.14436,0.17524
1986,Rural regions,West,Technical School Degree,0.02085,54,2164,0.01483,0.02687
1986,Rural regions,West,Upper Secondary Degree,0.05927,152,2164,0.04932,0.06922
1986,Rural regions,West,Other Degree,0.01798,165,2164,0.01238,0.02358
1986,Rural regions,West,"Dropout, No School Degree",0.01441,82,2164,0.00939,0.01943
1987,Urban regions,West,Secondary School Degree,0.47420,3815,8105,0.46333,0.48507
1987,Urban regions,West,Intermediate School Degree,0.17210,1417,8105,0.16388,0.18031
1987,Urban regions,West,Technical School Degree,0.02907,237,8105,0.02541,0.03272
1987,Urban regions,West,Upper Secondary Degree,0.09643,794,8105,0.09000,0.10285
1987,Urban regions,West,Other Degree,0.02689,971,8105,0.02337,0.03042
1987,Urban regions,West,"Dropout, No School Degree",0.01804,565,8105,0.01514,0.02094
1987,Urban regions,West,No School Degree Yet,0.01291,170,8105,0.01045,0.01537
1987,Urban regions,West,No School Attended,0.00344,136,8105,0.00217,0.00472
1987,Rural regions,West,Secondary School Degree,0.52624,1285,2133,0.50504,0.54743
1987,Rural regions,West,Intermediate School Degree,0.16343,409,2133,0.14774,0.17913
1987,Rural regions,West,Technical School Degree,0.02142,53,2133,0.01528,0.02757
1987,Rural regions,West,Upper Secondary Degree,0.05658,141,2133,0.04678,0.06639
1987,Rural regions,West,Other Degree,0.02099,171,2133,0.01490,0.02707
1987,Rural regions,West,"Dropout, No School Degree",0.01103,74,2133,0.00660,0.01547
1988,Urban regions,West,Secondary School Degree,0.47090,3672,7740,0.45978,0.48202
1988,Urban regions,West,Intermediate School Degree,0.17384,1377,7740,0.16539,0.18228
1988,Urban regions,West,Technical School Degree,0.02883,226,7740,0.02511,0.03256
1988,Urban regions,West,Upper Secondary Degree,0.10042,778,7740,0.09372,0.10712
1988,Urban regions,West,Other Degree,0.02473,909,7740,0.02127,0.02819
1988,Urban regions,West,"Dropout, No School Degree",0.01621,510,7740,0.01340,0.01902
1988,Urban regions,West,No School Degree Yet,0.01239,138,7740,0.00993,0.01485
1988,Urban regions,West,No School Attended,0.00323,130,7740,0.00196,0.00449
1988,Rural regions,West,Secondary School Degree,0.53132,1200,1989,0.50938,0.55326
1988,Rural regions,West,Intermediate School Degree,0.16120,387,1989,0.14504,0.17737
1988,Rural regions,West,Technical School Degree,0.02242,51,1989,0.01591,0.02893
1988,Rural regions,West,Upper Secondary Degree,0.05261,123,1989,0.04280,0.06242
1988,Rural regions,West,Other Degree,0.01861,156,1989,0.01267,0.02455
1988,Rural regions,West,"Dropout, No School Degree",0.01184,72,1989,0.00709,0.01660
1989,Urban regions,West,Secondary School Degree,0.46078,3517,7539,0.44953,0.47204
1989,Urban regions,West,Intermediate School Degree,0.17423,1344,7539,0.16567,0.18279
1989,Urban regions,West,Technical School Degree,0.02946,227,7539,0.02564,0.03328
1989,Urban regions,West,Upper Secondary Degree,0.10483,801,7539,0.09792,0.11175
1989,Urban regions,West,Other Degree,0.02677,883,7539,0.02313,0.03042
1989,Urban regions,West,"Dropout, No School Degree",0.01662,488,7539,0.01373,0.01950
1989,Urban regions,West,No School Degree Yet,0.01458,151,7539,0.01188,0.01729
1989,Urban regions,West,No School Attended,0.00345,128,7539,0.00213,0.00477
1989,Rural regions,West,Secondary School Degree,0.52683,1135,1888,0.50430,0.54936
1989,Rural regions,West,Intermediate School Degree,0.15586,366,1888,0.13949,0.17222
1989,Rural regions,West,Technical School Degree,0.02426,52,1888,0.01732,0.03121
1989,Rural regions,West,Upper Secondary Degree,0.05705,123,1888,0.04659,0.06752
1989,Rural regions,West,Other Degree,0.01886,143,1888,0.01273,0.02500
1989,Rural regions,West,"Dropout, No School Degree",0.01252,69,1888,0.00751,0.01754
1990,Urban regions,West,Secondary School Degree,0.44950,3412,7326,0.43810,0.46089
1990,Urban regions,West,Intermediate School Degree,0.17440,1314,7326,0.16571,0.18309
1990,Urban regions,West,Technical School Degree,0.02954,228,7326,0.02566,0.03342
1990,Urban regions,West,Upper Secondary Degree,0.10670,789,7326,0.09963,0.11377
1990,Urban regions,West,Other Degree,0.02877,859,7326,0.02494,0.03260
1990,Urban regions,West,"Dropout, No School Degree",0.01757,463,7326,0.01456,0.02058
1990,Urban regions,West,No School Degree Yet,0.01244,139,7326,0.00990,0.01498
1990,Urban regions,West,No School Attended,0.00372,122,7326,0.00232,0.00511
1990,Urban regions,East,Secondary School Degree,0.31009,527,1431,0.28612,0.33407
1990,Urban regions,East,Intermediate School Degree,0.32312,652,1431,0.29888,0.34736
1990,Urban regions,East,Upper Secondary Degree,0.12199,252,1431,0.10503,0.13895
1990,Rural regions,West,Secondary School Degree,0.52376,1113,1881,0.50119,0.54634
1990,Rural regions,West,Intermediate School Degree,0.16051,368,1881,0.14392,0.17710
1990,Rural regions,West,Technical School Degree,0.02566,55,1881,0.01851,0.03281
1990,Rural regions,West,Upper Secondary Degree,0.05870,130,1881,0.04807,0.06933
1990,Rural regions,West,Other Degree,0.02083,146,1881,0.01438,0.02729
1990,Rural regions,West,"Dropout, No School Degree",0.01340,69,1881,0.00820,0.01859
1990,Rural regions,East,Secondary School Degree,0.36482,1176,2832,0.34709,0.38255
1990,Rural regions,East,Intermediate School Degree,0.33304,1343,2832,0.31568,0.35040
1990,Rural regions,East,Upper Secondary Degree,0.06396,268,2832,0.05494,0.07297
