year,pgisced97,regtyp,pgpsbil,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Primary Level,No answer / don't know,"Dropout, No School Degree",0.74389,760,962,0.71629,0.77148
1984,Primary Level,No answer / don't know,No School Attended,0.14574,202,962,0.12343,0.16805
1984,Lower Secondary Level,No answer / don't know,Secondary School Degree,0.80178,2258,3448,0.78847,0.81509
1984,Lower Secondary Level,No answer / don't know,Intermediate School Degree,0.15698,477,3448,0.14484,0.16913
1984,Lower Secondary Level,No answer / don't know,Other Degree,0.04124,713,3448,0.03460,0.04788
1984,Upper Secondary Level,No answer / don't know,Secondary School Degree,0.68680,3525,5675,0.67473,0.69886
1984,Upper Secondary Level,No answer / don't know,Intermediate School Degree,0.23126,1200,5675,0.22029,0.24223
1984,Upper Secondary Level,No answer / don't know,Technical School Degree,0.00684,40,5675,0.00470,0.00899
1984,Upper Secondary Level,No answer / don't know,Upper Secondary Degree,0.04932,275,5675,0.04368,0.05495
1984,Upper Secondary Level,No answer / don't know,Other Degree,0.02068,527,5675,0.01697,0.02438
1984,Upper Secondary Level,No answer / don't know,"Dropout, No School Degree",0.00489,108,5675,0.00308,0.00671
1984,Post-secondary Non-tertiary Level,No answer / don't know,Technical School Degree,0.37444,88,302,0.31977,0.42912
1984,Post-secondary Non-tertiary Level,No answer / don't know,Upper Secondary Degree,0.52567,113,302,0.46925,0.58208
1984,Post-secondary Non-tertiary Level,No answer / don't know,Other Degree,0.09610,101,302,0.06280,0.12940
1984,First Stage of Tertiary Education,No answer / don't know,Secondary School Degree,0.46159,297,647,0.42315,0.50003
1984,First Stage of Tertiary Education,No answer / don't know,Intermediate School Degree,0.31393,210,647,0.27814,0.34972
1984,First Stage of Tertiary Education,No answer / don't know,Technical School Degree,0.10560,70,647,0.08190,0.12930
1984,First Stage of Tertiary Education,No answer / don't know,Upper Secondary Degree,0.11130,70,647,0.08705,0.13555
1984,Second Stage of Tertiary Education,No answer / don't know,Intermediate School Degree,0.09482,68,763,0.07402,0.11562
1984,Second Stage of Tertiary Education,No answer / don't know,Technical School Degree,0.17739,130,763,0.15027,0.20451
1984,Second Stage of Tertiary Education,No answer / don't know,Upper Secondary Degree,0.67394,507,763,0.64065,0.70722
1984,Second Stage of Tertiary Education,No answer / don't know,Other Degree,0.01909,58,763,0.00938,0.02881
1985,Primary Level,Urban regions,"Dropout, No School Degree",0.75472,555,700,0.72283,0.78662
1985,Primary Level,Urban regions,No School Attended,0.14463,145,700,0.11856,0.17071
1985,Primary Level,Rural regions,"Dropout, No School Degree",0.67727,73,73,0.56928,0.78526
1985,Lower Secondary Level,Urban regions,Secondary School Degree,0.76802,1447,2320,0.75084,0.78520
1985,Lower Secondary Level,Urban regions,Intermediate School Degree,0.18454,362,2320,0.16875,0.20033
1985,Lower Secondary Level,Urban regions,Other Degree,0.04744,511,2320,0.03879,0.05609
1985,Lower Secondary Level,Rural regions,Secondary School Degree,0.82845,551,741,0.80129,0.85562
1985,Lower Secondary Level,Rural regions,Intermediate School Degree,0.15084,112,741,0.12505,0.17663
1985,Lower Secondary Level,Rural regions,Other Degree,0.02071,78,741,0.01045,0.03097
1985,Upper Secondary Level,Urban regions,Secondary School Degree,0.66175,2387,4013,0.64711,0.67639
1985,Upper Secondary Level,Urban regions,Intermediate School Degree,0.24767,898,4013,0.23431,0.26103
1985,Upper Secondary Level,Urban regions,Technical School Degree,0.00878,39,4013,0.00590,0.01167
1985,Upper Secondary Level,Urban regions,Upper Secondary Degree,0.05391,223,4013,0.04692,0.06090
1985,Upper Secondary Level,Urban regions,Other Degree,0.02250,390,4013,0.01791,0.02709
1985,Upper Secondary Level,Urban regions,"Dropout, No School Degree",0.00515,76,4013,0.00294,0.00737
1985,Upper Secondary Level,Rural regions,Secondary School Degree,0.72999,789,1093,0.70366,0.75633
1985,Upper Secondary Level,Rural regions,Intermediate School Degree,0.22697,245,1093,0.20212,0.25181
1985,Upper Secondary Level,Rural regions,Other Degree,0.01270,59,1093,0.00606,0.01934
1985,Post-secondary Non-tertiary Level,Urban regions,Technical School Degree,0.37126,64,227,0.30827,0.43425
1985,Post-secondary Non-tertiary Level,Urban regions,Upper Secondary Degree,0.53842,92,227,0.47343,0.60342
1985,Post-secondary Non-tertiary Level,Urban regions,Other Degree,0.08707,71,227,0.05031,0.12383
1985,First Stage of Tertiary Education,Urban regions,Secondary School Degree,0.44281,213,474,0.39804,0.48757
1985,First Stage of Tertiary Education,Urban regions,Intermediate School Degree,0.31816,154,474,0.27618,0.36013
1985,First Stage of Tertiary Education,Urban regions,Technical School Degree,0.08980,45,474,0.06403,0.11556
1985,First Stage of Tertiary Education,Urban regions,Upper Secondary Degree,0.14128,62,474,0.10989,0.17267
1985,First Stage of Tertiary Education,Rural regions,Secondary School Degree,0.49581,65,110,0.40194,0.58967
1985,First Stage of Tertiary Education,Rural regions,Intermediate School Degree,0.30794,45,110,0.22128,0.39461
1985,Second Stage of Tertiary Education,Urban regions,Intermediate School Degree,0.08938,51,612,0.06676,0.11201
1985,Second Stage of Tertiary Education,Urban regions,Technical School Degree,0.17259,102,612,0.14263,0.20256
1985,Second Stage of Tertiary Education,Urban regions,Upper Secondary Degree,0.68307,411,612,0.64618,0.71996
1985,Second Stage of Tertiary Education,Urban regions,Other Degree,0.02142,48,612,0.00994,0.03290
1985,Second Stage of Tertiary Education,Rural regions,Upper Secondary Degree,0.67032,80,80,0.56666,0.77399
1986,Primary Level,Urban regions,"Dropout, No School Degree",0.76687,511,644,0.73419,0.79956
1986,Primary Level,Urban regions,No School Attended,0.14038,133,644,0.11353,0.16724
1986,Primary Level,Rural regions,"Dropout, No School Degree",0.62683,70,70,0.51271,0.74095
1986,Lower Secondary Level,Urban regions,Secondary School Degree,0.76240,1359,2206,0.74464,0.78017
1986,Lower Secondary Level,Urban regions,Intermediate School Degree,0.18707,356,2206,0.17079,0.20335
1986,Lower Secondary Level,Urban regions,Other Degree,0.05053,491,2206,0.04138,0.05967
1986,Lower Secondary Level,Rural regions,Secondary School Degree,0.81065,515,701,0.78163,0.83968
1986,Lower Secondary Level,Rural regions,Intermediate School Degree,0.16522,109,701,0.13770,0.19273
1986,Lower Secondary Level,Rural regions,Other Degree,0.02413,77,701,0.01276,0.03550
1986,Upper Secondary Level,Urban regions,Secondary School Degree,0.64748,2276,3878,0.63245,0.66252
1986,Upper Secondary Level,Urban regions,Intermediate School Degree,0.25611,895,3878,0.24237,0.26985
1986,Upper Secondary Level,Urban regions,Technical School Degree,0.01055,41,3878,0.00734,0.01377
1986,Upper Secondary Level,Urban regions,Upper Secondary Degree,0.05869,232,3878,0.05129,0.06609
1986,Upper Secondary Level,Urban regions,Other Degree,0.02171,363,3878,0.01712,0.02630
1986,Upper Secondary Level,Urban regions,"Dropout, No School Degree",0.00506,71,3878,0.00283,0.00729
1986,Upper Secondary Level,Rural regions,Secondary School Degree,0.71305,734,1070,0.68593,0.74016
1986,Upper Secondary Level,Rural regions,Intermediate School Degree,0.23081,236,1070,0.20555,0.25606
