year,migback,regtyp,pgpsbil,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,No migration background,Urban regions,Secondary School Degree,0.51863,3512,5932,0.50591,0.53134
1985,No migration background,Urban regions,Intermediate School Degree,0.18635,1325,5932,0.17644,0.19626
1985,No migration background,Urban regions,Technical School Degree,0.03002,219,5932,0.02568,0.03436
1985,No migration background,Urban regions,Upper Secondary Degree,0.09432,709,5932,0.08688,0.10175
1985,No migration background,Urban regions,"Dropout, No School Degree",0.00659,45,5932,0.00453,0.00865
1985,No migration background,Urban regions,No School Degree Yet,0.01641,122,5932,0.01318,0.01964
1985,No migration background,Rural regions,Secondary School Degree,0.56897,1326,1921,0.54682,0.59112
1985,No migration background,Rural regions,Intermediate School Degree,0.15687,382,1921,0.14060,0.17313
1985,No migration background,Rural regions,Technical School Degree,0.02179,51,1921,0.01526,0.02833
1985,No migration background,Rural regions,Upper Secondary Degree,0.05028,129,1921,0.04050,0.06005
1985,No migration background,Rural regions,No School Degree Yet,0.01371,33,1921,0.00851,0.01891
1985,Direct migration background,Urban regions,Secondary School Degree,0.31529,490,2429,0.29681,0.33378
1985,Direct migration background,Urban regions,Intermediate School Degree,0.09416,116,2429,0.08255,0.10578
1985,Direct migration background,Urban regions,Upper Secondary Degree,0.07087,76,2429,0.06066,0.08108
1985,Direct migration background,Urban regions,Other Degree,0.22816,1011,2429,0.21147,0.24485
1985,Direct migration background,Urban regions,"Dropout, No School Degree",0.12273,585,2429,0.10968,0.13578
1985,Direct migration background,Urban regions,No School Attended,0.03246,151,2429,0.02541,0.03950
1985,Direct migration background,Rural regions,Secondary School Degree,0.36213,76,281,0.30583,0.41842
1985,Direct migration background,Rural regions,Other Degree,0.20842,149,281,0.16085,0.25600
1985,Direct migration background,Rural regions,"Dropout, No School Degree",0.06846,56,281,0.03888,0.09805
1985,Indirect migration background,Urban regions,Secondary School Degree,0.06816,66,66,0.00689,0.12943
1986,No migration background,Urban regions,Secondary School Degree,0.50933,3283,5683,0.49633,0.52233
1986,No migration background,Urban regions,Intermediate School Degree,0.19030,1292,5683,0.18009,0.20050
1986,No migration background,Urban regions,Technical School Degree,0.03197,219,5683,0.02739,0.03654
1986,No migration background,Urban regions,Upper Secondary Degree,0.09899,711,5683,0.09122,0.10676
1986,No migration background,Urban regions,"Dropout, No School Degree",0.00715,49,5683,0.00496,0.00934
1986,No migration background,Urban regions,No School Degree Yet,0.01508,129,5683,0.01191,0.01825
1986,No migration background,Rural regions,Secondary School Degree,0.55388,1220,1779,0.53077,0.57699
1986,No migration background,Rural regions,Intermediate School Degree,0.16312,365,1779,0.14594,0.18029
1986,No migration background,Rural regions,Technical School Degree,0.02248,53,1779,0.01559,0.02938
1986,No migration background,Rural regions,Upper Secondary Degree,0.05919,141,1779,0.04822,0.07016
1986,Direct migration background,Urban regions,Secondary School Degree,0.33023,501,2365,0.31128,0.34919
1986,Direct migration background,Urban regions,Intermediate School Degree,0.09684,124,2365,0.08492,0.10876
1986,Direct migration background,Urban regions,Upper Secondary Degree,0.07228,76,2365,0.06184,0.08272
1986,Direct migration background,Urban regions,Other Degree,0.22365,964,2365,0.20685,0.24044
1986,Direct migration background,Urban regions,"Dropout, No School Degree",0.11634,531,2365,0.10341,0.12926
1986,Direct migration background,Urban regions,No School Degree Yet,0.00822,31,2365,0.00458,0.01186
1986,Direct migration background,Urban regions,No School Attended,0.03031,138,2365,0.02340,0.03722
1986,Direct migration background,Rural regions,Secondary School Degree,0.37514,84,290,0.31932,0.43096
1986,Direct migration background,Rural regions,Other Degree,0.20801,149,290,0.16121,0.25480
1986,Direct migration background,Rural regions,"Dropout, No School Degree",0.06851,57,290,0.03939,0.09764
1986,Indirect migration background,Urban regions,Secondary School Degree,0.06987,71,71,0.01015,0.12959
1987,No migration background,Urban regions,Secondary School Degree,0.50883,3215,5566,0.49570,0.52197
1987,No migration background,Urban regions,Intermediate School Degree,0.18741,1263,5566,0.17716,0.19767
1987,No migration background,Urban regions,Technical School Degree,0.03079,204,5566,0.02625,0.03533
1987,No migration background,Urban regions,Upper Secondary Degree,0.10275,707,5566,0.09477,0.11072
1987,No migration background,Urban regions,"Dropout, No School Degree",0.00677,45,5566,0.00461,0.00892
1987,No migration background,Urban regions,No School Degree Yet,0.01415,132,5566,0.01104,0.01725
1987,No migration background,Rural regions,Secondary School Degree,0.54781,1185,1746,0.52445,0.57116
1987,No migration background,Rural regions,Intermediate School Degree,0.16758,377,1746,0.15006,0.18511
1987,No migration background,Rural regions,Technical School Degree,0.02326,53,1746,0.01619,0.03033
1987,No migration background,Rural regions,Upper Secondary Degree,0.05690,131,1746,0.04603,0.06777
1987,Direct migration background,Urban regions,Secondary School Degree,0.33708,522,2311,0.31781,0.35636
1987,Direct migration background,Urban regions,Intermediate School Degree,0.09817,127,2311,0.08603,0.11030
1987,Direct migration background,Urban regions,Upper Secondary Degree,0.07124,74,2311,0.06075,0.08173
1987,Direct migration background,Urban regions,Other Degree,0.22696,938,2311,0.20988,0.24404
1987,Direct migration background,Urban regions,"Dropout, No School Degree",0.11660,516,2311,0.10351,0.12969
1987,Direct migration background,Urban regions,No School Attended,0.03261,134,2311,0.02536,0.03985
1987,Direct migration background,Rural regions,Secondary School Degree,0.35483,89,297,0.30032,0.40934
1987,Direct migration background,Rural regions,Other Degree,0.23036,151,297,0.18239,0.27833
1987,Direct migration background,Rural regions,"Dropout, No School Degree",0.07401,57,297,0.04419,0.10383
1987,Indirect migration background,Urban regions,Secondary School Degree,0.07125,78,78,0.01379,0.12871
1988,No migration background,Urban regions,Secondary School Degree,0.50221,3045,5284,0.48873,0.51569
1988,No migration background,Urban regions,Intermediate School Degree,0.18866,1217,5284,0.17811,0.19921
1988,No migration background,Urban regions,Technical School Degree,0.03058,192,5284,0.02593,0.03522
1988,No migration background,Urban regions,Upper Secondary Degree,0.10698,687,5284,0.09865,0.11532
1988,No migration background,Urban regions,"Dropout, No School Degree",0.00622,40,5284,0.00410,0.00834
1988,No migration background,Urban regions,No School Degree Yet,0.01299,103,5284,0.00994,0.01605
1988,No migration background,Rural regions,Secondary School Degree,0.55255,1107,1626,0.52837,0.57672
1988,No migration background,Rural regions,Intermediate School Degree,0.16485,353,1626,0.14681,0.18289
1988,No migration background,Rural regions,Technical School Degree,0.02433,51,1626,0.01684,0.03182
1988,No migration background,Rural regions,Upper Secondary Degree,0.05305,115,1626,0.04215,0.06395
1988,Direct migration background,Urban regions,Secondary School Degree,0.35831,539,2204,0.33829,0.37833
1988,Direct migration background,Urban regions,Intermediate School Degree,0.10186,124,2204,0.08923,0.11449
1988,Direct migration background,Urban regions,Upper Secondary Degree,0.07562,74,2204,0.06458,0.08666
1988,Direct migration background,Urban regions,Other Degree,0.21108,873,2204,0.19404,0.22812
1988,Direct migration background,Urban regions,"Dropout, No School Degree",0.10644,465,2204,0.09357,0.11932
1988,Direct migration background,Urban regions,No School Attended,0.03167,129,2204,0.02436,0.03898
1988,Direct migration background,Rural regions,Secondary School Degree,0.36832,78,270,0.31068,0.42596
1988,Direct migration background,Rural regions,Other Degree,0.21095,139,270,0.16219,0.25970
1988,Direct migration background,Rural regions,"Dropout, No School Degree",0.06895,53,270,0.03868,0.09923
1988,Indirect migration background,Urban regions,Secondary School Degree,0.07786,88,124,0.03050,0.12521
1988,Indirect migration background,Urban regions,Intermediate School Degree,0.03574,36,124,0.00293,0.06854
1989,No migration background,Urban regions,Secondary School Degree,0.49357,2898,5108,0.47986,0.50728
1989,No migration background,Urban regions,Intermediate School Degree,0.19008,1177,5108,0.17931,0.20084
1989,No migration background,Urban regions,Technical School Degree,0.03132,195,5108,0.02654,0.03610
1989,No migration background,Urban regions,Upper Secondary Degree,0.11227,701,5108,0.10361,0.12093
1989,No migration background,Urban regions,"Dropout, No School Degree",0.00641,41,5108,0.00422,0.00860
1989,No migration background,Urban regions,No School Degree Yet,0.01428,96,5108,0.01103,0.01753
1989,No migration background,Rural regions,Secondary School Degree,0.54896,1037,1533,0.52405,0.57388
1989,No migration background,Rural regions,Intermediate School Degree,0.15941,333,1533,0.14108,0.17774
1989,No migration background,Rural regions,Technical School Degree,0.02640,51,1533,0.01838,0.03443
1989,No migration background,Rural regions,Upper Secondary Degree,0.05619,112,1533,0.04466,0.06772
1989,Direct migration background,Urban regions,Secondary School Degree,0.35074,520,2143,0.33053,0.37095
1989,Direct migration background,Urban regions,Intermediate School Degree,0.10233,124,2143,0.08950,0.11517
1989,Direct migration background,Urban regions,Upper Secondary Degree,0.07779,81,2143,0.06644,0.08913
1989,Direct migration background,Urban regions,Other Degree,0.22213,849,2143,0.20453,0.23973
1989,Direct migration background,Urban regions,"Dropout, No School Degree",0.10444,442,2143,0.09149,0.11740
1989,Direct migration background,Urban regions,No School Attended,0.03235,127,2143,0.02486,0.03984
1989,Direct migration background,Rural regions,Secondary School Degree,0.37398,79,256,0.31459,0.43336
1989,Direct migration background,Rural regions,Other Degree,0.20032,127,256,0.15119,0.24944
1989,Direct migration background,Rural regions,"Dropout, No School Degree",0.07747,50,256,0.04466,0.11028
1989,Indirect migration background,Urban regions,Secondary School Degree,0.07962,99,142,0.03494,0.12430
1989,Indirect migration background,Urban regions,Intermediate School Degree,0.03659,43,142,0.00560,0.06758
1990,No migration background,Urban regions,Secondary School Degree,0.46226,3296,6370,0.45002,0.47451
1990,No migration background,Urban regions,Intermediate School Degree,0.20754,1788,6370,0.19758,0.21750
1990,No migration background,Urban regions,Technical School Degree,0.02767,192,6370,0.02364,0.03170
1990,No migration background,Urban regions,Upper Secondary Degree,0.11614,933,6370,0.10827,0.12401
1990,No migration background,Urban regions,Other Degree,0.00411,35,6370,0.00254,0.00568
1990,No migration background,Urban regions,"Dropout, No School Degree",0.00642,44,6370,0.00446,0.00838
1990,No migration background,Urban regions,No School Degree Yet,0.01080,82,6370,0.00826,0.01334
