year,quintil_oecd,sex,pgpsbil,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,1st Quintile,male,Secondary School Degree,0.46511,505,1032,0.43466,0.49555
1984,1st Quintile,male,Intermediate School Degree,0.05312,60,1032,0.03943,0.06681
1984,1st Quintile,male,Upper Secondary Degree,0.07201,80,1032,0.05623,0.08779
1984,1st Quintile,male,Other Degree,0.04774,239,1032,0.03473,0.06076
1984,1st Quintile,male,"Dropout, No School Degree",0.02716,112,1032,0.01724,0.03708
1984,1st Quintile,male,No School Attended,0.00585,36,1032,0.00119,0.01050
1984,1st Quintile,female,Secondary School Degree,0.57739,731,1322,0.55075,0.60402
1984,1st Quintile,female,Intermediate School Degree,0.08929,121,1322,0.07392,0.10467
1984,1st Quintile,female,Upper Secondary Degree,0.04715,68,1322,0.03572,0.05858
1984,1st Quintile,female,Other Degree,0.02410,180,1322,0.01583,0.03238
1984,1st Quintile,female,"Dropout, No School Degree",0.02852,158,1322,0.01954,0.03750
1984,1st Quintile,female,No School Attended,0.00864,64,1322,0.00365,0.01363
1984,2nd Quintile,male,Secondary School Degree,0.54360,627,1058,0.51357,0.57362
1984,2nd Quintile,male,Intermediate School Degree,0.09308,109,1058,0.07556,0.11060
1984,2nd Quintile,male,Upper Secondary Degree,0.03624,45,1058,0.02498,0.04751
1984,2nd Quintile,male,Other Degree,0.03251,183,1058,0.02182,0.04321
1984,2nd Quintile,male,"Dropout, No School Degree",0.01886,94,1058,0.01066,0.02705
1984,2nd Quintile,female,Secondary School Degree,0.58674,729,1225,0.55915,0.61432
1984,2nd Quintile,female,Intermediate School Degree,0.12668,166,1225,0.10804,0.14531
1984,2nd Quintile,female,Upper Secondary Degree,0.02979,42,1225,0.02027,0.03932
1984,2nd Quintile,female,Other Degree,0.02012,126,1225,0.01225,0.02798
1984,2nd Quintile,female,"Dropout, No School Degree",0.02202,122,1225,0.01380,0.03024
1984,2nd Quintile,female,No School Attended,0.00550,40,1225,0.00136,0.00964
1984,3rd Quintile,male,Secondary School Degree,0.52113,626,1157,0.49234,0.54993
1984,3rd Quintile,male,Intermediate School Degree,0.12796,166,1157,0.10871,0.14722
1984,3rd Quintile,male,Technical School Degree,0.02968,38,1157,0.01989,0.03946
1984,3rd Quintile,male,Upper Secondary Degree,0.07153,89,1157,0.05667,0.08638
1984,3rd Quintile,male,Other Degree,0.03228,164,1157,0.02209,0.04247
1984,3rd Quintile,male,"Dropout, No School Degree",0.01546,74,1157,0.00835,0.02257
1984,3rd Quintile,female,Secondary School Degree,0.54202,652,1112,0.51272,0.57132
1984,3rd Quintile,female,Intermediate School Degree,0.18189,217,1112,0.15921,0.20458
1984,3rd Quintile,female,Upper Secondary Degree,0.03851,50,1112,0.02720,0.04983
1984,3rd Quintile,female,Other Degree,0.01801,116,1112,0.01019,0.02583
1984,3rd Quintile,female,"Dropout, No School Degree",0.01224,77,1112,0.00577,0.01870
1984,4th Quintile,male,Secondary School Degree,0.47043,594,1231,0.44254,0.49833
1984,4th Quintile,male,Intermediate School Degree,0.16788,212,1231,0.14699,0.18876
1984,4th Quintile,male,Technical School Degree,0.03470,43,1231,0.02447,0.04492
1984,4th Quintile,male,Upper Secondary Degree,0.11174,140,1231,0.09413,0.12935
1984,4th Quintile,male,Other Degree,0.02590,162,1231,0.01703,0.03478
1984,4th Quintile,male,"Dropout, No School Degree",0.01670,80,1231,0.00954,0.02386
1984,4th Quintile,female,Secondary School Degree,0.52089,631,1148,0.49198,0.54980
1984,4th Quintile,female,Intermediate School Degree,0.22280,274,1148,0.19872,0.24688
1984,4th Quintile,female,Upper Secondary Degree,0.06030,75,1148,0.04652,0.07408
1984,4th Quintile,female,Other Degree,0.01224,92,1148,0.00588,0.01861
1984,4th Quintile,female,"Dropout, No School Degree",0.01223,76,1148,0.00587,0.01859
1984,5th Quintile,male,Secondary School Degree,0.38872,489,1239,0.36156,0.41587
1984,5th Quintile,male,Intermediate School Degree,0.22047,285,1239,0.19738,0.24356
1984,5th Quintile,male,Technical School Degree,0.06521,82,1239,0.05146,0.07896
1984,5th Quintile,male,Upper Secondary Degree,0.18731,235,1239,0.16558,0.20905
1984,5th Quintile,male,Other Degree,0.01682,105,1239,0.00966,0.02399
1984,5th Quintile,male,"Dropout, No School Degree",0.00843,43,1239,0.00334,0.01353
1984,5th Quintile,female,Secondary School Degree,0.42982,515,1131,0.40095,0.45868
1984,5th Quintile,female,Intermediate School Degree,0.28871,346,1131,0.26229,0.31513
