"pgpsbil","year","alter_gr","migback","n","percent","lower_confidence","upper_confidence"
"Hauptschulabschluss","1984","16-34 Jahre alt","kein Migrationshintergrund","1376","0.444668711683846","0.427209579442696","0.462127843924996"
"Hauptschulabschluss","1984","16-34 Jahre alt","direkter Migrationshintergrund","417","0.332725265457029","0.307874115932076","0.357576414981982"
"Hauptschulabschluss","1984","16-34 Jahre alt","indirekter Migrationshintergrund","54","0.520653579296238","0.423224953336993","0.618082205255483"
"Hauptschulabschluss","1984","35-65 Jahre alt","kein Migrationshintergrund","3125","0.729260683420689","0.716016587649346","0.742504779192031"
"Hauptschulabschluss","1984","35-65 Jahre alt","direkter Migrationshintergrund","173","0.312455542278162","0.291809352093274","0.33310173246305"
"Hauptschulabschluss","1984","35-65 Jahre alt","indirekter Migrationshintergrund","","","",""
"Hauptschulabschluss","1984","66 und älter","kein Migrationshintergrund","952","0.770091050942709","0.7466521769061","0.793529924979319"
"Hauptschulabschluss","1984","66 und älter","direkter Migrationshintergrund","","","",""
"Hauptschulabschluss","1984","66 und älter","indirekter Migrationshintergrund","","","",""
"Realschulabschluss","1984","16-34 Jahre alt","kein Migrationshintergrund","914","0.293554210199103","0.27755450892269","0.309553911475515"
"Realschulabschluss","1984","16-34 Jahre alt","direkter Migrationshintergrund","85","0.104054156116278","0.0879505979223093","0.120157714310247"
"Realschulabschluss","1984","16-34 Jahre alt","indirekter Migrationshintergrund","","","",""
"Realschulabschluss","1984","35-65 Jahre alt","kein Migrationshintergrund","695","0.157627716677133","0.146766622610882","0.168488810743383"
"Realschulabschluss","1984","35-65 Jahre alt","direkter Migrationshintergrund","58","0.100656659189197","0.0872543561921738","0.11405896218622"
"Realschulabschluss","1984","35-65 Jahre alt","indirekter Migrationshintergrund","","","",""
"Realschulabschluss","1984","66 und älter","kein Migrationshintergrund","177","0.145970074268207","0.126302254148136","0.165637894388278"
"Realschulabschluss","1984","66 und älter","direkter Migrationshintergrund","","","",""
"Realschulabschluss","1984","66 und älter","indirekter Migrationshintergrund","","","",""
"Fachhochschulreife","1984","16-34 Jahre alt","kein Migrationshintergrund","131","0.0420884348414815","0.0350338348569899","0.0491430348259731"
"Fachhochschulreife","1984","16-34 Jahre alt","direkter Migrationshintergrund","","","",""
"Fachhochschulreife","1984","16-34 Jahre alt","indirekter Migrationshintergrund","","","",""
"Fachhochschulreife","1984","35-65 Jahre alt","kein Migrationshintergrund","139","0.0313287198725351","0.0261363600001853","0.0365210797448848"
"Fachhochschulreife","1984","35-65 Jahre alt","direkter Migrationshintergrund","","","",""
"Fachhochschulreife","1984","35-65 Jahre alt","indirekter Migrationshintergrund","","","",""
"Fachhochschulreife","1984","66 und älter","kein Migrationshintergrund","","","",""
"Fachhochschulreife","1984","66 und älter","direkter Migrationshintergrund","","","",""
"Fachhochschulreife","1984","66 und älter","indirekter Migrationshintergrund","","","",""
"Abitur","1984","16-34 Jahre alt","kein Migrationshintergrund","463","0.145776844854278","0.133378656218605","0.158175033489952"
"Abitur","1984","16-34 Jahre alt","direkter Migrationshintergrund","51","0.103973546256996","0.0878755027794305","0.120071589734561"
"Abitur","1984","16-34 Jahre alt","indirekter Migrationshintergrund","","","",""
"Abitur","1984","35-65 Jahre alt","kein Migrationshintergrund","337","0.0752346562862324","0.0673727114558851","0.0830966011165798"
"Abitur","1984","35-65 Jahre alt","direkter Migrationshintergrund","36","0.0624668408701914","0.0516869713412876","0.0732467103990953"
"Abitur","1984","35-65 Jahre alt","indirekter Migrationshintergrund","","","",""
"Abitur","1984","66 und älter","kein Migrationshintergrund","73","0.0555592634843411","0.0427991844533189","0.0683193425153633"
"Abitur","1984","66 und älter","direkter Migrationshintergrund","","","",""
"Abitur","1984","66 und älter","indirekter Migrationshintergrund","","","",""
"Anderer Abschluss","1984","16-34 Jahre alt","kein Migrationshintergrund","","","",""
"Anderer Abschluss","1984","16-34 Jahre alt","direkter Migrationshintergrund","501","0.260158747271606","0.237020005478285","0.283297489064926"
