year,pgisced97,sex,pgpsbil,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Primary Level,male,"Dropout, No School Degree",0.76681,326,391,0.72485,0.80878
1984,Primary Level,male,No School Attended,0.09810,65,391,0.06857,0.12762
1984,Primary Level,female,"Dropout, No School Degree",0.72615,434,571,0.68954,0.76276
1984,Primary Level,female,No School Attended,0.18260,137,571,0.15088,0.21431
1984,Lower Secondary Level,male,Secondary School Degree,0.71333,612,1143,0.68710,0.73956
1984,Lower Secondary Level,male,Intermediate School Degree,0.20587,180,1143,0.18242,0.22932
1984,Lower Secondary Level,male,Other Degree,0.08080,351,1143,0.06499,0.09660
1984,Lower Secondary Level,female,Secondary School Degree,0.83288,1646,2305,0.81765,0.84812
1984,Lower Secondary Level,female,Intermediate School Degree,0.13979,297,2305,0.12563,0.15395
1984,Lower Secondary Level,female,Other Degree,0.02733,362,2305,0.02067,0.03399
1984,Upper Secondary Level,male,Secondary School Degree,0.72246,1998,3125,0.70676,0.73816
1984,Upper Secondary Level,male,Intermediate School Degree,0.18322,521,3125,0.16966,0.19679
1984,Upper Secondary Level,male,Upper Secondary Degree,0.05292,158,3125,0.04507,0.06077
1984,Upper Secondary Level,male,Other Degree,0.02752,372,3125,0.02178,0.03325
1984,Upper Secondary Level,male,"Dropout, No School Degree",0.00688,76,3125,0.00398,0.00978
1984,Upper Secondary Level,female,Secondary School Degree,0.64526,1527,2510,0.62654,0.66399
1984,Upper Secondary Level,female,Intermediate School Degree,0.28721,679,2510,0.26950,0.30491
1984,Upper Secondary Level,female,Upper Secondary Degree,0.04513,117,2510,0.03701,0.05325
1984,Upper Secondary Level,female,Other Degree,0.01271,155,2510,0.00832,0.01709
1984,Upper Secondary Level,female,"Dropout, No School Degree",0.00258,32,2510,0.00059,0.00456
1984,Post-secondary Non-tertiary Level,male,Technical School Degree,0.40197,56,188,0.33170,0.47225
