"pgpsbil","year","bildungsniveau","migback","n","percent","lower_confidence","upper_confidence"
"Hauptschulabschluss","1984","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"Hauptschulabschluss","1984","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"Hauptschulabschluss","1984","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Hauptschulabschluss","1984","Hauptschulabschluss","kein Migrationshintergrund","5432","0.994268095430247","0.992266601693616","0.996269589166877"
"Hauptschulabschluss","1984","Hauptschulabschluss","direkter Migrationshintergrund","588","0.60428663806528","0.581369254184394","0.627204021946167"
"Hauptschulabschluss","1984","Hauptschulabschluss","indirekter Migrationshintergrund","69","0.965937062680004","0.924885194841519","1.00698893051849"
"Hauptschulabschluss","1984","Realschulabschluss","kein Migrationshintergrund","","","",""
"Hauptschulabschluss","1984","Realschulabschluss","direkter Migrationshintergrund","","","",""
"Hauptschulabschluss","1984","Realschulabschluss","indirekter Migrationshintergrund","","","",""
"Hauptschulabschluss","1984","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"Hauptschulabschluss","1984","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"Hauptschulabschluss","1984","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Hauptschulabschluss","1984","AkademikerInnen","kein Migrationshintergrund","","","",""
"Hauptschulabschluss","1984","AkademikerInnen","direkter Migrationshintergrund","","","",""
"Hauptschulabschluss","1984","AkademikerInnen","indirekter Migrationshintergrund","","","",""
"Realschulabschluss","1984","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"Realschulabschluss","1984","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"Realschulabschluss","1984","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Realschulabschluss","1984","Hauptschulabschluss","kein Migrationshintergrund","","","",""
"Realschulabschluss","1984","Hauptschulabschluss","direkter Migrationshintergrund","","","",""
"Realschulabschluss","1984","Hauptschulabschluss","indirekter Migrationshintergrund","","","",""
"Realschulabschluss","1984","Realschulabschluss","kein Migrationshintergrund","1720","1","1","1"
"Realschulabschluss","1984","Realschulabschluss","direkter Migrationshintergrund","140","1","1","1"
"Realschulabschluss","1984","Realschulabschluss","indirekter Migrationshintergrund","","","",""
"Realschulabschluss","1984","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"Realschulabschluss","1984","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"Realschulabschluss","1984","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Realschulabschluss","1984","AkademikerInnen","kein Migrationshintergrund","65","0.100269378193425","0.0774921815359722","0.123046574850879"
"Realschulabschluss","1984","AkademikerInnen","direkter Migrationshintergrund","","","",""
"Realschulabschluss","1984","AkademikerInnen","indirekter Migrationshintergrund","","","",""
"Fachhochschulreife","1984","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"Fachhochschulreife","1984","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"Fachhochschulreife","1984","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Fachhochschulreife","1984","Hauptschulabschluss","kein Migrationshintergrund","","","",""
"Fachhochschulreife","1984","Hauptschulabschluss","direkter Migrationshintergrund","","","",""
"Fachhochschulreife","1984","Hauptschulabschluss","indirekter Migrationshintergrund","","","",""
"Fachhochschulreife","1984","Realschulabschluss","kein Migrationshintergrund","","","",""
"Fachhochschulreife","1984","Realschulabschluss","direkter Migrationshintergrund","","","",""
"Fachhochschulreife","1984","Realschulabschluss","indirekter Migrationshintergrund","","","",""
"Fachhochschulreife","1984","(Fach-)Abitur","kein Migrationshintergrund","173","0.294847968349726","0.258023974089482","0.331671962609969"
"Fachhochschulreife","1984","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"Fachhochschulreife","1984","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Fachhochschulreife","1984","AkademikerInnen","kein Migrationshintergrund","120","0.182413523528131","0.153127849395877","0.211699197660385"
"Fachhochschulreife","1984","AkademikerInnen","direkter Migrationshintergrund","","","",""
"Fachhochschulreife","1984","AkademikerInnen","indirekter Migrationshintergrund","","","",""
"Abitur","1984","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"Abitur","1984","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"Abitur","1984","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Abitur","1984","Hauptschulabschluss","kein Migrationshintergrund","","","",""
"Abitur","1984","Hauptschulabschluss","direkter Migrationshintergrund","","","",""
"Abitur","1984","Hauptschulabschluss","indirekter Migrationshintergrund","","","",""
"Abitur","1984","Realschulabschluss","kein Migrationshintergrund","","","",""
"Abitur","1984","Realschulabschluss","direkter Migrationshintergrund","","","",""
"Abitur","1984","Realschulabschluss","indirekter Migrationshintergrund","","","",""
"Abitur","1984","(Fach-)Abitur","kein Migrationshintergrund","414","0.704715126409446","0.667875277490816","0.741554975328076"
"Abitur","1984","(Fach-)Abitur","direkter Migrationshintergrund","41","0.364588960311585","0.307702242216822","0.421475678406348"
"Abitur","1984","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Abitur","1984","AkademikerInnen","kein Migrationshintergrund","459","0.676898244076846","0.641433958730069","0.712362529423622"
"Abitur","1984","AkademikerInnen","direkter Migrationshintergrund","47","0.628751365526838","0.543019933364778","0.714482797688898"
"Abitur","1984","AkademikerInnen","indirekter Migrationshintergrund","","","",""
"Anderer Abschluss","1984","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"Anderer Abschluss","1984","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"Anderer Abschluss","1984","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Anderer Abschluss","1984","Hauptschulabschluss","kein Migrationshintergrund","33","0.00573190456975343","0.00373041083312341","0.00773339830638345"
"Anderer Abschluss","1984","Hauptschulabschluss","direkter Migrationshintergrund","1161","0.39571336193472","0.372795978053833","0.418630745815606"
"Anderer Abschluss","1984","Hauptschulabschluss","indirekter Migrationshintergrund","","","",""
"Anderer Abschluss","1984","Realschulabschluss","kein Migrationshintergrund","","","",""
"Anderer Abschluss","1984","Realschulabschluss","direkter Migrationshintergrund","","","",""
"Anderer Abschluss","1984","Realschulabschluss","indirekter Migrationshintergrund","","","",""
"Anderer Abschluss","1984","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"Anderer Abschluss","1984","(Fach-)Abitur","direkter Migrationshintergrund","192","0.431125969199407","0.372594167812813","0.489657770586002"
"Anderer Abschluss","1984","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
