year,migback,sampreg,pgpsbil,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,No migration background,West,Secondary School Degree,0.64408,5437,8648,0.63399,0.65417
1984,No migration background,West,Intermediate School Degree,0.20016,1785,8648,0.19172,0.20859
1984,No migration background,West,Technical School Degree,0.03227,292,8648,0.02854,0.03599
1984,No migration background,West,Upper Secondary Degree,0.09458,871,8648,0.08841,0.10075
1984,No migration background,West,Other Degree,0.00411,37,8648,0.00276,0.00546
1984,No migration background,West,"Dropout, No School Degree",0.00782,67,8648,0.00596,0.00968
1984,No migration background,West,No School Degree Yet,0.01697,159,8648,0.01425,0.01969
1984,Direct migration background,West,Secondary School Degree,0.33956,606,3299,0.32339,0.35572
1984,Direct migration background,West,Intermediate School Degree,0.10413,145,3299,0.09370,0.11455
1984,Direct migration background,West,Technical School Degree,0.02558,33,3299,0.02020,0.03097
1984,Direct migration background,West,Upper Secondary Degree,0.07796,88,3299,0.06881,0.08711
1984,Direct migration background,West,Other Degree,0.26606,1386,3299,0.25097,0.28114
1984,Direct migration background,West,"Dropout, No School Degree",0.14186,799,3299,0.12995,0.15377
1984,Direct migration background,West,No School Degree Yet,0.00703,34,3299,0.00418,0.00989
1984,Direct migration background,West,No School Attended,0.03783,208,3299,0.03131,0.04434
1984,Indirect migration background,West,Secondary School Degree,0.53009,68,68,0.41058,0.64960
1985,No migration background,West,Secondary School Degree,0.62646,4838,7920,0.61580,0.63711
1985,No migration background,West,Intermediate School Degree,0.21048,1707,7920,0.20150,0.21946
1985,No migration background,West,Technical School Degree,0.03284,270,7920,0.02892,0.03677
1985,No migration background,West,Upper Secondary Degree,0.09759,838,7920,0.09105,0.10412
1985,No migration background,West,Other Degree,0.00499,42,7920,0.00344,0.00654
1985,No migration background,West,"Dropout, No School Degree",0.00913,70,7920,0.00704,0.01123
1985,No migration background,West,No School Degree Yet,0.01850,155,7920,0.01553,0.02147
1985,Direct migration background,West,Secondary School Degree,0.36030,566,2768,0.34241,0.37818
1985,Direct migration background,West,Intermediate School Degree,0.11387,142,2768,0.10203,0.12570
1985,Direct migration background,West,Upper Secondary Degree,0.07793,85,2768,0.06794,0.08792
1985,Direct migration background,West,Other Degree,0.25208,1160,2768,0.23590,0.26826
1985,Direct migration background,West,"Dropout, No School Degree",0.12856,641,2768,0.11608,0.14103
1985,Direct migration background,West,No School Attended,0.03585,174,2768,0.02892,0.04278
1985,Indirect migration background,West,Secondary School Degree,0.50818,74,74,0.39349,0.62286
1986,No migration background,West,Secondary School Degree,0.61435,4503,7543,0.60336,0.62533
1986,No migration background,West,Intermediate School Degree,0.21621,1657,7543,0.20692,0.22550
1986,No migration background,West,Technical School Degree,0.03483,272,7543,0.03069,0.03896
1986,No migration background,West,Upper Secondary Degree,0.10467,852,7543,0.09776,0.11158
1986,No migration background,West,Other Degree,0.00495,41,7543,0.00337,0.00654
1986,No migration background,West,"Dropout, No School Degree",0.00967,71,7543,0.00746,0.01188
1986,No migration background,West,No School Degree Yet,0.01531,147,7543,0.01254,0.01808
1986,Direct migration background,West,Secondary School Degree,0.37396,585,2719,0.35577,0.39215
1986,Direct migration background,West,Intermediate School Degree,0.11577,151,2719,0.10374,0.12780
1986,Direct migration background,West,Upper Secondary Degree,0.07922,86,2719,0.06907,0.08937
1986,Direct migration background,West,Other Degree,0.24545,1113,2719,0.22927,0.26163
1986,Direct migration background,West,"Dropout, No School Degree",0.12095,588,2719,0.10869,0.13321
1986,Direct migration background,West,No School Degree Yet,0.01090,36,2719,0.00700,0.01480
1986,Direct migration background,West,No School Attended,0.03341,160,2719,0.02665,0.04016
1986,Indirect migration background,West,Secondary School Degree,0.49352,81,81,0.38396,0.60308
1987,No migration background,West,Secondary School Degree,0.61416,4400,7392,0.60306,0.62525
1987,No migration background,West,Intermediate School Degree,0.21581,1640,7392,0.20644,0.22519
1987,No migration background,West,Technical School Degree,0.03416,257,7392,0.03001,0.03830
1987,No migration background,West,Upper Secondary Degree,0.10768,838,7392,0.10062,0.11475
1987,No migration background,West,Other Degree,0.00563,47,7392,0.00393,0.00734
1987,No migration background,West,"Dropout, No School Degree",0.00816,59,7392,0.00611,0.01021
1987,No migration background,West,No School Degree Yet,0.01438,151,7392,0.01167,0.01710
1987,Direct migration background,West,Secondary School Degree,0.37168,611,2702,0.35345,0.38990
1987,Direct migration background,West,Intermediate School Degree,0.11555,154,2702,0.10349,0.12761
1987,Direct migration background,West,Upper Secondary Degree,0.07568,83,2702,0.06570,0.08565
1987,Direct migration background,West,Other Degree,0.24887,1089,2702,0.23256,0.26517
1987,Direct migration background,West,"Dropout, No School Degree",0.12067,573,2702,0.10838,0.13295
1987,Direct migration background,West,No School Degree Yet,0.00911,35,2702,0.00552,0.01269
1987,Direct migration background,West,No School Attended,0.03510,157,2702,0.02816,0.04204
1987,Indirect migration background,West,Secondary School Degree,0.50704,89,121,0.41759,0.59650
1987,Indirect migration background,West,Intermediate School Degree,0.21595,32,121,0.14233,0.28958
1988,No migration background,West,Secondary School Degree,0.61083,4152,6989,0.59940,0.62227
1988,No migration background,West,Intermediate School Degree,0.21664,1570,6989,0.20698,0.22630
1988,No migration background,West,Technical School Degree,0.03439,243,6989,0.03012,0.03867
1988,No migration background,West,Upper Secondary Degree,0.11070,802,6989,0.10335,0.11806
1988,No migration background,West,Other Degree,0.00522,42,6989,0.00353,0.00691
1988,No migration background,West,"Dropout, No School Degree",0.00806,55,6989,0.00597,0.01016
1988,No migration background,West,No School Degree Yet,0.01412,125,6989,0.01136,0.01689
1988,Direct migration background,West,Secondary School Degree,0.39295,617,2530,0.37391,0.41199
1988,Direct migration background,West,Intermediate School Degree,0.11946,151,2530,0.10682,0.13210
1988,Direct migration background,West,Upper Secondary Degree,0.07903,81,2530,0.06852,0.08955
1988,Direct migration background,West,Other Degree,0.23052,1012,2530,0.21410,0.24693
1988,Direct migration background,West,"Dropout, No School Degree",0.11024,518,2530,0.09803,0.12245
1988,Direct migration background,West,No School Attended,0.03400,151,2530,0.02693,0.04106
1988,Indirect migration background,West,Secondary School Degree,0.47309,103,146,0.39182,0.55435
1988,Indirect migration background,West,Intermediate School Degree,0.21807,43,146,0.15086,0.28529
1989,No migration background,West,Secondary School Degree,0.60166,3935,6720,0.58996,0.61337
