"year","hhtyp","sampreg","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"1984","(Ehe-)Paar ohne Kind(er)","Ostdeutschland","","","","","","","","","","","","","",""
"1984","(Ehe-)Paar ohne Kind(er)","Westdeutschland","16951.98","15287.5","2702","0","0","27763","39532","70696","16226.96","17677","0","225173","17537","19296"
"1984","1-Pers.- Haushalt","Ostdeutschland","","","","","","","","","","","","","",""
"1984","1-Pers.- Haushalt","Westdeutschland","7080","92","1288","0","0","13263","20861","43409","6378.42","7781.58","0","197844","1370","4090"
"1984","Alleinerziehende","Ostdeutschland","","","","","","","","","","","","","",""
"1984","Alleinerziehende","Westdeutschland","14339.75","12557","828","0","2914","20017","27661","70168","13390.63","15288.87","0","95612","12271","14700"
"1984","Paar mit Kind(ern)","Ostdeutschland","","","","","","","","","","","","","",""
"1984","Paar mit Kind(ern)","Westdeutschland","30167.21","27140","10356","14061","19480","36966","48854","93245","29814.1","30520.32","0","291128","25104","25834"
"1984","Sonstige","Ostdeutschland","","","","","","","","","","","","","",""
"1984","Sonstige","Westdeutschland","23347.71","20819.5","1002","128","10047","30908","42872","111956","21807.78","24887.64","0","239754","22736","25780"
"1985","(Ehe-)Paar ohne Kind(er)","Ostdeutschland","","","","","","","","","","","","","",""
"1985","(Ehe-)Paar ohne Kind(er)","Westdeutschland","17349.87","15421.5","2450","36","233","28357","40436","70654","16654.67","18045.07","0","111838","18105","19767"
"1985","1-Pers.- Haushalt","Ostdeutschland","","","","","","","","","","","","","",""
"1985","1-Pers.- Haushalt","Westdeutschland","7719.72","396","1140","0","51","13989","22034","47556","6774.77","8664.67","0","358957","2475","5674"
"1985","Alleinerziehende","Ostdeutschland","","","","","","","","","","","","","",""
"1985","Alleinerziehende","Westdeutschland","14826.81","13719.5","748","19","3045","22728","31053","58914","13879.89","15773.73","0","68746","13252","15601"
"1985","Paar mit Kind(ern)","Ostdeutschland","","","","","","","","","","","","","",""
"1985","Paar mit Kind(ern)","Westdeutschland","31194.04","28058","9339","14249","19609","37540","52206","95225","30818.07","31570.01","0","271883","26459","27139"
"1985","Sonstige","Ostdeutschland","","","","","","","","","","","","","",""
"1985","Sonstige","Westdeutschland","22479.86","19328","921","236","10177","29224","43741","77282","21229.85","23729.87","0","181782","21976","24627"
"1986","(Ehe-)Paar ohne Kind(er)","Ostdeutschland","","","","","","","","","","","","","",""
"1986","(Ehe-)Paar ohne Kind(er)","Westdeutschland","19209.88","17412","2410","96","776","31061","43358","71580","18405.04","20014.72","0","348575","19996","21474"
"1986","1-Pers.- Haushalt","Ostdeutschland","","","","","","","","","","","","","",""
"1986","1-Pers.- Haushalt","Westdeutschland","8009.62","1971","1079","0","108","15081","22702","44176","7340.7","8678.54","0","73012","4264","6258"
"1986","Alleinerziehende","Ostdeutschland","","","","","","","","","","","","","",""
"1986","Alleinerziehende","Westdeutschland","15758.41","13491.5","712","38","4407","24174","32547","77793","14706.27","16810.55","0","90499","13140","14981"
"1986","Paar mit Kind(ern)","Ostdeutschland","","","","","","","","","","","","","",""
"1986","Paar mit Kind(ern)","Westdeutschland","32313.39","29103","8799","14538","20581","39037","53003","100001","31895.13","32731.65","0","448962","27460","28430"
"1986","Sonstige","Ostdeutschland","","","","","","","","","","","","","",""
"1986","Sonstige","Westdeutschland","23979.59","22005","894","240","11346","33637","46408","69948","22835.79","25123.39","0","104717","26715","28618"
"1987","(Ehe-)Paar ohne Kind(er)","Ostdeutschland","","","","","","","","","","","","","",""
"1987","(Ehe-)Paar ohne Kind(er)","Westdeutschland","20116.52","18472","2384","95","931","31295","44133","77324","19300.51","20932.53","0","206636","20436","22549"
"1987","1-Pers.- Haushalt","Ostdeutschland","","","","","","","","","","","","","",""
"1987","1-Pers.- Haushalt","Westdeutschland","8718.35","2322.5","1078","0","113","15534","24396","48061","7965.3","9471.4","0","153250","4090","6877"
"1987","Alleinerziehende","Ostdeutschland","","","","","","","","","","","","","",""
"1987","Alleinerziehende","Westdeutschland","17227.54","13582","705","241","5161","23508","37732","88263","15926.03","18529.05","0","183042","13057","15449"
"1987","Paar mit Kind(ern)","Ostdeutschland","","","","","","","","","","","","","",""
"1987","Paar mit Kind(ern)","Westdeutschland","32935.74","29800","8532","15214","21635","40720","54366","101031","32566.91","33304.57","0","200459","28722","29304"
"1987","Sonstige","Ostdeutschland","","","","","","","","","","","","","",""
"1987","Sonstige","Westdeutschland","26656.72","23300","943","243","11976","35379","53723","88752","25397.68","27915.76","0","109651","26996","29160"
"1988","(Ehe-)Paar ohne Kind(er)","Ostdeutschland","","","","","","","","","","","","","",""
"1988","(Ehe-)Paar ohne Kind(er)","Westdeutschland","21594.12","19517.5","2336","113","1350","33235","46937","82371","20697.26","22490.98","0","310728","21436","23277"
"1988","1-Pers.- Haushalt","Ostdeutschland","","","","","","","","","","","","","",""
"1988","1-Pers.- Haushalt","Westdeutschland","8884.29","2384","1037","0","139","15978","24900","44303","8102.19","9666.39","0","163648","4467","7260"
"1988","Alleinerziehende","Ostdeutschland","","","","","","","","","","","","","",""
"1988","Alleinerziehende","Westdeutschland","18675.17","15161","704","1209","6494","25732","40567","83905","17422.68","19927.66","0","87731","14725","17604"
"1988","Paar mit Kind(ern)","Ostdeutschland","","","","","","","","","","","","","",""
"1988","Paar mit Kind(ern)","Westdeutschland","34167.58","30594.5","8110","16069","22433","42464","55447","103881","33766.65","34568.51","0","197348","29080","30249"
"1988","Sonstige","Ostdeutschland","","","","","","","","","","","","","",""
"1988","Sonstige","Westdeutschland","27023.78","24480","826","1687","14779","35919","51368","100059","25613.94","28433.62","0","124853","27822","30168"
"1989","(Ehe-)Paar ohne Kind(er)","Ostdeutschland","","","","","","","","","","","","","",""
"1989","(Ehe-)Paar ohne Kind(er)","Westdeutschland","23219.28","21583.5","2316","136","1626","35848","48664","92254","22266.7","24171.86","0","300001","23509","25288"
"1989","1-Pers.- Haushalt","Ostdeutschland","","","","","","","","","","","","","",""
"1989","1-Pers.- Haushalt","Westdeutschland","9727.01","3152.5","1040","0","136","17531","25820","50874","8776.28","10677.74","0","279038","5011","9101"
"1989","Alleinerziehende","Ostdeutschland","","","","","","","","","","","","","",""
"1989","Alleinerziehende","Westdeutschland","20164.54","15901","660","1860","6749","27863","44758","90601","18684.02","21645.06","0","130891","15808","17996"
"1989","Paar mit Kind(ern)","Ostdeutschland","","","","","","","","","","","","","",""
"1989","Paar mit Kind(ern)","Westdeutschland","35701.01","31456.5","7743","16412","23346","43236","57984","122820","35244","36158.02","0","302134","30472","31216"
"1989","Sonstige","Ostdeutschland","","","","","","","","","","","","","",""
"1989","Sonstige","Westdeutschland","29728.05","25392.5","835","976","14932","40290","62427","86563","28194.74","31261.36","0","157312","31189","35397"
"1990","(Ehe-)Paar ohne Kind(er)","Ostdeutschland","","","","","","","","","","","","","",""
"1990","(Ehe-)Paar ohne Kind(er)","Westdeutschland","23818.74","21231","2368","133","1582","37733","51170","90448","22693.86","24943.62","0","473661","23470","26286"
"1990","1-Pers.- Haushalt","Ostdeutschland","","","","","","","","","","","","","",""
"1990","1-Pers.- Haushalt","Westdeutschland","10341.57","3157.5","1001","10","147","18443","27821","48971","9303.53","11379.61","0","308947","4916","8626"
"1990","Alleinerziehende","Ostdeutschland","","","","","","","","","","","","","",""
"1990","Alleinerziehende","Westdeutschland","20837.61","17767","640","1507","9083","29265","39611","72081","19411.53","22263.69","0","169993","17283","18988"
"1990","Paar mit Kind(ern)","Ostdeutschland","","","","","","","","","","","","","",""
"1990","Paar mit Kind(ern)","Westdeutschland","38279.51","33116.5","7526","17774","24559","46467","61526","132406","37757.66","38801.36","0","375273","32039","32811"
"1990","Sonstige","Ostdeutschland","","","","","","","","","","","","","",""
"1990","Sonstige","Westdeutschland","32923.89","31603.5","898","7284","18464","42084","53071","100788","31369.35","34478.43","0","242757","34813","38422"
"1991","(Ehe-)Paar ohne Kind(er)","Ostdeutschland","","","","","","","","","","","","","",""
"1991","(Ehe-)Paar ohne Kind(er)","Westdeutschland","24860.04","22241","2396","143","1919","40115","53440","94634","23868.11","25851.97","0","344950","24278","26485"
"1991","1-Pers.- Haushalt","Ostdeutschland","","","","","","","","","","","","","",""
"1991","1-Pers.- Haushalt","Westdeutschland","11246.89","3693.5","1003","15","175","19252","30192","55902","10287.25","12206.53","0","222699","6056","11133"
"1991","Alleinerziehende","Ostdeutschland","","","","","","","","","","","","","",""
"1991","Alleinerziehende","Westdeutschland","20948.42","17859","659","2884","8144","28689","41419","78729","19478.88","22417.96","0","229956","17082","19502"
"1991","Paar mit Kind(ern)","Ostdeutschland","","","","","","","","","","","","","",""
"1991","Paar mit Kind(ern)","Westdeutschland","40116.1","35318.5","7467","18611","25829","49682","65168","137130","39625.53","40606.67","0","278848","33750","34703"
"1991","Sonstige","Ostdeutschland","","","","","","","","","","","","","",""
"1991","Sonstige","Westdeutschland","33879.96","32497.5","902","2659","19277","46703","60352","108659","32434.7","35325.22","0","133557","38449","42225"
"1992","(Ehe-)Paar ohne Kind(er)","Ostdeutschland","12763.91","11046","932","132","822","21665","28089","48616","12014.53","13513.29","0","54059","11427","13337"
"1992","(Ehe-)Paar ohne Kind(er)","Westdeutschland","26474.73","22994.5","2458","182","2684","42479","55948","105242","25327.57","27621.89","0","518807","25623","28342"
"1992","1-Pers.- Haushalt","Ostdeutschland","4736.45","251.5","296","26","110","9544","13549","27959","3966.88","5506.02","0","49244","245","2277"
"1992","1-Pers.- Haushalt","Westdeutschland","12034.88","3725.5","1006","0","153","20766","32368","71908","10942.62","13127.14","0","258714","5816","10737"
"1992","Alleinerziehende","Ostdeutschland","12490.9","11793.5","291","3209","7964","16137","20592","42953","11687.01","13294.79","0","44738","11268","13102"
"1992","Alleinerziehende","Westdeutschland","21086.92","18412.5","666","1387","6622","28976","42669","96842","19508.96","22664.88","0","221893","18764","21559"
"1992","Paar mit Kind(ern)","Ostdeutschland","24256.44","22985.5","3528","11320","16228","30227","38467","60392","23878.04","24634.84","51","71592","22943","23734"
"1992","Paar mit Kind(ern)","Westdeutschland","41602.63","37131","7433","19838","27004","51359","70379","120154","41117.06","42088.2","0","227226","35973","36952"
"1992","Sonstige","Ostdeutschland","19392.07","20273","354","4619","9167","27245","36029","51771","18099.05","20685.09","0","72028","21636","22912"
