"year","quintil","sampreg","mean","median","n","lower_confidence","upper_confidence"
"1995","1 Einkommensschwächstes Quintil","Ostdeutschland","15487.33","14460","2335","14909.69","16064.97"
"1995","1 Einkommensschwächstes Quintil","Westdeutschland","20381.72","20521","4770","19871.16","20892.28"
"1995","2","Ostdeutschland","24924.92","26815.5","1530","24112.91","25736.93"
"1995","2","Westdeutschland","28250.59","30160","3420","27629.4","28871.78"
"1995","3","Ostdeutschland","37949.17","38989","695","36329.16","39569.18"
"1995","3","Westdeutschland","38719.17","40329.5","2322","37599.69","39838.65"
"1995","4","Ostdeutschland","52095.52","52090","250","49351.6","54839.44"
"1995","4","Westdeutschland","48670.28","49010","1545","47373.69","49966.87"
"1995","5 Einkommensstärkstes Quintil","Ostdeutschland","84323.43","78046","51","75124.02","93522.84"
"1995","5 Einkommensstärkstes Quintil","Westdeutschland","68146.26","68048.5","794","65157.13","71135.39"
"1996","1 Einkommensschwächstes Quintil","Ostdeutschland","16336.61","14842","2040","15649.29","17023.93"
"1996","1 Einkommensschwächstes Quintil","Westdeutschland","20215.52","18777.5","4334","19654.95","20776.09"
"1996","2","Ostdeutschland","24340.14","24367","1598","23463.92","25216.36"
"1996","2","Westdeutschland","30298.82","30574","3338","29639.85","30957.79"
"1996","3","Ostdeutschland","34949.72","37340.5","793","33505.53","36393.91"
"1996","3","Westdeutschland","38790.1","39994","2363","37894.36","39685.84"
"1996","4","Ostdeutschland","49324.97","52697","289","46796.09","51853.85"
"1996","4","Westdeutschland","47993.63","50830.5","1612","46678.87","49308.39"
"1996","5 Einkommensstärkstes Quintil","Ostdeutschland","78213.5","68960","77","69081.6","87345.4"
"1996","5 Einkommensstärkstes Quintil","Westdeutschland","70181.96","67800.5","895","66905.79","73458.13"
"1997","1 Einkommensschwächstes Quintil","Ostdeutschland","16858.1","15226","1956","16098","17618.2"
"1997","1 Einkommensschwächstes Quintil","Westdeutschland","21701.53","20612","4031","21056.99","22346.07"
"1997","2","Ostdeutschland","23032.16","21759.5","1518","22017.01","24047.31"
"1997","2","Westdeutschland","29061.77","29953.5","3309","28380.38","29743.16"
"1997","3","Ostdeutschland","35053.34","37222.5","823","33536.48","36570.2"
"1997","3","Westdeutschland","38148.4","40211.5","2468","37275.84","39020.96"
"1997","4","Ostdeutschland","46744.19","51727.5","307","44139.22","49349.16"
"1997","4","Westdeutschland","47757.18","48782.5","1628","46517.83","48996.53"
"1997","5 Einkommensstärkstes Quintil","Ostdeutschland","88767.5","72721","79","72906.08","104628.92"
"1997","5 Einkommensstärkstes Quintil","Westdeutschland","73320.09","70780","888","70479.67","76160.51"
"1998","1 Einkommensschwächstes Quintil","Ostdeutschland","16980.42","15337","2103","16272.41","17688.43"
"1998","1 Einkommensschwächstes Quintil","Westdeutschland","20771.89","19889.5","4336","20193.61","21350.17"
"1998","2","Ostdeutschland","23715.25","24274","1418","22768.08","24662.42"
"1998","2","Westdeutschland","29588.92","30668.5","3756","28901.76","30276.08"
"1998","3","Ostdeutschland","31659.56","35014","903","30114.89","33204.23"
"1998","3","Westdeutschland","36184.01","38856.5","2694","35361.87","37006.15"
"1998","4","Ostdeutschland","47271.25","52846","391","44628.56","49913.94"
"1998","4","Westdeutschland","50308.83","51967.5","1992","48758.71","51858.95"
"1998","5 Einkommensstärkstes Quintil","Ostdeutschland","81610.02","65892.5","119","72797.24","90422.8"
"1998","5 Einkommensstärkstes Quintil","Westdeutschland","74196.16","73422.5","1044","71492.43","76899.89"
"1999","1 Einkommensschwächstes Quintil","Ostdeutschland","15892.52","14342.5","1675","15137.1","16647.94"
