"year","quintil","mean","median","n","lower_confidence","upper_confidence"
"1995","1 Einkommensschwächstes Quintil","19133.48","18229.5","7105","18739.05","19527.91"
"1995","2","27523.58","29102.5","4950","27023.89","28023.27"
"1995","3","38609.13","40027","3017","37670.6","39547.66"
"1995","4","48940.54","49283.5","1795","47761.03","50120.05"
"1995","5 Einkommensstärkstes Quintil","68747.72","69004","845","65887.35","71608.09"
"1996","1 Einkommensschwächstes Quintil","19271.59","17350","6374","18829.56","19713.62"
"1996","2","28935.61","30025","4936","28402.98","29468.24"
"1996","3","38182.94","39484.5","3156","37419.09","38946.79"
"1996","4","48101.1","51083.5","1901","46922.4","49279.8"
"1996","5 Einkommensstärkstes Quintil","70532.19","67800.5","972","67433.9","73630.48"
"1997","1 Einkommensschwächstes Quintil","20507.2","18894","5987","20005.94","21008.46"
"1997","2","27708.26","28260.5","4827","27138.12","28278.4"
"1997","3","37678.53","39814","3291","36922.02","38435.04"
"1997","4","47665.77","48994","1935","46544.97","48786.57"
"1997","5 Einkommensstärkstes Quintil","74059.72","71274","967","71156.96","76962.48"
"1998","1 Einkommensschwächstes Quintil","19828.44","17956.5","6439","19374.55","20282.33"
"1998","2","28402.05","29310.5","5174","27835.84","28968.26"
"1998","3","35401.84","38117.5","3597","34672.72","36130.96"
"1998","4","50019.63","51987.5","2383","48653.89","51385.37"
"1998","5 Einkommensstärkstes Quintil","74680.94","73196.5","1163","72096.19","77265.69"
"1999","1 Einkommensschwächstes Quintil","18304.64","16863.5","5258","17805.57","18803.71"
"1999","2","28031.19","28991.5","5303","27462.32","28600.06"
"1999","3","38227.01","39824.5","3663","37444.41","39009.61"
"1999","4","48256.68","51386","2438","47224.47","49288.89"
"1999","5 Einkommensstärkstes Quintil","74286.89","70835.5","1326","71796.92","76776.86"
"2000","1 Einkommensschwächstes Quintil","19230.45","15758","8689","18815.16","19645.74"
"2000","2","28571.43","29828","8714","28127.85","29015.01"
"2000","3","37582.5","39310","6738","36969.16","38195.84"
"2000","4","49606.73","51392.5","4752","48629.02","50584.44"
"2000","5 Einkommensstärkstes Quintil","72528.31","68698","2914","70729.59","74327.03"
"2001","1 Einkommensschwächstes Quintil","18176.36","14303.5","7277","17717.38","18635.34"
"2001","2","29446.69","30042.5","7647","28891.38","30002"
"2001","3","36649.08","37038","6305","36003.51","37294.65"
"2001","4","47820.99","48450.5","4636","46943.07","48698.91"
"2001","5 Einkommensstärkstes Quintil","71668.49","69069.5","2863","69803.68","73533.3"
"2002","1 Einkommensschwächstes Quintil","19262.9","13620.5","6246","18706.95","19818.85"
"2002","2","28638.34","29246","6580","28045.7","29230.98"
"2002","3","33999.51","35669.5","5965","33342.34","34656.68"
"2002","4","45631.07","45740.5","5859","44722.46","46539.68"
"2002","5 Einkommensstärkstes Quintil","81146.31","72235","5466","79104.04","83188.58"
"2003","1 Einkommensschwächstes Quintil","17639.62","12334","5780","17069.35","18209.89"
"2003","2","27901.16","28781","6126","27316.03","28486.29"
"2003","3","35605.5","37716.5","6132","34911.05","36299.95"
"2003","4","46953.76","46768.5","5838","46079","47828.52"
"2003","5 Einkommensstärkstes Quintil","80773.62","74242","4916","78693.43","82853.81"
"2004","1 Einkommensschwächstes Quintil","17400.74","10531","5565","16858.09","17943.39"
"2004","2","28706.16","29171","5923","28082.55","29329.77"
"2004","3","34015.2","35232","5887","33322.84","34707.56"
"2004","4","45096.86","45637","5687","44228.71","45965.01"
"2004","5 Einkommensstärkstes Quintil","81937.25","71602.5","4869","78709.36","85165.14"
"2005","1 Einkommensschwächstes Quintil","17603.14","10604","5387","15139.18","20067.1"
"2005","2","27259.83","27636","5494","26641.22","27878.44"
"2005","3","34507.06","36526.5","5539","33831.27","35182.85"
"2005","4","45721.15","46459","5455","44860.05","46582.25"
"2005","5 Einkommensstärkstes Quintil","77338.51","71824","4831","75410.14","79266.88"
"2006","1 Einkommensschwächstes Quintil","14747.96","7411.5","5718","13863.84","15632.08"
"2006","2","26109.75","26809","5929","25553.93","26665.57"
"2006","3","35034.88","37155.5","5914","34262.06","35807.7"
"2006","4","44946.9","45877.5","6058","44155.76","45738.04"
"2006","5 Einkommensstärkstes Quintil","81441.13","74169","5049","79235.22","83647.04"
"2007","1 Einkommensschwächstes Quintil","15262.53","7318","4896","14655.9","15869.16"
"2007","2","26192.18","25114.5","5413","25548.24","26836.12"
"2007","3","34127.93","35607","5605","33385.22","34870.64"
"2007","4","46721.08","46500.5","5736","45726.58","47715.58"
