"year","hhtyp","mean","median","n","lower_confidence","upper_confidence"
"1984","(Ehe-)Paar ohne Kind(er)","16951.98","15287.5","2702","16226.96","17677"
"1984","1-Pers.- Haushalt","7080","92","1288","6378.42","7781.58"
"1984","Alleinerziehende","14339.75","12557","828","13390.63","15288.87"
"1984","Paar mit Kind(ern)","30167.21","27140","10356","29814.1","30520.32"
"1984","Sonstige","23347.71","20819.5","1002","21807.78","24887.64"
"1985","(Ehe-)Paar ohne Kind(er)","17349.87","15421.5","2450","16654.67","18045.07"
"1985","1-Pers.- Haushalt","7719.72","396","1140","6774.77","8664.67"
"1985","Alleinerziehende","14826.81","13719.5","748","13879.89","15773.73"
"1985","Paar mit Kind(ern)","31194.04","28058","9339","30818.07","31570.01"
"1985","Sonstige","22479.86","19328","921","21229.85","23729.87"
"1986","(Ehe-)Paar ohne Kind(er)","19209.88","17412","2410","18405.04","20014.72"
"1986","1-Pers.- Haushalt","8009.62","1971","1079","7340.7","8678.54"
"1986","Alleinerziehende","15758.41","13491.5","712","14706.27","16810.55"
"1986","Paar mit Kind(ern)","32313.39","29103","8799","31895.13","32731.65"
"1986","Sonstige","23979.59","22005","894","22835.79","25123.39"
"1987","(Ehe-)Paar ohne Kind(er)","20116.52","18472","2384","19300.51","20932.53"
"1987","1-Pers.- Haushalt","8718.35","2322.5","1078","7965.3","9471.4"
"1987","Alleinerziehende","17227.54","13582","705","15926.03","18529.05"
"1987","Paar mit Kind(ern)","32935.74","29800","8532","32566.91","33304.57"
"1987","Sonstige","26656.72","23300","943","25397.68","27915.76"
"1988","(Ehe-)Paar ohne Kind(er)","21594.12","19517.5","2336","20697.26","22490.98"
"1988","1-Pers.- Haushalt","8884.29","2384","1037","8102.19","9666.39"
"1988","Alleinerziehende","18675.17","15161","704","17422.68","19927.66"
"1988","Paar mit Kind(ern)","34167.58","30594.5","8110","33766.65","34568.51"
"1988","Sonstige","27023.78","24480","826","25613.94","28433.62"
"1989","(Ehe-)Paar ohne Kind(er)","23219.28","21583.5","2316","22266.7","24171.86"
"1989","1-Pers.- Haushalt","9727.01","3152.5","1040","8776.28","10677.74"
"1989","Alleinerziehende","20164.54","15901","660","18684.02","21645.06"
"1989","Paar mit Kind(ern)","35701.01","31456.5","7743","35244","36158.02"
"1989","Sonstige","29728.05","25392.5","835","28194.74","31261.36"
"1990","(Ehe-)Paar ohne Kind(er)","23818.74","21231","2368","22693.86","24943.62"
"1990","1-Pers.- Haushalt","10341.57","3157.5","1001","9303.53","11379.61"
"1990","Alleinerziehende","20837.61","17767","640","19411.53","22263.69"
"1990","Paar mit Kind(ern)","38279.51","33116.5","7526","37757.66","38801.36"
"1990","Sonstige","32923.89","31603.5","898","31369.35","34478.43"
"1991","(Ehe-)Paar ohne Kind(er)","24860.04","22241","2396","23868.11","25851.97"
"1991","1-Pers.- Haushalt","11246.89","3693.5","1003","10287.25","12206.53"
"1991","Alleinerziehende","20948.42","17859","659","19478.88","22417.96"
"1991","Paar mit Kind(ern)","40116.1","35318.5","7467","39625.53","40606.67"
"1991","Sonstige","33879.96","32497.5","902","32434.7","35325.22"
"1992","(Ehe-)Paar ohne Kind(er)","23863.01","19846","3390","22976.57","24749.45"
"1992","1-Pers.- Haushalt","10912.8","2874","1302","10028.56","11797.04"
"1992","Alleinerziehende","19336.4","15876","957","18177.84","20494.96"
"1992","Paar mit Kind(ern)","38015.07","33551","10961","37639.47","38390.67"
"1992","Sonstige","32983.96","25898","1232","31677.67","34290.25"
"1993","(Ehe-)Paar ohne Kind(er)","25832.65","21679.5","3448","25037.56","26627.74"
"1993","1-Pers.- Haushalt","11864.49","3312","1362","10982.31","12746.67"
"1993","Alleinerziehende","18473.79","16151","918","17498.14","19449.44"
"1993","Paar mit Kind(ern)","40897.5","36382","10565","40457.61","41337.39"
"1993","Sonstige","31080.02","28182.5","1235","29672.09","32487.95"
"1994","(Ehe-)Paar ohne Kind(er)","26607.75","21843","3538","25802.41","27413.09"
"1994","1-Pers.- Haushalt","11816.63","3254.5","1362","10883.31","12749.95"
"1994","Alleinerziehende","21214.56","16132.5","882","19959.79","22469.33"
"1994","Paar mit Kind(ern)","41968.4","37954","10166","41501.87","42434.93"
"1994","Sonstige","34649.44","30982","1190","33232.94","36065.94"
"1995","(Ehe-)Paar ohne Kind(er)","27652.7","22604","3654","26801.94","28503.46"
"1995","1-Pers.- Haushalt","11926.55","3398.5","1404","11068.73","12784.37"
"1995","Alleinerziehende","19784.62","16540.5","942","18665.71","20903.53"
"1995","Paar mit Kind(ern)","42219.34","38244.5","10523","41739.44","42699.24"
"1995","Sonstige","35280.57","31484","1189","33846.48","36714.66"
"1996","(Ehe-)Paar ohne Kind(er)","28065.27","21845.5","3682","27104.5","29026.04"
"1996","1-Pers.- Haushalt","12952.04","3715.5","1433","11897.5","14006.58"
