year,quintil_oecd_hh,sampreg,pet_dog,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2011,5th Quintile,West,No,0.87536,2127,2451,0.86228,0.88844
2011,5th Quintile,East,Yes,0.16603,50,325,0.12551,0.20654
2011,5th Quintile,East,No,0.83397,275,325,0.79346,0.87449
2016,1st Quintile,West,Yes,0.10697,297,2276,0.09426,0.11967
2016,1st Quintile,West,No,0.89303,1979,2276,0.88033,0.90574
2016,1st Quintile,East,Yes,0.14240,142,820,0.11846,0.16633
2016,1st Quintile,East,No,0.85760,678,820,0.83367,0.88154
2016,2nd Quintile,West,Yes,0.11502,283,2242,0.10181,0.12823
2016,2nd Quintile,West,No,0.88498,1959,2242,0.87177,0.89819
2016,2nd Quintile,East,Yes,0.13557,127,799,0.11182,0.15932
2016,2nd Quintile,East,No,0.86443,672,799,0.84068,0.88818
2016,3rd Quintile,West,Yes,0.11844,291,2071,0.10452,0.13236
2016,3rd Quintile,West,No,0.88156,1780,2071,0.86764,0.89548
2016,3rd Quintile,East,Yes,0.12197,88,672,0.09721,0.14673
2016,3rd Quintile,East,No,0.87803,584,672,0.85327,0.90279
2016,4th Quintile,West,Yes,0.12578,309,2205,0.11193,0.13962
2016,4th Quintile,West,No,0.87422,1896,2205,0.86038,0.88807
2016,4th Quintile,East,Yes,0.12272,57,457,0.09260,0.15284
2016,4th Quintile,East,No,0.87728,400,457,0.84716,0.90740
2016,5th Quintile,West,Yes,0.12648,316,2429,0.11326,0.13970
2016,5th Quintile,West,No,0.87352,2113,2429,0.86030,0.88674
2016,5th Quintile,East,Yes,0.11042,46,326,0.07635,0.14450
2016,5th Quintile,East,No,0.88958,280,326,0.85550,0.92365
2021,1st Quintile,West,Yes,0.10963,179,1508,0.09386,0.12540
2021,1st Quintile,West,No,0.89037,1329,1508,0.87460,0.90614
2021,1st Quintile,East,Yes,0.13716,79,534,0.10795,0.16636
2021,1st Quintile,East,No,0.86284,455,534,0.83364,0.89205
2021,2nd Quintile,West,Yes,0.10301,232,1617,0.08819,0.11783
2021,2nd Quintile,West,No,0.89699,1385,1617,0.88217,0.91181
2021,2nd Quintile,East,Yes,0.10458,92,567,0.07937,0.12979
2021,2nd Quintile,East,No,0.89542,475,567,0.87021,0.92063
2021,3rd Quintile,West,Yes,0.12312,242,1549,0.10675,0.13949
2021,3rd Quintile,West,No,0.87688,1307,1549,0.86051,0.89325
2021,3rd Quintile,East,Yes,0.10788,72,475,0.07995,0.13581
2021,3rd Quintile,East,No,0.89212,403,475,0.86419,0.92005
2021,4th Quintile,West,Yes,0.13248,243,1688,0.11630,0.14865
2021,4th Quintile,West,No,0.86752,1445,1688,0.85135,0.88370
2021,4th Quintile,East,Yes,0.12316,50,390,0.09050,0.15581
2021,4th Quintile,East,No,0.87684,340,390,0.84419,0.90950
2021,5th Quintile,West,Yes,0.13609,360,2288,0.12204,0.15014
2021,5th Quintile,West,No,0.86391,1928,2288,0.84986,0.87796
2021,5th Quintile,East,Yes,0.15520,59,421,0.12057,0.18983
2021,5th Quintile,East,No,0.84480,362,421,0.81017,0.87943
