year,pet_dog,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1996,Yes,0.11644,804,6631,0.10872,0.12416
1996,No,0.88356,5827,6631,0.87584,0.89128
2001,Yes,0.12106,1622,11680,0.11515,0.12698
2001,No,0.87894,10058,11680,0.87302,0.88485
2006,Yes,0.11883,1665,12265,0.11310,0.12456
2006,No,0.88117,10600,12265,0.87544,0.88690
2011,Yes,0.10895,1571,12084,0.10339,0.11450
2011,No,0.81449,10513,12084,0.80756,0.82142
2016,Yes,0.12034,1956,14302,0.11501,0.12567
2016,No,0.87436,12346,14302,0.86893,0.87979
2021,Yes,0.12041,1611,11056,0.11434,0.12648
2021,No,0.86830,9445,11056,0.86200,0.87460
