year,regtyp,sampreg,pet_dog,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1996,Urban regions,West,Yes,0.10355,367,3770,0.09382,0.11328
1996,Urban regions,West,No,0.89645,3403,3770,0.88672,0.90618
1996,Urban regions,East,Yes,0.09069,64,638,0.06839,0.11299
1996,Urban regions,East,No,0.90931,574,638,0.88701,0.93161
1996,Rural regions,West,Yes,0.13300,135,1023,0.11218,0.15382
1996,Rural regions,West,No,0.86700,888,1023,0.84618,0.88782
1996,Rural regions,East,Yes,0.17554,238,1200,0.15400,0.19707
1996,Rural regions,East,No,0.82446,962,1200,0.80293,0.84600
2001,Urban regions,West,Yes,0.10281,759,6828,0.09560,0.11001
2001,Urban regions,West,No,0.89719,6069,6828,0.88999,0.90440
2001,Urban regions,East,Yes,0.09809,112,955,0.07922,0.11697
2001,Urban regions,East,No,0.90191,843,955,0.88303,0.92078
2001,Rural regions,West,Yes,0.14084,317,2009,0.12562,0.15606
2001,Rural regions,West,No,0.85916,1692,2009,0.84394,0.87438
2001,Rural regions,East,Yes,0.19837,434,1888,0.18038,0.21636
2001,Rural regions,East,No,0.80163,1454,1888,0.78364,0.81962
2006,Urban regions,West,Yes,0.09936,817,7176,0.09244,0.10629
2006,Urban regions,West,No,0.90064,6359,7176,0.89371,0.90756
2006,Urban regions,East,Yes,0.08494,101,992,0.06758,0.10230
2006,Urban regions,East,No,0.91506,891,992,0.89770,0.93242
2006,Rural regions,West,Yes,0.15153,357,2161,0.13641,0.16665
2006,Rural regions,West,No,0.84847,1804,2161,0.83335,0.86359
2006,Rural regions,East,Yes,0.18534,390,1936,0.16802,0.20265
2006,Rural regions,East,No,0.81466,1546,1936,0.79735,0.83198
2011,Urban regions,West,Yes,0.10093,772,6851,0.09379,0.10806
2011,Urban regions,West,No,0.89907,6079,6851,0.89194,0.90621
2011,Urban regions,East,Yes,0.09076,95,1022,0.07314,0.10838
2011,Urban regions,East,No,0.90924,927,1022,0.89162,0.92686
2011,Rural regions,West,Yes,0.14868,368,2341,0.13427,0.16310
2011,Rural regions,West,No,0.85132,1973,2341,0.83690,0.86573
2011,Rural regions,East,Yes,0.17141,336,1870,0.15432,0.18849
2011,Rural regions,East,No,0.82859,1534,1870,0.81151,0.84568
2016,Urban regions,West,Yes,0.10795,995,8255,0.10126,0.11465
2016,Urban regions,West,No,0.89205,7260,8255,0.88535,0.89874
2016,Urban regions,East,Yes,0.07654,100,1122,0.06098,0.09211
2016,Urban regions,East,No,0.92346,1022,1122,0.90789,0.93902
2016,Rural regions,West,Yes,0.15288,501,2973,0.13994,0.16582
2016,Rural regions,West,No,0.84712,2472,2973,0.83418,0.86006
2016,Rural regions,East,Yes,0.16057,360,1952,0.14428,0.17686
2016,Rural regions,East,No,0.83943,1592,1952,0.82314,0.85572
2021,Urban regions,West,Yes,0.11328,862,6511,0.10558,0.12098
2021,Urban regions,West,No,0.88672,5649,6511,0.87902,0.89442
2021,Urban regions,East,Yes,0.08061,76,898,0.06279,0.09843
2021,Urban regions,East,No,0.91939,822,898,0.90157,0.93721
2021,Rural regions,West,Yes,0.14768,396,2153,0.13269,0.16266
2021,Rural regions,West,No,0.85232,1757,2153,0.83734,0.86731
2021,Rural regions,East,Yes,0.14468,277,1493,0.12683,0.16253
2021,Rural regions,East,No,0.85532,1216,1493,0.83747,0.87317
