year,hhtyp,pet_dog,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1996,Single-person household,Yes,0.06648,92,1433,0.05358,0.07938
1996,Single-person household,No,0.93352,1341,1433,0.92062,0.94642
1996,Couple without children,Yes,0.11929,216,1841,0.10448,0.13410
1996,Couple without children,No,0.88071,1625,1841,0.86590,0.89552
1996,Single parent,Yes,0.15281,53,387,0.11691,0.18870
1996,Single parent,No,0.84719,334,387,0.81130,0.88309
1996,Couple with children,Yes,0.16036,394,2686,0.14648,0.17424
1996,Couple with children,No,0.83964,2292,2686,0.82576,0.85352
1996,Multi-generational household,No,0.83706,106,106,0.76642,0.90770
1996,Other Combinations,Yes,0.21578,31,160,0.15184,0.27972
1996,Other Combinations,No,0.78422,129,160,0.72028,0.84816
2001,Single-person household,Yes,0.06397,204,2926,0.05510,0.07284
2001,Single-person household,No,0.93603,2722,2926,0.92716,0.94490
2001,Couple without children,Yes,0.12646,470,3589,0.11558,0.13734
2001,Couple without children,No,0.87354,3119,3589,0.86266,0.88442
2001,Single parent,Yes,0.13232,99,706,0.10731,0.15733
2001,Single parent,No,0.86768,607,706,0.84267,0.89269
2001,Couple with children,Yes,0.18540,790,4175,0.17361,0.19719
2001,Couple with children,No,0.81460,3385,4175,0.80281,0.82639
2001,Multi-generational household,Yes,0.20795,32,159,0.14467,0.27123
2001,Multi-generational household,No,0.79205,127,159,0.72877,0.85533
2001,Other Combinations,No,0.80303,98,98,0.72389,0.88218
2006,Single-person household,Yes,0.07152,241,3288,0.06271,0.08032
2006,Single-person household,No,0.92848,3047,3288,0.91968,0.93729
2006,Couple without children,Yes,0.11788,520,4158,0.10808,0.12768
2006,Couple without children,No,0.88212,3638,4158,0.87232,0.89192
2006,Single parent,Yes,0.14745,115,772,0.12243,0.17248
2006,Single parent,No,0.85255,657,772,0.82752,0.87757
2006,Couple with children,Yes,0.18535,743,3837,0.17306,0.19765
2006,Couple with children,No,0.81465,3094,3837,0.80235,0.82694
2006,Multi-generational household,No,0.81538,79,79,0.72928,0.90149
2006,Other Combinations,No,0.82782,85,85,0.74708,0.90856
2011,Single-person household,Yes,0.07971,273,3510,0.07075,0.08867
2011,Single-person household,No,0.92029,3237,3510,0.91133,0.92925
2011,Couple without children,Yes,0.11771,534,4371,0.10816,0.12727
2011,Couple without children,No,0.88229,3837,4371,0.87273,0.89184
2011,Single parent,Yes,0.14505,117,784,0.12039,0.16972
2011,Single parent,No,0.85495,667,784,0.83028,0.87961
2011,Couple with children,Yes,0.19483,609,3240,0.18119,0.20847
2011,Couple with children,No,0.80517,2631,3240,0.79153,0.81881
2011,Multi-generational household,No,0.79896,63,63,0.69919,0.89872
2011,Other Combinations,No,0.81401,78,78,0.72710,0.90092
2016,Single-person household,Yes,0.07127,236,3388,0.06260,0.07993
2016,Single-person household,No,0.92873,3152,3388,0.92007,0.93740
2016,Couple without children,Yes,0.13644,533,4097,0.12593,0.14695
2016,Couple without children,No,0.86356,3564,4097,0.85305,0.87407
2016,Single parent,Yes,0.16796,248,1524,0.14919,0.18674
2016,Single parent,No,0.83204,1276,1524,0.81326,0.85081
2016,Couple with children,Yes,0.18055,892,4990,0.16988,0.19123
2016,Couple with children,No,0.81945,4098,4990,0.80877,0.83012
2016,Multi-generational household,No,0.86003,85,85,0.78584,0.93423
2016,Other Combinations,No,0.87710,171,171,0.82775,0.92646
2021,No answer / don't know,No,0.95436,53,53,0.89764,1.01109
2021,Single-person household,Yes,0.06547,222,3188,0.05688,0.07406
2021,Single-person household,No,0.93453,2966,3188,0.92594,0.94312
2021,Couple without children,Yes,0.13463,474,3414,0.12318,0.14608
2021,Couple without children,No,0.86537,2940,3414,0.85392,0.87682
2021,Single parent,Yes,0.22109,192,896,0.19390,0.24828
2021,Single parent,No,0.77891,704,896,0.75172,0.80610
2021,Couple with children,Yes,0.19194,660,3162,0.17821,0.20567
2021,Couple with children,No,0.80806,2502,3162,0.79433,0.82179
2021,Multi-generational household,No,0.78324,55,55,0.67334,0.89314
2021,Other Combinations,Yes,0.14717,38,263,0.10427,0.19006
2021,Other Combinations,No,0.85283,225,263,0.80994,0.89573
