year,regtyp,rentown,pet_dog,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1996,Urban regions,Owner,Yes,0.16605,238,1397,0.14653,0.18557
1996,Urban regions,Owner,No,0.83395,1159,1397,0.81443,0.85347
1996,Urban regions,Tenant,Yes,0.06519,193,3011,0.05637,0.07401
1996,Urban regions,Tenant,No,0.93481,2818,3011,0.92599,0.94363
1996,Rural regions,Owner,Yes,0.21464,254,998,0.18916,0.24013
1996,Rural regions,Owner,No,0.78536,744,998,0.75987,0.81084
1996,Rural regions,Tenant,Yes,0.08975,119,1225,0.07374,0.10577
1996,Rural regions,Tenant,No,0.91025,1106,1225,0.89423,0.92626
2001,Urban regions,Owner,Yes,0.14468,496,3142,0.13238,0.15698
2001,Urban regions,Owner,No,0.85532,2646,3142,0.84302,0.86762
2001,Urban regions,Tenant,Yes,0.07626,375,4641,0.06863,0.08390
2001,Urban regions,Tenant,No,0.92374,4266,4641,0.91610,0.93137
2001,Rural regions,Owner,Yes,0.21943,523,2125,0.20183,0.23703
2001,Rural regions,Owner,No,0.78057,1602,2125,0.76297,0.79817
2001,Rural regions,Tenant,Yes,0.10573,228,1772,0.09141,0.12005
2001,Rural regions,Tenant,No,0.89427,1544,1772,0.87995,0.90859
2006,Urban regions,Owner,Yes,0.13183,555,3709,0.12094,0.14272
2006,Urban regions,Owner,No,0.86817,3154,3709,0.85728,0.87906
2006,Urban regions,Tenant,Yes,0.07768,363,4458,0.06982,0.08554
2006,Urban regions,Tenant,No,0.92232,4095,4458,0.91446,0.93018
2006,Rural regions,Owner,Yes,0.21636,520,2294,0.19950,0.23321
2006,Rural regions,Owner,No,0.78364,1774,2294,0.76679,0.80050
2006,Rural regions,Tenant,Yes,0.11153,226,1802,0.09699,0.12606
2006,Rural regions,Tenant,No,0.88847,1576,1802,0.87394,0.90301
2011,Urban regions,Owner,Yes,0.12812,497,3595,0.11720,0.13905
2011,Urban regions,Owner,No,0.87188,3098,3595,0.86095,0.88280
2011,Urban regions,Tenant,Yes,0.07854,370,4278,0.07048,0.08661
2011,Urban regions,Tenant,No,0.92146,3908,4278,0.91339,0.92952
2011,Rural regions,Owner,Yes,0.19984,483,2349,0.18366,0.21601
2011,Rural regions,Owner,No,0.80016,1866,2349,0.78399,0.81634
2011,Rural regions,Tenant,Yes,0.10823,221,1862,0.09412,0.12235
2011,Rural regions,Tenant,No,0.89177,1641,1862,0.87765,0.90588
2016,Urban regions,Owner,Yes,0.13459,556,3771,0.12370,0.14548
2016,Urban regions,Owner,No,0.86541,3215,3771,0.85452,0.87630
2016,Urban regions,Tenant,Yes,0.08231,539,5605,0.07511,0.08951
2016,Urban regions,Tenant,No,0.91769,5066,5605,0.91049,0.92489
2016,Rural regions,Owner,Yes,0.19066,534,2531,0.17535,0.20597
2016,Rural regions,Owner,No,0.80934,1997,2531,0.79403,0.82465
2016,Rural regions,Tenant,Yes,0.11693,327,2394,0.10406,0.12981
2016,Rural regions,Tenant,No,0.88307,2067,2394,0.87019,0.89594
2021,Urban regions,Owner,Yes,0.14030,532,3126,0.12812,0.15248
2021,Urban regions,Owner,No,0.85970,2594,3126,0.84752,0.87188
2021,Urban regions,Tenant,Yes,0.08612,405,4279,0.07771,0.09452
2021,Urban regions,Tenant,No,0.91388,3874,4279,0.90548,0.92229
2021,Rural regions,Owner,Yes,0.17930,418,1954,0.16229,0.19631
2021,Rural regions,Owner,No,0.82070,1536,1954,0.80369,0.83771
2021,Rural regions,Tenant,Yes,0.11004,254,1691,0.09512,0.12496
2021,Rural regions,Tenant,No,0.88996,1437,1691,0.87504,0.90488
