,Unnamed: 0,year,quintil_oecd_hh,regtyp,pet_dog,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1996,1st Quintile,Urban regions,Yes,0.09266,73,6626,0.07728,0.10708
1,1,1996,1st Quintile,Urban regions,No,0.90734,811,6626,0.85365,0.95523
2,2,1996,1st Quintile,Rural regions,Yes,0.10733,67,6626,0.09135,0.12798
3,3,1996,1st Quintile,Rural regions,No,0.89267,428,6626,0.83668,0.96742
4,4,1996,2nd Quintile,Urban regions,Yes,0.0751,71,6626,0.06193,0.08819
5,5,1996,2nd Quintile,Urban regions,No,0.9249,836,6626,0.87555,0.97831
6,6,1996,2nd Quintile,Rural regions,Yes,0.15705,98,6626,0.13829,0.17992
7,7,1996,2nd Quintile,Rural regions,No,0.84295,446,6626,0.77282,0.90077
8,8,1996,3rd Quintile,Urban regions,Yes,0.1085,84,6626,0.09353,0.12577
9,9,1996,3rd Quintile,Urban regions,No,0.8915,761,6626,0.84259,0.94469
10,10,1996,3rd Quintile,Rural regions,Yes,0.15217,92,6626,0.13331,0.17512
11,11,1996,3rd Quintile,Rural regions,No,0.84783,450,6626,0.78986,0.90779
12,12,1996,4th Quintile,Urban regions,Yes,0.10823,96,6626,0.09331,0.12509
13,13,1996,4th Quintile,Urban regions,No,0.89177,827,6626,0.83837,0.94068
14,14,1996,4th Quintile,Rural regions,Yes,0.13963,63,6626,0.11289,0.16529
15,15,1996,4th Quintile,Rural regions,No,0.86037,318,6626,0.79348,0.93351
16,16,1996,5th Quintile,Urban regions,Yes,0.12405,107,6626,0.1057,0.14224
17,17,1996,5th Quintile,Urban regions,No,0.87595,727,6626,0.83806,0.92145
18,18,1996,5th Quintile,Rural regions,Yes,0.19808,52,6626,0.16036,0.24494
19,19,1996,5th Quintile,Rural regions,No,0.80192,219,6626,0.73956,0.86779
20,20,2001,1st Quintile,Urban regions,Yes,0.08636,125,11678,0.07648,0.09554
21,21,2001,1st Quintile,Urban regions,No,0.91364,1289,11678,0.88483,0.94072
22,22,2001,1st Quintile,Rural regions,Yes,0.13976,140,11678,0.1286,0.15271
23,23,2001,1st Quintile,Rural regions,No,0.86024,659,11678,0.81911,0.90181
24,24,2001,2nd Quintile,Urban regions,Yes,0.10096,166,11678,0.09087,0.11088
25,25,2001,2nd Quintile,Urban regions,No,0.89904,1344,11678,0.87374,0.9324
26,26,2001,2nd Quintile,Rural regions,Yes,0.16976,194,11678,0.15668,0.18513
27,27,2001,2nd Quintile,Rural regions,No,0.83024,758,11678,0.79795,0.86061
28,28,2001,3rd Quintile,Urban regions,Yes,0.10571,191,11678,0.09728,0.11507
29,29,2001,3rd Quintile,Urban regions,No,0.89429,1375,11678,0.86629,0.92285
30,30,2001,3rd Quintile,Rural regions,Yes,0.1661,183,11678,0.15309,0.17744
31,31,2001,3rd Quintile,Rural regions,No,0.8339,711,11678,0.79652,0.87253
32,32,2001,4th Quintile,Urban regions,Yes,0.10891,195,11678,0.10063,0.11905
33,33,2001,4th Quintile,Urban regions,No,0.89109,1416,11678,0.86657,0.92004
34,34,2001,4th Quintile,Rural regions,Yes,0.1784,149,11678,0.1651,0.19578
35,35,2001,4th Quintile,Rural regions,No,0.8216,608,11678,0.7793,0.8673
36,36,2001,5th Quintile,Urban regions,Yes,0.10921,193,11678,0.09866,0.11923
37,37,2001,5th Quintile,Urban regions,No,0.89079,1471,11678,0.86397,0.91711
38,38,2001,5th Quintile,Rural regions,Yes,0.16447,86,11678,0.1474,0.18897
39,39,2001,5th Quintile,Rural regions,No,0.83553,425,11678,0.78472,0.8824
40,40,2006,1st Quintile,Urban regions,Yes,0.08583,120,12259,0.07672,0.09921
41,41,2006,1st Quintile,Urban regions,No,0.91417,1200,12259,0.87833,0.94616
42,42,2006,1st Quintile,Rural regions,Yes,0.14814,125,12259,0.13261,0.16729
43,43,2006,1st Quintile,Rural regions,No,0.85186,636,12259,0.81185,0.89775
44,44,2006,2nd Quintile,Urban regions,Yes,0.10499,152,12259,0.0932,0.11779
45,45,2006,2nd Quintile,Urban regions,No,0.89501,1175,12259,0.86301,0.92727
46,46,2006,2nd Quintile,Rural regions,Yes,0.15725,173,12259,0.14309,0.17269
47,47,2006,2nd Quintile,Rural regions,No,0.84275,734,12259,0.8016,0.88618
48,48,2006,3rd Quintile,Urban regions,Yes,0.10533,178,12259,0.09283,0.11848
49,49,2006,3rd Quintile,Urban regions,No,0.89467,1323,12259,0.86082,0.93243
50,50,2006,3rd Quintile,Rural regions,Yes,0.18394,176,12259,0.16611,0.20288
51,51,2006,3rd Quintile,Rural regions,No,0.81606,731,12259,0.77029,0.85862
52,52,2006,4th Quintile,Urban regions,Yes,0.09443,190,12259,0.08569,0.10606
53,53,2006,4th Quintile,Urban regions,No,0.90557,1490,12259,0.87742,0.93718
54,54,2006,4th Quintile,Rural regions,Yes,0.16943,139,12259,0.14772,0.19399
55,55,2006,4th Quintile,Rural regions,No,0.83057,662,12259,0.78214,0.88878
56,56,2006,5th Quintile,Urban regions,Yes,0.10038,277,12259,0.0886,0.11165
57,57,2006,5th Quintile,Urban regions,No,0.89962,2037,12259,0.86282,0.93453
58,58,2006,5th Quintile,Rural regions,Yes,0.15919,133,12259,0.13357,0.18858
59,59,2006,5th Quintile,Rural regions,No,0.84081,608,12259,0.77684,0.90279
60,60,2011,1st Quintile,Urban regions,Yes,0.08266,130,12081,0.06995,0.09686
61,61,2011,1st Quintile,Urban regions,No,0.91734,1250,12081,0.87508,0.9718
62,62,2011,1st Quintile,Rural regions,Yes,0.1441,134,12081,0.12142,0.16677
63,63,2011,1st Quintile,Rural regions,No,0.8559,724,12081,0.80258,0.91069
64,64,2011,2nd Quintile,Urban regions,Yes,0.09765,134,12081,0.08267,0.11317
65,65,2011,2nd Quintile,Urban regions,No,0.90235,1212,12081,0.85758,0.95191
66,66,2011,2nd Quintile,Rural regions,Yes,0.15068,150,12081,0.12832,0.17623
67,67,2011,2nd Quintile,Rural regions,No,0.84932,767,12081,0.79943,0.91057
68,68,2011,3rd Quintile,Urban regions,Yes,0.10585,173,12081,0.09265,0.1191
69,69,2011,3rd Quintile,Urban regions,No,0.89415,1263,12081,0.86148,0.92939
70,70,2011,3rd Quintile,Rural regions,Yes,0.15777,169,12081,0.13554,0.18036
71,71,2011,3rd Quintile,Rural regions,No,0.84223,774,12081,0.79221,0.89302
