year,bula_h,hhtyp,pet_dog,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1996,Schleswig-Holstein,Single-person household,No,0.94846,36,36,0.87521,1.02171
1996,Schleswig-Holstein,Couple without children,No,0.83752,35,35,0.71352,0.96152
1996,Schleswig-Holstein,Couple with children,No,0.78207,44,44,0.65868,0.90547
1996,Hamburg,Single-person household,No,0.96309,42,42,0.90538,1.02080
1996,Lower Saxony,Single-person household,No,0.95514,108,108,0.91592,0.99436
1996,Lower Saxony,Couple without children,No,0.86995,136,136,0.81321,0.92669
1996,Lower Saxony,Couple with children,Yes,0.21196,33,198,0.15488,0.26903
1996,Lower Saxony,Couple with children,No,0.78804,165,198,0.73097,0.84512
1996,North Rhine-Westphalia,Single-person household,No,0.94623,275,275,0.91952,0.97294
1996,North Rhine-Westphalia,Couple without children,No,0.88739,306,306,0.85192,0.92287
1996,North Rhine-Westphalia,Single parent,No,0.93335,75,75,0.87652,0.99018
1996,North Rhine-Westphalia,Couple with children,Yes,0.13099,59,540,0.10251,0.15947
1996,North Rhine-Westphalia,Couple with children,No,0.86901,481,540,0.84053,0.89749
1996,Hesse,Single-person household,No,0.94014,94,94,0.89192,0.98835
1996,Hesse,Couple without children,No,0.89024,129,129,0.83608,0.94439
1996,Hesse,Couple with children,No,0.85632,162,162,0.80213,0.91050
1996,"Rhineland-Palatinate, Saarland",Single-person household,No,0.96292,60,60,0.91470,1.01114
1996,"Rhineland-Palatinate, Saarland",Couple without children,No,0.80285,84,84,0.71726,0.88844
1996,"Rhineland-Palatinate, Saarland",Couple with children,No,0.86189,121,121,0.80016,0.92362
1996,Baden-Wuerttemberg,Single-person household,No,0.89371,156,156,0.84519,0.94224
1996,Baden-Wuerttemberg,Couple without children,No,0.90668,192,192,0.86542,0.94793
1996,Baden-Wuerttemberg,Single parent,No,0.96266,41,41,0.90391,1.02142
1996,Baden-Wuerttemberg,Couple with children,Yes,0.13264,34,369,0.09799,0.16730
1996,Baden-Wuerttemberg,Couple with children,No,0.86736,335,369,0.83270,0.90201
1996,Bavaria,Single-person household,No,0.89328,178,178,0.84779,0.93876
1996,Bavaria,Couple without children,No,0.92849,217,217,0.89413,0.96286
1996,Bavaria,Single parent,No,0.79873,40,40,0.67289,0.92457
1996,Bavaria,Couple with children,Yes,0.15876,45,351,0.12047,0.19704
1996,Bavaria,Couple with children,No,0.84124,306,351,0.80296,0.87953
1996,Berlin,Single-person household,No,0.92577,84,84,0.86937,0.98216
1996,Berlin,Couple without children,No,0.88820,70,70,0.81385,0.96256
1996,Berlin,Couple with children,No,0.94354,101,101,0.89830,0.98878
1996,Brandenburg,Single-person household,No,0.90790,54,54,0.83005,0.98575
1996,Brandenburg,Couple without children,No,0.78033,67,67,0.68044,0.88022
1996,Brandenburg,Couple with children,No,0.75443,82,82,0.66069,0.84817
1996,Mecklenburg-Western Pomerania,Single-person household,No,0.98143,35,35,0.93604,1.02681
1996,Mecklenburg-Western Pomerania,Couple without children,No,0.77757,48,48,0.65868,0.89647
1996,Mecklenburg-Western Pomerania,Couple with children,No,0.78490,66,66,0.68501,0.88479
1996,Saxony,Single-person household,No,0.95821,89,89,0.91640,1.00002
1996,Saxony,Couple without children,No,0.93887,155,155,0.90104,0.97671
1996,Saxony,Couple with children,Yes,0.16203,37,229,0.11420,0.20986
1996,Saxony,Couple with children,No,0.83797,192,229,0.79014,0.88580
1996,Saxony-Anhalt,Single-person household,No,0.91026,52,52,0.83183,0.98870
1996,Saxony-Anhalt,Couple without children,No,0.82039,82,82,0.73679,0.90398
1996,Saxony-Anhalt,Couple with children,Yes,0.29180,40,143,0.21703,0.36657
1996,Saxony-Anhalt,Couple with children,No,0.70820,103,143,0.63343,0.78297
1996,Thuringa,Single-person household,No,0.97516,59,59,0.93511,1.01522
1996,Thuringa,Couple without children,No,0.84202,74,74,0.75835,0.92569
1996,Thuringa,Couple with children,Yes,0.26033,34,140,0.18738,0.33328
1996,Thuringa,Couple with children,No,0.73967,106,140,0.66672,0.81262
2001,Schleswig-Holstein,Single-person household,No,0.92134,88,88,0.86477,0.97791
2001,Schleswig-Holstein,Couple without children,No,0.87054,110,110,0.80752,0.93356
2001,Schleswig-Holstein,Couple with children,No,0.74971,85,85,0.65708,0.84235
2001,Hamburg,Single-person household,No,0.97555,85,85,0.94253,1.00858
2001,Hamburg,Couple without children,No,0.92117,41,41,0.83767,1.00468
2001,Lower Saxony,Single-person household,No,0.94286,189,189,0.90968,0.97604
2001,Lower Saxony,Couple without children,Yes,0.15550,45,311,0.11516,0.19584
2001,Lower Saxony,Couple without children,No,0.84450,266,311,0.80416,0.88484
2001,Lower Saxony,Single parent,No,0.79900,44,44,0.67921,0.91878
2001,Lower Saxony,Couple with children,Yes,0.20035,73,366,0.15929,0.24141
2001,Lower Saxony,Couple with children,No,0.79965,293,366,0.75859,0.84071
2001,North Rhine-Westphalia,Single-person household,Yes,0.05640,37,603,0.03797,0.07483
2001,North Rhine-Westphalia,Single-person household,No,0.94360,566,603,0.92517,0.96203
2001,North Rhine-Westphalia,Couple without children,Yes,0.09903,78,795,0.07825,0.11981
2001,North Rhine-Westphalia,Couple without children,No,0.90097,717,795,0.88019,0.92175
2001,North Rhine-Westphalia,Single parent,No,0.88839,114,114,0.83033,0.94645
2001,North Rhine-Westphalia,Couple with children,Yes,0.20624,168,895,0.17971,0.23276
2001,North Rhine-Westphalia,Couple with children,No,0.79376,727,895,0.76724,0.82029
2001,Hesse,Single-person household,No,0.95125,169,169,0.91868,0.98381
2001,Hesse,Couple without children,No,0.89895,225,225,0.85948,0.93842
2001,Hesse,Single parent,No,0.91898,34,34,0.82588,1.01208
2001,Hesse,Couple with children,Yes,0.15017,44,291,0.10905,0.19128
2001,Hesse,Couple with children,No,0.84983,247,291,0.80872,0.89095
2001,"Rhineland-Palatinate, Saarland",Single-person household,No,0.90115,148,148,0.85290,0.94940
2001,"Rhineland-Palatinate, Saarland",Couple without children,No,0.84064,173,173,0.78594,0.89534
2001,"Rhineland-Palatinate, Saarland",Single parent,No,0.82379,40,40,0.70421,0.94337
2001,"Rhineland-Palatinate, Saarland",Couple with children,Yes,0.15000,45,281,0.10818,0.19183
2001,"Rhineland-Palatinate, Saarland",Couple with children,No,0.85000,236,281,0.80817,0.89182
2001,Baden-Wuerttemberg,Single-person household,No,0.92953,304,304,0.90071,0.95835
2001,Baden-Wuerttemberg,Couple without children,Yes,0.09126,34,368,0.06180,0.12072
2001,Baden-Wuerttemberg,Couple without children,No,0.90874,334,368,0.87928,0.93820
2001,Baden-Wuerttemberg,Single parent,No,0.87909,71,71,0.80272,0.95547
2001,Baden-Wuerttemberg,Couple with children,Yes,0.12629,69,551,0.09852,0.15405
2001,Baden-Wuerttemberg,Couple with children,No,0.87371,482,551,0.84595,0.90148
2001,Bavaria,Single-person household,No,0.93769,388,388,0.91360,0.96177
2001,Bavaria,Couple without children,Yes,0.11101,49,468,0.08252,0.13950
2001,Bavaria,Couple without children,No,0.88899,419,468,0.86050,0.91748
2001,Bavaria,Single parent,No,0.91458,95,95,0.85807,0.97108
2001,Bavaria,Couple with children,Yes,0.16112,96,584,0.13128,0.19096
2001,Bavaria,Couple with children,No,0.83888,488,584,0.80904,0.86872
2001,Berlin,Single-person household,No,0.94917,168,168,0.91586,0.98249
