year,hhtyp,sampreg,pet_dog,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1996,Single-person household,West,Yes,0.06850,71,1089,0.05349,0.08351
1996,Single-person household,West,No,0.93150,1018,1089,0.91649,0.94651
1996,Single-person household,East,No,0.94439,323,323,0.91935,0.96942
1996,Couple without children,West,Yes,0.11257,136,1306,0.09543,0.12972
1996,Couple without children,West,No,0.88743,1170,1306,0.87028,0.90457
1996,Couple without children,East,Yes,0.14677,80,535,0.11676,0.17679
1996,Couple without children,East,No,0.85323,455,535,0.82321,0.88324
1996,Single parent,West,Yes,0.14039,34,278,0.09948,0.18130
1996,Single parent,West,No,0.85961,244,278,0.81870,0.90052
1996,Single parent,East,No,0.79431,90,90,0.71033,0.87829
1996,Couple with children,West,Yes,0.14875,230,1922,0.13284,0.16467
1996,Couple with children,West,No,0.85125,1692,1922,0.83533,0.86716
1996,Couple with children,East,Yes,0.20985,164,764,0.18096,0.23875
1996,Couple with children,East,No,0.79015,600,764,0.76125,0.81904
1996,Multi-generational household,West,No,0.85639,85,85,0.78139,0.93139
1996,Other Combinations,West,No,0.78788,82,82,0.69886,0.87691
1996,Other Combinations,East,No,0.77649,47,47,0.65610,0.89688
2001,Single-person household,West,Yes,0.05985,141,2220,0.04998,0.06972
2001,Single-person household,West,No,0.94015,2079,2220,0.93028,0.95002
2001,Single-person household,East,Yes,0.08162,63,706,0.06141,0.10183
2001,Single-person household,East,No,0.91838,643,706,0.89817,0.93859
2001,Couple without children,West,Yes,0.11279,294,2664,0.10078,0.12481
2001,Couple without children,West,No,0.88721,2370,2664,0.87519,0.89922
2001,Couple without children,East,Yes,0.18474,176,925,0.15971,0.20976
2001,Couple without children,East,No,0.81526,749,925,0.79024,0.84029
2001,Single parent,West,Yes,0.12020,63,514,0.09206,0.14834
2001,Single parent,West,No,0.87980,451,514,0.85166,0.90794
2001,Single parent,East,Yes,0.17711,36,192,0.12297,0.23125
2001,Single parent,East,No,0.82289,156,192,0.76875,0.87703
