year,pgisced97,plj0046,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1999,Pre-primary Level,Very concerned,0.26521,80,313,0.21623,0.31419
1999,Pre-primary Level,Somewhat concerned,0.42267,138,313,0.36786,0.47749
1999,Pre-primary Level,Not concerned at all,0.29482,95,313,0.24422,0.34541
1999,Primary Level,Very concerned,0.27744,102,422,0.23467,0.32021
1999,Primary Level,Somewhat concerned,0.41597,193,422,0.36889,0.46305
1999,Primary Level,Not concerned at all,0.27653,127,422,0.23380,0.31926
1999,Lower Secondary Level,Very concerned,0.38342,852,2421,0.36405,0.40279
1999,Lower Secondary Level,Somewhat concerned,0.44503,1111,2421,0.42523,0.46483
1999,Lower Secondary Level,Not concerned at all,0.16258,458,2421,0.14788,0.17728
1999,Upper Secondary Level,Very concerned,0.39801,2707,6912,0.38647,0.40955
1999,Upper Secondary Level,Somewhat concerned,0.45512,3192,6912,0.44338,0.46686
1999,Upper Secondary Level,Not concerned at all,0.14257,1013,6912,0.13432,0.15081
1999,Post-secondary Non-tertiary Level,Very concerned,0.27107,128,503,0.23218,0.30995
1999,Post-secondary Non-tertiary Level,Somewhat concerned,0.45031,233,503,0.40678,0.49383
1999,Post-secondary Non-tertiary Level,Not concerned at all,0.27863,142,503,0.23941,0.31785
1999,First Stage of Tertiary Education,Very concerned,0.35113,294,807,0.31818,0.38409
1999,First Stage of Tertiary Education,Somewhat concerned,0.44990,376,807,0.41556,0.48425
1999,First Stage of Tertiary Education,Not concerned at all,0.18284,137,807,0.15615,0.20952
1999,Second Stage of Tertiary Education,Very concerned,0.23187,455,1954,0.21315,0.25059
1999,Second Stage of Tertiary Education,Somewhat concerned,0.45097,919,1954,0.42891,0.47304
1999,Second Stage of Tertiary Education,Not concerned at all,0.31154,580,1954,0.29100,0.33208
2000,Pre-primary Level,Very concerned,0.16496,81,485,0.13190,0.19803
2000,Pre-primary Level,Somewhat concerned,0.45499,224,485,0.41063,0.49935
2000,Pre-primary Level,Not concerned at all,0.35592,180,485,0.31327,0.39858
2000,Primary Level,Very concerned,0.24855,90,390,0.20560,0.29150
2000,Primary Level,Somewhat concerned,0.36337,155,390,0.31557,0.41116
2000,Primary Level,Not concerned at all,0.35590,145,390,0.30832,0.40348
2000,Lower Secondary Level,Very concerned,0.30815,1048,3504,0.29286,0.32344
2000,Lower Secondary Level,Somewhat concerned,0.43742,1545,3504,0.42099,0.45385
2000,Lower Secondary Level,Not concerned at all,0.23643,911,3504,0.22236,0.25050
2000,Upper Secondary Level,Very concerned,0.33911,4295,12660,0.33086,0.34735
2000,Upper Secondary Level,Somewhat concerned,0.45782,5966,12660,0.44914,0.46650
2000,Upper Secondary Level,Not concerned at all,0.19102,2399,12660,0.18417,0.19786
2000,Post-secondary Non-tertiary Level,Very concerned,0.19435,232,1109,0.17105,0.21765
2000,Post-secondary Non-tertiary Level,Somewhat concerned,0.45777,512,1109,0.42843,0.48710
2000,Post-secondary Non-tertiary Level,Not concerned at all,0.34077,365,1109,0.31286,0.36868
2000,First Stage of Tertiary Education,Very concerned,0.29970,580,1863,0.27889,0.32051
2000,First Stage of Tertiary Education,Somewhat concerned,0.44629,861,1863,0.42371,0.46887
2000,First Stage of Tertiary Education,Not concerned at all,0.24101,422,1863,0.22158,0.26044
2000,Second Stage of Tertiary Education,Very concerned,0.17792,689,3773,0.16572,0.19013
2000,Second Stage of Tertiary Education,Somewhat concerned,0.41671,1651,3773,0.40097,0.43244
2000,Second Stage of Tertiary Education,Not concerned at all,0.38949,1433,3773,0.37392,0.40505
2001,Pre-primary Level,Very concerned,0.13990,76,534,0.11045,0.16935
2001,Pre-primary Level,Somewhat concerned,0.42484,229,534,0.38287,0.46681
2001,Pre-primary Level,Not concerned at all,0.42128,229,534,0.37937,0.46320
2001,Primary Level,Very concerned,0.23424,56,308,0.18686,0.28161
2001,Primary Level,Somewhat concerned,0.44561,151,308,0.39001,0.50121
2001,Primary Level,Not concerned at all,0.30477,101,308,0.25328,0.35627
2001,Lower Secondary Level,Very concerned,0.26693,782,3038,0.25120,0.28266
2001,Lower Secondary Level,Somewhat concerned,0.45648,1412,3038,0.43877,0.47420
2001,Lower Secondary Level,Not concerned at all,0.26101,844,3038,0.24539,0.27663
2001,Upper Secondary Level,Very concerned,0.27367,3242,11465,0.26551,0.28183
2001,Upper Secondary Level,Somewhat concerned,0.48708,5627,11465,0.47793,0.49623
2001,Upper Secondary Level,Not concerned at all,0.22833,2596,11465,0.22065,0.23602
2001,Post-secondary Non-tertiary Level,Very concerned,0.18209,198,1054,0.15878,0.20540
2001,Post-secondary Non-tertiary Level,Somewhat concerned,0.44566,474,1054,0.41564,0.47568
2001,Post-secondary Non-tertiary Level,Not concerned at all,0.36055,382,1054,0.33155,0.38956
2001,First Stage of Tertiary Education,Very concerned,0.25525,423,1665,0.23430,0.27620
2001,First Stage of Tertiary Education,Somewhat concerned,0.48159,832,1665,0.45758,0.50560
2001,First Stage of Tertiary Education,Not concerned at all,0.25496,410,1665,0.23402,0.27591
2001,Second Stage of Tertiary Education,Very concerned,0.13985,519,3516,0.12838,0.15132
2001,Second Stage of Tertiary Education,Somewhat concerned,0.42697,1515,3516,0.41062,0.44333
2001,Second Stage of Tertiary Education,Not concerned at all,0.42186,1482,3516,0.40553,0.43819
2002,Pre-primary Level,Very concerned,0.15891,98,602,0.12968,0.18814
2002,Pre-primary Level,Somewhat concerned,0.43338,256,602,0.39376,0.47300
2002,Pre-primary Level,Not concerned at all,0.38478,248,602,0.34588,0.42368
2002,Primary Level,Very concerned,0.26863,59,276,0.21624,0.32102
2002,Primary Level,Somewhat concerned,0.36869,122,276,0.31167,0.42571
2002,Primary Level,Not concerned at all,0.33027,95,276,0.27468,0.38586
2002,Lower Secondary Level,Very concerned,0.29486,820,2858,0.27814,0.31158
2002,Lower Secondary Level,Somewhat concerned,0.48333,1369,2858,0.46501,0.50166
2002,Lower Secondary Level,Not concerned at all,0.20962,669,2858,0.19470,0.22455
2002,Upper Secondary Level,Very concerned,0.33170,3701,11492,0.32309,0.34031
2002,Upper Secondary Level,Somewhat concerned,0.47334,5583,11492,0.46421,0.48247
2002,Upper Secondary Level,Not concerned at all,0.18579,2208,11492,0.17868,0.19290
2002,Post-secondary Non-tertiary Level,Very concerned,0.18433,217,1151,0.16192,0.20674
2002,Post-secondary Non-tertiary Level,Somewhat concerned,0.45475,543,1151,0.42597,0.48353
2002,Post-secondary Non-tertiary Level,Not concerned at all,0.35229,391,1151,0.32469,0.37990
2002,First Stage of Tertiary Education,Very concerned,0.29526,480,1732,0.27377,0.31675
2002,First Stage of Tertiary Education,Somewhat concerned,0.46825,851,1732,0.44475,0.49176
2002,First Stage of Tertiary Education,Not concerned at all,0.22898,401,1732,0.20919,0.24878
2002,Second Stage of Tertiary Education,Very concerned,0.16605,736,4535,0.15521,0.17688
2002,Second Stage of Tertiary Education,Somewhat concerned,0.45207,2033,4535,0.43759,0.46656
2002,Second Stage of Tertiary Education,Not concerned at all,0.37453,1766,4535,0.36044,0.38862
2003,Pre-primary Level,Very concerned,0.17298,89,615,0.14306,0.20289
2003,Pre-primary Level,Somewhat concerned,0.40482,248,615,0.36600,0.44365
2003,Pre-primary Level,Not concerned at all,0.40380,278,615,0.36499,0.44262
2003,Primary Level,Very concerned,0.25988,64,261,0.20657,0.31319
2003,Primary Level,Somewhat concerned,0.31718,100,261,0.26061,0.37375
2003,Primary Level,Not concerned at all,0.36369,97,261,0.30521,0.42216
2003,Lower Secondary Level,Very concerned,0.28292,735,2690,0.26589,0.29994
2003,Lower Secondary Level,Somewhat concerned,0.47361,1282,2690,0.45474,0.49248
2003,Lower Secondary Level,Not concerned at all,0.22572,673,2690,0.20992,0.24152
2003,Upper Secondary Level,Very concerned,0.30725,3267,11027,0.29864,0.31586
2003,Upper Secondary Level,Somewhat concerned,0.47115,5302,11027,0.46183,0.48047
2003,Upper Secondary Level,Not concerned at all,0.21426,2458,11027,0.20660,0.22192
2003,Post-secondary Non-tertiary Level,Very concerned,0.19074,213,1143,0.16795,0.21353
2003,Post-secondary Non-tertiary Level,Somewhat concerned,0.46091,541,1143,0.43200,0.48982
2003,Post-secondary Non-tertiary Level,Not concerned at all,0.33692,389,1143,0.30951,0.36433
2003,First Stage of Tertiary Education,Very concerned,0.28393,461,1681,0.26237,0.30549
2003,First Stage of Tertiary Education,Somewhat concerned,0.46555,814,1681,0.44170,0.48940
2003,First Stage of Tertiary Education,Not concerned at all,0.24544,406,1681,0.22486,0.26602
2003,Second Stage of Tertiary Education,Very concerned,0.15090,631,4327,0.14023,0.16156
2003,Second Stage of Tertiary Education,Somewhat concerned,0.44957,1921,4327,0.43475,0.46439
2003,Second Stage of Tertiary Education,Not concerned at all,0.39161,1775,4327,0.37706,0.40615
2004,Pre-primary Level,Very concerned,0.21294,120,634,0.18105,0.24483
2004,Pre-primary Level,Somewhat concerned,0.41656,274,634,0.37815,0.45496
2004,Pre-primary Level,Not concerned at all,0.35896,240,634,0.32159,0.39633
2004,Primary Level,Very concerned,0.33503,65,242,0.27544,0.39463
2004,Primary Level,Somewhat concerned,0.32082,93,242,0.26189,0.37976
2004,Primary Level,Not concerned at all,0.29556,84,242,0.23796,0.35317
2004,Lower Secondary Level,Very concerned,0.33651,828,2528,0.31808,0.35493
2004,Lower Secondary Level,Somewhat concerned,0.43364,1130,2528,0.41432,0.45297
2004,Lower Secondary Level,Not concerned at all,0.20929,570,2528,0.19343,0.22516
2004,Upper Secondary Level,Very concerned,0.37041,3906,10712,0.36126,0.37955
2004,Upper Secondary Level,Somewhat concerned,0.44460,4856,10712,0.43519,0.45402
2004,Upper Secondary Level,Not concerned at all,0.17618,1950,10712,0.16896,0.18339
2004,Post-secondary Non-tertiary Level,Very concerned,0.23354,272,1146,0.20903,0.25804
2004,Post-secondary Non-tertiary Level,Somewhat concerned,0.46048,551,1146,0.43161,0.48935
2004,Post-secondary Non-tertiary Level,Not concerned at all,0.29381,323,1146,0.26743,0.32019
2004,First Stage of Tertiary Education,Very concerned,0.33427,523,1631,0.31137,0.35717
2004,First Stage of Tertiary Education,Somewhat concerned,0.46456,764,1631,0.44035,0.48878
2004,First Stage of Tertiary Education,Not concerned at all,0.19349,344,1631,0.17432,0.21267
2004,Second Stage of Tertiary Education,Very concerned,0.22793,872,4279,0.21536,0.24050
2004,Second Stage of Tertiary Education,Somewhat concerned,0.43154,1942,4279,0.41670,0.44638
2004,Second Stage of Tertiary Education,Not concerned at all,0.33699,1465,4279,0.32282,0.35115
2005,Pre-primary Level,Very concerned,0.21679,125,644,0.18494,0.24864
2005,Pre-primary Level,Somewhat concerned,0.44436,294,644,0.40596,0.48277
