year,bula_h,quintil_oecd,plj0046,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1999,Schleswig-Holstein,2nd Quintile,Somewhat concerned,0.61166,37,37,0.45245,0.77087
1999,Schleswig-Holstein,4th Quintile,Somewhat concerned,0.43711,31,31,0.25961,0.61462
1999,Schleswig-Holstein,5th Quintile,Somewhat concerned,0.47063,41,41,0.31595,0.62532
1999,Lower Saxony,1st Quintile,Very concerned,0.34955,58,202,0.28363,0.41548
1999,Lower Saxony,1st Quintile,Somewhat concerned,0.48938,108,202,0.42027,0.55848
1999,Lower Saxony,1st Quintile,Not concerned at all,0.16107,36,202,0.11025,0.21189
1999,Lower Saxony,2nd Quintile,Very concerned,0.46063,86,220,0.39462,0.52665
1999,Lower Saxony,2nd Quintile,Somewhat concerned,0.41146,91,220,0.34629,0.47664
1999,Lower Saxony,2nd Quintile,Not concerned at all,0.12790,43,220,0.08367,0.17214
1999,Lower Saxony,3rd Quintile,Very concerned,0.41653,94,236,0.35350,0.47956
1999,Lower Saxony,3rd Quintile,Somewhat concerned,0.40139,102,236,0.33871,0.46406
1999,Lower Saxony,3rd Quintile,Not concerned at all,0.18208,40,236,0.13274,0.23142
1999,Lower Saxony,4th Quintile,Very concerned,0.33825,78,236,0.27776,0.39874
1999,Lower Saxony,4th Quintile,Somewhat concerned,0.47318,112,236,0.40934,0.53702
1999,Lower Saxony,4th Quintile,Not concerned at all,0.18857,46,236,0.13856,0.23859
1999,Lower Saxony,5th Quintile,Very concerned,0.35349,87,266,0.29593,0.41105
1999,Lower Saxony,5th Quintile,Somewhat concerned,0.46104,126,266,0.40102,0.52106
1999,Lower Saxony,5th Quintile,Not concerned at all,0.18547,53,266,0.13867,0.23227
1999,North Rhine-Westphalia,1st Quintile,Very concerned,0.33205,165,539,0.29226,0.37185
1999,North Rhine-Westphalia,1st Quintile,Somewhat concerned,0.46508,249,539,0.42294,0.50723
1999,North Rhine-Westphalia,1st Quintile,Not concerned at all,0.20286,125,539,0.16888,0.23684
1999,North Rhine-Westphalia,2nd Quintile,Very concerned,0.38594,197,547,0.34511,0.42678
1999,North Rhine-Westphalia,2nd Quintile,Somewhat concerned,0.46067,263,547,0.41886,0.50248
1999,North Rhine-Westphalia,2nd Quintile,Not concerned at all,0.15339,87,547,0.12316,0.18362
1999,North Rhine-Westphalia,3rd Quintile,Very concerned,0.43993,181,450,0.39402,0.48584
1999,North Rhine-Westphalia,3rd Quintile,Somewhat concerned,0.41800,199,450,0.37237,0.46362
1999,North Rhine-Westphalia,3rd Quintile,Not concerned at all,0.14208,70,450,0.10978,0.17437
1999,North Rhine-Westphalia,4th Quintile,Very concerned,0.35642,191,546,0.31621,0.39663
1999,North Rhine-Westphalia,4th Quintile,Somewhat concerned,0.42954,237,546,0.38798,0.47110
1999,North Rhine-Westphalia,4th Quintile,Not concerned at all,0.21404,118,546,0.17961,0.24848
1999,North Rhine-Westphalia,5th Quintile,Very concerned,0.32690,205,606,0.28952,0.36428
1999,North Rhine-Westphalia,5th Quintile,Somewhat concerned,0.42031,256,606,0.38098,0.45965
1999,North Rhine-Westphalia,5th Quintile,Not concerned at all,0.25278,145,606,0.21815,0.28742
1999,Hesse,1st Quintile,Very concerned,0.35702,54,162,0.28301,0.43103
1999,Hesse,1st Quintile,Somewhat concerned,0.34716,63,162,0.27362,0.42070
1999,Hesse,1st Quintile,Not concerned at all,0.29582,45,162,0.22532,0.36632
1999,Hesse,2nd Quintile,Very concerned,0.35980,47,170,0.28744,0.43216
1999,Hesse,2nd Quintile,Somewhat concerned,0.49108,86,170,0.41570,0.56645
1999,Hesse,2nd Quintile,Not concerned at all,0.14913,37,170,0.09542,0.20283
1999,Hesse,3rd Quintile,Very concerned,0.35390,49,132,0.27202,0.43579
1999,Hesse,3rd Quintile,Somewhat concerned,0.50512,83,132,0.41950,0.59074
1999,Hesse,4th Quintile,Very concerned,0.33855,58,158,0.26452,0.41257
1999,Hesse,4th Quintile,Somewhat concerned,0.53723,100,158,0.45924,0.61523
1999,Hesse,5th Quintile,Very concerned,0.32369,64,208,0.25995,0.38742
1999,Hesse,5th Quintile,Somewhat concerned,0.42854,89,208,0.36112,0.49595
1999,Hesse,5th Quintile,Not concerned at all,0.24778,55,208,0.18897,0.30659
1999,"Rhineland-Palatinate, Saarland",1st Quintile,Very concerned,0.29818,42,143,0.22293,0.37342
1999,"Rhineland-Palatinate, Saarland",1st Quintile,Somewhat concerned,0.42830,60,143,0.34691,0.50969
1999,"Rhineland-Palatinate, Saarland",1st Quintile,Not concerned at all,0.27353,41,143,0.20021,0.34685
1999,"Rhineland-Palatinate, Saarland",2nd Quintile,Very concerned,0.32517,41,151,0.25021,0.40014
1999,"Rhineland-Palatinate, Saarland",2nd Quintile,Somewhat concerned,0.48797,74,151,0.40798,0.56797
1999,"Rhineland-Palatinate, Saarland",2nd Quintile,Not concerned at all,0.18685,36,151,0.12447,0.24923
1999,"Rhineland-Palatinate, Saarland",3rd Quintile,Very concerned,0.21632,32,127,0.14443,0.28822
1999,"Rhineland-Palatinate, Saarland",3rd Quintile,Somewhat concerned,0.59946,95,127,0.51390,0.68503
1999,"Rhineland-Palatinate, Saarland",4th Quintile,Very concerned,0.35865,61,152,0.28216,0.43515
1999,"Rhineland-Palatinate, Saarland",4th Quintile,Somewhat concerned,0.56054,91,152,0.48137,0.63970
1999,"Rhineland-Palatinate, Saarland",5th Quintile,Very concerned,0.27612,42,120,0.19579,0.35644
1999,"Rhineland-Palatinate, Saarland",5th Quintile,Somewhat concerned,0.53957,78,120,0.45002,0.62913
1999,Baden-Wuerttemberg,1st Quintile,Very concerned,0.32473,88,322,0.27350,0.37595
1999,Baden-Wuerttemberg,1st Quintile,Somewhat concerned,0.48426,155,322,0.42959,0.53893
1999,Baden-Wuerttemberg,1st Quintile,Not concerned at all,0.19102,79,322,0.14801,0.23402
1999,Baden-Wuerttemberg,2nd Quintile,Very concerned,0.30975,83,336,0.26024,0.35927
1999,Baden-Wuerttemberg,2nd Quintile,Somewhat concerned,0.45291,171,336,0.39960,0.50621
1999,Baden-Wuerttemberg,2nd Quintile,Not concerned at all,0.23734,82,336,0.19178,0.28290
1999,Baden-Wuerttemberg,3rd Quintile,Very concerned,0.38587,128,377,0.33666,0.43508
1999,Baden-Wuerttemberg,3rd Quintile,Somewhat concerned,0.44659,179,377,0.39634,0.49684
1999,Baden-Wuerttemberg,3rd Quintile,Not concerned at all,0.16754,70,377,0.12979,0.20529
1999,Baden-Wuerttemberg,4th Quintile,Very concerned,0.43548,144,345,0.38308,0.48788
1999,Baden-Wuerttemberg,4th Quintile,Somewhat concerned,0.39670,133,345,0.34500,0.44840
1999,Baden-Wuerttemberg,4th Quintile,Not concerned at all,0.16782,68,345,0.12833,0.20731
1999,Baden-Wuerttemberg,5th Quintile,Very concerned,0.27630,96,342,0.22884,0.32377
1999,Baden-Wuerttemberg,5th Quintile,Somewhat concerned,0.51917,186,342,0.46613,0.57220
1999,Baden-Wuerttemberg,5th Quintile,Not concerned at all,0.20453,60,342,0.16172,0.24734
1999,Bavaria,1st Quintile,Very concerned,0.30723,76,255,0.25050,0.36397
1999,Bavaria,1st Quintile,Somewhat concerned,0.47935,128,255,0.41792,0.54079
1999,Bavaria,1st Quintile,Not concerned at all,0.21341,51,255,0.16302,0.26380
1999,Bavaria,2nd Quintile,Very concerned,0.42451,115,273,0.36577,0.48325
1999,Bavaria,2nd Quintile,Somewhat concerned,0.39807,106,273,0.33990,0.45624
1999,Bavaria,2nd Quintile,Not concerned at all,0.17742,52,273,0.13202,0.22282
1999,Bavaria,3rd Quintile,Very concerned,0.33994,120,365,0.29128,0.38861
1999,Bavaria,3rd Quintile,Somewhat concerned,0.47957,171,365,0.42825,0.53090
