year,pgisced97,sampreg,plj0046,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1999,Pre-primary Level,West,Very concerned,0.24696,47,210,0.18850,0.30543
1999,Pre-primary Level,West,Somewhat concerned,0.42960,93,210,0.36249,0.49672
1999,Pre-primary Level,West,Not concerned at all,0.30279,70,210,0.24050,0.36508
1999,Pre-primary Level,East,Very concerned,0.33174,33,78,0.22657,0.43690
1999,Pre-primary Level,East,Somewhat concerned,0.39741,45,78,0.28811,0.50672
1999,Primary Level,West,Very concerned,0.26974,96,406,0.22652,0.31297
1999,Primary Level,West,Somewhat concerned,0.42128,188,406,0.37319,0.46937
1999,Primary Level,West,Not concerned at all,0.27776,122,406,0.23414,0.32138
1999,Lower Secondary Level,West,Very concerned,0.38236,709,2054,0.36134,0.40338
1999,Lower Secondary Level,West,Somewhat concerned,0.44657,950,2054,0.42506,0.46807
1999,Lower Secondary Level,West,Not concerned at all,0.16151,395,2054,0.14559,0.17743
1999,Lower Secondary Level,East,Very concerned,0.39304,143,367,0.34300,0.44308
1999,Lower Secondary Level,East,Somewhat concerned,0.43107,161,367,0.38033,0.48180
1999,Lower Secondary Level,East,Not concerned at all,0.17231,63,367,0.13362,0.21100
1999,Upper Secondary Level,West,Very concerned,0.39244,1835,4838,0.37868,0.40620
1999,Upper Secondary Level,West,Somewhat concerned,0.45318,2227,4838,0.43915,0.46721
1999,Upper Secondary Level,West,Not concerned at all,0.14914,776,4838,0.13910,0.15918
1999,Upper Secondary Level,East,Very concerned,0.41954,872,2074,0.39830,0.44079
1999,Upper Secondary Level,East,Somewhat concerned,0.46261,965,2074,0.44115,0.48408
1999,Upper Secondary Level,East,Not concerned at all,0.11714,237,2074,0.10329,0.13098
1999,Post-secondary Non-tertiary Level,West,Very concerned,0.26322,103,429,0.22150,0.30494
1999,Post-secondary Non-tertiary Level,West,Somewhat concerned,0.45288,200,429,0.40572,0.50004
1999,Post-secondary Non-tertiary Level,West,Not concerned at all,0.28390,126,429,0.24118,0.32662
1999,Post-secondary Non-tertiary Level,East,Somewhat concerned,0.42534,33,33,0.25404,0.59664
1999,First Stage of Tertiary Education,West,Very concerned,0.33668,189,565,0.29768,0.37568
1999,First Stage of Tertiary Education,West,Somewhat concerned,0.45087,273,565,0.40981,0.49194
