,Unnamed: 0,year,migback,sampreg,plj0046,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1999,No migration background,West,Very concerned,0.37677,2635,13573,0.36717,0.38455
1,1,1999,No migration background,West,Somewhat concerned,0.45242,3282,13573,0.44374,0.4612
2,2,1999,No migration background,West,Not concerned at all,0.17082,1255,13573,0.16459,0.17757
3,3,1999,No migration background,East,Very concerned,0.38746,1399,13573,0.37418,0.39869
4,4,1999,No migration background,East,Somewhat concerned,0.46331,1700,13573,0.44954,0.4785
5,5,1999,No migration background,East,Not concerned at all,0.14923,547,13573,0.14135,0.15723
6,6,1999,Direct migration background,West,Very concerned,0.25043,482,13573,0.2276,0.26977
7,7,1999,Direct migration background,West,Somewhat concerned,0.45582,980,13573,0.43325,0.47947
8,8,1999,Direct migration background,West,Not concerned at all,0.29374,627,13573,0.27523,0.31402
9,9,1999,Direct migration background,East,Very concerned,0.5142,42,13573,0.42752,0.60295
10,10,1999,Direct migration background,East,Somewhat concerned,0.4858,45,13573,0.43335,0.5471
11,11,1999,Indirect migration background,West,Very concerned,0.26199,136,13573,0.21265,0.30678
12,12,1999,Indirect migration background,West,Somewhat concerned,0.44681,272,13573,0.40525,0.49566
13,13,1999,Indirect migration background,West,Not concerned at all,0.2912,171,13573,0.25127,0.33299
14,14,2000,No migration background,West,Very concerned,0.3161,4442,23795,0.31163,0.32081
15,15,2000,No migration background,West,Somewhat concerned,0.45553,6499,23795,0.44949,0.46147
16,16,2000,No migration background,West,Not concerned at all,0.22837,3211,23795,0.224,0.23277
17,17,2000,No migration background,East,Very concerned,0.33682,1878,23795,0.3287,0.34397
18,18,2000,No migration background,East,Somewhat concerned,0.4526,2599,23795,0.44315,0.46179
19,19,2000,No migration background,East,Not concerned at all,0.21058,1139,23795,0.20288,0.21696
20,20,2000,Direct migration background,West,Very concerned,0.17463,530,23795,0.16558,0.18483
21,21,2000,Direct migration background,West,Somewhat concerned,0.43582,1393,23795,0.41817,0.45093
22,22,2000,Direct migration background,West,Not concerned at all,0.38955,1177,23795,0.37286,0.40238
23,23,2000,Direct migration background,East,Very concerned,0.28682,41,23795,0.24207,0.33541
24,24,2000,Direct migration background,East,Somewhat concerned,0.39584,60,23795,0.35967,0.44193
25,25,2000,Direct migration background,East,Not concerned at all,0.31734,48,23795,0.28478,0.34825
26,26,2000,Indirect migration background,West,Very concerned,0.19202,133,23795,0.16145,0.22651
27,27,2000,Indirect migration background,West,Somewhat concerned,0.43869,354,23795,0.40752,0.46677
28,28,2000,Indirect migration background,West,Not concerned at all,0.36929,291,23795,0.3381,0.40395
29,29,2001,No migration background,West,Very concerned,0.25291,3232,21641,0.24816,0.25805
30,30,2001,No migration background,West,Somewhat concerned,0.48345,6153,21641,0.47628,0.49101
31,31,2001,No migration background,West,Not concerned at all,0.26364,3432,21641,0.25837,0.26915
32,32,2001,No migration background,East,Very concerned,0.28555,1495,21641,0.27708,0.29343
33,33,2001,No migration background,East,Somewhat concerned,0.46713,2492,21641,0.45545,0.47886
34,34,2001,No migration background,East,Not concerned at all,0.24732,1259,21641,0.23982,0.2557
35,35,2001,Direct migration background,West,Very concerned,0.15366,434,21641,0.14215,0.16645
36,36,2001,Direct migration background,West,Somewhat concerned,0.44163,1260,21641,0.42628,0.45929
37,37,2001,Direct migration background,West,Not concerned at all,0.40471,1060,21641,0.38662,0.42437
38,38,2001,Direct migration background,East,Somewhat concerned,0.61796,56,21641,0.53585,0.70486
39,39,2001,Direct migration background,East,Not concerned at all,0.38204,37,21641,0.33471,0.4281
40,40,2001,Indirect migration background,West,Very concerned,0.17213,123,21641,0.14518,0.19954
41,41,2001,Indirect migration background,West,Somewhat concerned,0.43608,322,21641,0.40083,0.47667
42,42,2001,Indirect migration background,West,Not concerned at all,0.39179,286,21641,0.35297,0.43416
43,43,2002,No migration background,West,Very concerned,0.30011,3880,22777,0.29348,0.30674
44,44,2002,No migration background,West,Somewhat concerned,0.47389,6654,22777,0.46632,0.48191
45,45,2002,No migration background,West,Not concerned at all,0.22599,3532,22777,0.21881,0.23205
