year,migback,pgisced97,plj0046,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1999,No migration background,No answer / don't know,Very concerned,0.28453,44,117,0.20242,0.36664
1999,No migration background,No answer / don't know,Somewhat concerned,0.55263,73,117,0.46215,0.64312
1999,No migration background,Pre-primary Level,Very concerned,0.29287,67,229,0.23380,0.35194
1999,No migration background,Pre-primary Level,Somewhat concerned,0.42768,102,229,0.36346,0.49190
1999,No migration background,Pre-primary Level,Not concerned at all,0.27945,60,229,0.22120,0.33770
1999,No migration background,Primary Level,Very concerned,0.54952,32,32,0.37437,0.72466
1999,No migration background,Lower Secondary Level,Very concerned,0.42324,662,1621,0.39918,0.44730
1999,No migration background,Lower Secondary Level,Somewhat concerned,0.44479,731,1621,0.42059,0.46899
1999,No migration background,Lower Secondary Level,Not concerned at all,0.13197,228,1621,0.11549,0.14845
1999,No migration background,Upper Secondary Level,Very concerned,0.41467,2441,5908,0.40210,0.42723
1999,No migration background,Upper Secondary Level,Somewhat concerned,0.45806,2725,5908,0.44535,0.47076
1999,No migration background,Upper Secondary Level,Not concerned at all,0.12727,742,5908,0.11878,0.13577
1999,No migration background,Post-secondary Non-tertiary Level,Very concerned,0.29420,94,357,0.24686,0.34154
1999,No migration background,Post-secondary Non-tertiary Level,Somewhat concerned,0.43113,165,357,0.37968,0.48257
1999,No migration background,Post-secondary Non-tertiary Level,Not concerned at all,0.27467,98,357,0.22831,0.32104
1999,No migration background,First Stage of Tertiary Education,Very concerned,0.35764,272,740,0.32309,0.39220
1999,No migration background,First Stage of Tertiary Education,Somewhat concerned,0.45885,343,740,0.42293,0.49478
1999,No migration background,First Stage of Tertiary Education,Not concerned at all,0.18350,125,740,0.15560,0.21141
1999,No migration background,Second Stage of Tertiary Education,Very concerned,0.23487,420,1751,0.21501,0.25473
1999,No migration background,Second Stage of Tertiary Education,Somewhat concerned,0.46043,823,1751,0.43708,0.48379
1999,No migration background,Second Stage of Tertiary Education,Not concerned at all,0.30470,508,1751,0.28313,0.32627
1999,Direct migration background,No answer / don't know,Somewhat concerned,0.38334,37,37,0.22451,0.54216
1999,Direct migration background,Primary Level,Very concerned,0.19157,66,338,0.14955,0.23359
1999,Direct migration background,Primary Level,Somewhat concerned,0.47779,164,338,0.42446,0.53112
1999,Direct migration background,Primary Level,Not concerned at all,0.33064,108,338,0.28041,0.38086
1999,Direct migration background,Lower Secondary Level,Very concerned,0.26114,139,610,0.22625,0.29602
1999,Direct migration background,Lower Secondary Level,Somewhat concerned,0.45072,286,610,0.41120,0.49024
1999,Direct migration background,Lower Secondary Level,Not concerned at all,0.28814,185,610,0.25217,0.32411
1999,Direct migration background,Upper Secondary Level,Very concerned,0.27975,210,788,0.24839,0.31111
1999,Direct migration background,Upper Secondary Level,Somewhat concerned,0.45436,360,788,0.41957,0.48915
1999,Direct migration background,Upper Secondary Level,Not concerned at all,0.26589,218,788,0.23502,0.29676
1999,Direct migration background,Post-secondary Non-tertiary Level,Very concerned,0.20795,32,125,0.13652,0.27939
1999,Direct migration background,Post-secondary Non-tertiary Level,Somewhat concerned,0.53666,61,125,0.44889,0.62443
1999,Direct migration background,Post-secondary Non-tertiary Level,Not concerned at all,0.25539,32,125,0.17863,0.33214
1999,Direct migration background,Second Stage of Tertiary Education,Very concerned,0.23747,34,177,0.17460,0.30034
1999,Direct migration background,Second Stage of Tertiary Education,Somewhat concerned,0.40908,85,177,0.33644,0.48172
1999,Direct migration background,Second Stage of Tertiary Education,Not concerned at all,0.35345,58,177,0.28283,0.42408
1999,Indirect migration background,Lower Secondary Level,Very concerned,0.28555,51,190,0.22115,0.34994
1999,Indirect migration background,Lower Secondary Level,Somewhat concerned,0.51120,94,190,0.43994,0.58247
1999,Indirect migration background,Lower Secondary Level,Not concerned at all,0.20325,45,190,0.14588,0.26062
1999,Indirect migration background,Upper Secondary Level,Very concerned,0.31197,56,216,0.25004,0.37389
1999,Indirect migration background,Upper Secondary Level,Somewhat concerned,0.42769,107,216,0.36155,0.49382
1999,Indirect migration background,Upper Secondary Level,Not concerned at all,0.26035,53,216,0.20169,0.31901
2000,No migration background,Pre-primary Level,Very concerned,0.20064,73,364,0.15945,0.24184
2000,No migration background,Pre-primary Level,Somewhat concerned,0.48590,175,364,0.43449,0.53732
2000,No migration background,Pre-primary Level,Not concerned at all,0.31345,116,364,0.26573,0.36117
2000,No migration background,Primary Level,Very concerned,0.44372,40,71,0.32734,0.56011
2000,No migration background,Primary Level,Somewhat concerned,0.25266,31,71,0.15086,0.35446
2000,No migration background,Lower Secondary Level,Very concerned,0.35156,853,2402,0.33246,0.37066
2000,No migration background,Lower Secondary Level,Somewhat concerned,0.45104,1074,2402,0.43114,0.47095
2000,No migration background,Lower Secondary Level,Not concerned at all,0.19740,475,2402,0.18148,0.21332
2000,No migration background,Upper Secondary Level,Very concerned,0.36207,4004,11118,0.35314,0.37101
2000,No migration background,Upper Secondary Level,Somewhat concerned,0.46486,5228,11118,0.45559,0.47413
2000,No migration background,Upper Secondary Level,Not concerned at all,0.17307,1886,11118,0.16603,0.18010
2000,No migration background,Post-secondary Non-tertiary Level,Very concerned,0.21077,183,797,0.18243,0.23910
2000,No migration background,Post-secondary Non-tertiary Level,Somewhat concerned,0.46958,371,797,0.43491,0.50425
2000,No migration background,Post-secondary Non-tertiary Level,Not concerned at all,0.31965,243,797,0.28725,0.35204
2000,No migration background,First Stage of Tertiary Education,Very concerned,0.31158,530,1633,0.28911,0.33405
2000,No migration background,First Stage of Tertiary Education,Somewhat concerned,0.45717,758,1633,0.43300,0.48134
2000,No migration background,First Stage of Tertiary Education,Not concerned at all,0.23124,345,1633,0.21079,0.25170
2000,No migration background,Second Stage of Tertiary Education,Very concerned,0.18916,628,3337,0.17587,0.20245
2000,No migration background,Second Stage of Tertiary Education,Somewhat concerned,0.42223,1457,3337,0.40547,0.43899
2000,No migration background,Second Stage of Tertiary Education,Not concerned at all,0.38861,1252,3337,0.37207,0.40515
2000,Direct migration background,Pre-primary Level,Not concerned at all,0.58375,32,32,0.41022,0.75728
2000,Direct migration background,Primary Level,Very concerned,0.17778,48,276,0.13259,0.22297
2000,Direct migration background,Primary Level,Somewhat concerned,0.42729,119,276,0.36882,0.48576
2000,Direct migration background,Primary Level,Not concerned at all,0.39493,109,276,0.33715,0.45271
2000,Direct migration background,Lower Secondary Level,Very concerned,0.19013,142,845,0.16366,0.21661
2000,Direct migration background,Lower Secondary Level,Somewhat concerned,0.43958,371,845,0.40609,0.47306
2000,Direct migration background,Lower Secondary Level,Not concerned at all,0.37029,332,845,0.33771,0.40287
2000,Direct migration background,Upper Secondary Level,Very concerned,0.18584,224,1205,0.16386,0.20781
2000,Direct migration background,Upper Secondary Level,Somewhat concerned,0.44500,563,1205,0.41693,0.47307
2000,Direct migration background,Upper Secondary Level,Not concerned at all,0.36916,418,1205,0.34191,0.39642
2000,Direct migration background,Post-secondary Non-tertiary Level,Very concerned,0.15512,45,271,0.11193,0.19830
2000,Direct migration background,Post-secondary Non-tertiary Level,Somewhat concerned,0.43389,122,271,0.37477,0.49301
2000,Direct migration background,Post-secondary Non-tertiary Level,Not concerned at all,0.41099,104,271,0.35230,0.46968
2000,Direct migration background,First Stage of Tertiary Education,Very concerned,0.25665,44,191,0.19455,0.31876
2000,Direct migration background,First Stage of Tertiary Education,Somewhat concerned,0.39678,81,191,0.32721,0.46634
2000,Direct migration background,First Stage of Tertiary Education,Not concerned at all,0.34657,66,191,0.27890,0.41424
