year,migback,regtyp,plj0046,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1999,No migration background,Urban regions,Very concerned,0.37070,2350,6501,0.35896,0.38245
1999,No migration background,Urban regions,Somewhat concerned,0.44583,2932,6501,0.43375,0.45792
1999,No migration background,Urban regions,Not concerned at all,0.18346,1219,6501,0.17405,0.19287
1999,No migration background,Rural regions,Very concerned,0.39520,1682,4317,0.38062,0.40979
1999,No migration background,Rural regions,Somewhat concerned,0.47247,2051,4317,0.45757,0.48736
1999,No migration background,Rural regions,Not concerned at all,0.13233,584,4317,0.12222,0.14244
1999,Direct migration background,Urban regions,Very concerned,0.23856,407,1837,0.21907,0.25806
1999,Direct migration background,Urban regions,Somewhat concerned,0.45887,867,1837,0.43608,0.48167
1999,Direct migration background,Urban regions,Not concerned at all,0.30256,563,1837,0.28155,0.32357
1999,Direct migration background,Rural regions,Very concerned,0.35708,117,361,0.30758,0.40657
1999,Direct migration background,Rural regions,Somewhat concerned,0.41776,158,361,0.36681,0.46870
1999,Direct migration background,Rural regions,Not concerned at all,0.22516,86,361,0.18202,0.26831
1999,Indirect migration background,Urban regions,Very concerned,0.27055,122,514,0.23211,0.30899
1999,Indirect migration background,Urban regions,Somewhat concerned,0.43871,240,514,0.39577,0.48165
1999,Indirect migration background,Urban regions,Not concerned at all,0.29074,152,514,0.25144,0.33004
1999,Indirect migration background,Rural regions,Somewhat concerned,0.47579,41,41,0.32102,0.63055
2000,No migration background,Urban regions,Very concerned,0.30999,3722,12179,0.30177,0.31820
2000,No migration background,Urban regions,Somewhat concerned,0.44207,5476,12179,0.43324,0.45089
2000,No migration background,Urban regions,Not concerned at all,0.24795,2981,12179,0.24028,0.25562
2000,No migration background,Rural regions,Very concerned,0.34092,2598,7588,0.33025,0.35158
2000,No migration background,Rural regions,Somewhat concerned,0.47926,3621,7588,0.46802,0.49050
2000,No migration background,Rural regions,Not concerned at all,0.17982,1369,7588,0.17118,0.18846
2000,Direct migration background,Urban regions,Very concerned,0.17153,455,2681,0.15726,0.18580
2000,Direct migration background,Urban regions,Somewhat concerned,0.44010,1214,2681,0.42131,0.45889
2000,Direct migration background,Urban regions,Not concerned at all,0.38837,1012,2681,0.36992,0.40682
2000,Direct migration background,Rural regions,Very concerned,0.21874,116,568,0.18472,0.25277
2000,Direct migration background,Rural regions,Somewhat concerned,0.40559,239,568,0.36517,0.44601
2000,Direct migration background,Rural regions,Not concerned at all,0.37567,213,568,0.33580,0.41553
2000,Indirect migration background,Urban regions,Very concerned,0.19169,120,692,0.16234,0.22104
2000,Indirect migration background,Urban regions,Somewhat concerned,0.44349,313,692,0.40645,0.48054
2000,Indirect migration background,Urban regions,Not concerned at all,0.36482,259,692,0.32893,0.40071
2000,Indirect migration background,Rural regions,Somewhat concerned,0.44609,59,93,0.34451,0.54766
2000,Indirect migration background,Rural regions,Not concerned at all,0.34165,34,93,0.24474,0.43856
2001,No migration background,Urban regions,Very concerned,0.24270,2729,11151,0.23475,0.25066
2001,No migration background,Urban regions,Somewhat concerned,0.47190,5239,11151,0.46264,0.48117
2001,No migration background,Urban regions,Not concerned at all,0.28539,3183,11151,0.27701,0.29378
2001,No migration background,Rural regions,Very concerned,0.29297,1998,6912,0.28224,0.30370
2001,No migration background,Rural regions,Somewhat concerned,0.49542,3407,6912,0.48364,0.50721
2001,No migration background,Rural regions,Not concerned at all,0.21160,1507,6912,0.20197,0.22123
2001,Direct migration background,Urban regions,Very concerned,0.14930,375,2374,0.13496,0.16364
2001,Direct migration background,Urban regions,Somewhat concerned,0.43461,1062,2374,0.41466,0.45455
2001,Direct migration background,Urban regions,Not concerned at all,0.41609,937,2374,0.39626,0.43592
2001,Direct migration background,Rural regions,Very concerned,0.19067,87,501,0.15624,0.22510
2001,Direct migration background,Rural regions,Somewhat concerned,0.48240,254,501,0.43860,0.52620
2001,Direct migration background,Rural regions,Not concerned at all,0.32693,160,501,0.28581,0.36805
2001,Indirect migration background,Urban regions,Very concerned,0.17919,117,657,0.14984,0.20854
2001,Indirect migration background,Urban regions,Somewhat concerned,0.41602,278,657,0.37830,0.45374
2001,Indirect migration background,Urban regions,Not concerned at all,0.40480,262,657,0.36723,0.44236
2001,Indirect migration background,Rural regions,Somewhat concerned,0.58547,53,85,0.48011,0.69082
2001,Indirect migration background,Rural regions,Not concerned at all,0.27846,32,85,0.18260,0.37432
2002,No migration background,Urban regions,Very concerned,0.29237,3297,12224,0.28431,0.30043
2002,No migration background,Urban regions,Somewhat concerned,0.46163,5660,12224,0.45280,0.47047
2002,No migration background,Urban regions,Not concerned at all,0.24600,3267,12224,0.23836,0.25363
2002,No migration background,Rural regions,Very concerned,0.33230,2229,7090,0.32134,0.34327
2002,No migration background,Rural regions,Somewhat concerned,0.49447,3501,7090,0.48284,0.50611
2002,No migration background,Rural regions,Not concerned at all,0.17322,1360,7090,0.16441,0.18203
2002,Direct migration background,Urban regions,Very concerned,0.18078,403,2281,0.16498,0.19658
2002,Direct migration background,Urban regions,Somewhat concerned,0.47582,1101,2281,0.45532,0.49632
2002,Direct migration background,Urban regions,Not concerned at all,0.34340,777,2281,0.32390,0.36289
2002,Direct migration background,Rural regions,Very concerned,0.23629,97,474,0.19801,0.27458
2002,Direct migration background,Rural regions,Somewhat concerned,0.43884,232,474,0.39412,0.48356
2002,Direct migration background,Rural regions,Not concerned at all,0.32487,145,474,0.28266,0.36707
2002,Indirect migration background,Urban regions,Very concerned,0.17678,104,664,0.14774,0.20582
2002,Indirect migration background,Urban regions,Somewhat concerned,0.47519,311,664,0.43718,0.51321
2002,Indirect migration background,Urban regions,Not concerned at all,0.34802,249,664,0.31177,0.38428
2002,Indirect migration background,Rural regions,Somewhat concerned,0.41869,41,79,0.30920,0.52817
2002,Indirect migration background,Rural regions,Not concerned at all,0.34928,38,79,0.24348,0.45508
2003,No migration background,Urban regions,Very concerned,0.27866,3008,11851,0.27059,0.28673
2003,No migration background,Urban regions,Somewhat concerned,0.45346,5370,11851,0.44450,0.46243
2003,No migration background,Urban regions,Not concerned at all,0.26788,3473,11851,0.25990,0.27585
2003,No migration background,Rural regions,Very concerned,0.30448,1946,6793,0.29354,0.31543
2003,No migration background,Rural regions,Somewhat concerned,0.50002,3386,6793,0.48812,0.51191
2003,No migration background,Rural regions,Not concerned at all,0.19550,1461,6793,0.18607,0.20493
2003,Direct migration background,Urban regions,Very concerned,0.15950,340,2125,0.14393,0.17507
2003,Direct migration background,Urban regions,Somewhat concerned,0.45037,972,2125,0.42922,0.47153
2003,Direct migration background,Urban regions,Not concerned at all,0.39013,813,2125,0.36938,0.41087
2003,Direct migration background,Rural regions,Very concerned,0.20829,92,452,0.17081,0.24577
