"plj0046","year","bildungsniveau","migback","n","percent","lower_confidence","upper_confidence"
"Einige Sorgen","1999","(Fach-)Abitur","direkter Migrationshintergrund","108","0.483493457972975","0.419736835235405","0.547250080710544"
"Einige Sorgen","1999","(Fach-)Abitur","indirekter Migrationshintergrund","30","0.316898231041832","0.210891157945351","0.422905304138313"
"Einige Sorgen","1999","(Fach-)Abitur","kein Migrationshintergrund","376","0.435077059075105","0.401206226571744","0.468947891578466"
"Einige Sorgen","1999","(noch) kein Abschluss","direkter Migrationshintergrund","192","0.457950284874622","0.409367082787477","0.506533486961767"
"Einige Sorgen","1999","(noch) kein Abschluss","indirekter Migrationshintergrund","31","0.407708070191199","0.297228021620374","0.518188118762024"
"Einige Sorgen","1999","(noch) kein Abschluss","kein Migrationshintergrund","124","0.370441648441311","0.315976020081543","0.424907276801078"
"Einige Sorgen","1999","AkademikerIn","direkter Migrationshintergrund","85","0.409183610932939","0.336748881852128","0.48161834001375"
"Einige Sorgen","1999","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Einige Sorgen","1999","AkademikerIn","kein Migrationshintergrund","823","0.460323221075984","0.436977713239679","0.483668728912289"
"Einige Sorgen","1999","Hauptschule","direkter Migrationshintergrund","525","0.459541521603217","0.430612135925209","0.488470907281224"
"Einige Sorgen","1999","Hauptschule","indirekter Migrationshintergrund","114","0.48097191048751","0.415975338733476","0.545968482241545"
"Einige Sorgen","1999","Hauptschule","kein Migrationshintergrund","2110","0.450187196883285","0.435859782896764","0.464514610869806"
"Einige Sorgen","1999","Realschule","direkter Migrationshintergrund","63","0.39767873994216","0.314501873704893","0.480855606179427"
"Einige Sorgen","1999","Realschule","indirekter Migrationshintergrund","75","0.572983865160987","0.488279501898792","0.657688228423182"
"Einige Sorgen","1999","Realschule","kein Migrationshintergrund","1446","0.468470730193334","0.450913256496761","0.486028203889906"
"Grosse Sorgen","1999","(Fach-)Abitur","direkter Migrationshintergrund","51","0.184617914611196","0.135117413811314","0.234118415411077"
"Grosse Sorgen","1999","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Grosse Sorgen","1999","(Fach-)Abitur","kein Migrationshintergrund","202","0.257569874639257","0.227693802486887","0.287445946791627"
"Grosse Sorgen","1999","(noch) kein Abschluss","direkter Migrationshintergrund","84","0.208284041080778","0.168686327890644","0.247881754270912"
"Grosse Sorgen","1999","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Grosse Sorgen","1999","(noch) kein Abschluss","kein Migrationshintergrund","104","0.387380597309122","0.332438032955249","0.442323161662995"
"Grosse Sorgen","1999","AkademikerIn","direkter Migrationshintergrund","34","0.23737993671111","0.174698697193095","0.300061176229126"
"Grosse Sorgen","1999","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Grosse Sorgen","1999","AkademikerIn","kein Migrationshintergrund","420","0.234672736544834","0.214822763144277","0.254522709945391"
"Grosse Sorgen","1999","Hauptschule","direkter Migrationshintergrund","294","0.27833235481941","0.252316019005418","0.304348690633402"
"Grosse Sorgen","1999","Hauptschule","indirekter Migrationshintergrund","67","0.365315330515958","0.302675854599568","0.427954806432347"
"Grosse Sorgen","1999","Hauptschule","kein Migrationshintergrund","2011","0.442848480798797","0.428543803835046","0.457153157762548"
"Grosse Sorgen","1999","Realschule","direkter Migrationshintergrund","36","0.365572552379938","0.283726065474323","0.447419039285553"
"Grosse Sorgen","1999","Realschule","indirekter Migrationshintergrund","30","0.217821027015242","0.147137955681592","0.288504098348892"
"Grosse Sorgen","1999","Realschule","kein Migrationshintergrund","1228","0.381628275307082","0.364535905243244","0.398720645370919"
"Keine Sorgen","1999","(Fach-)Abitur","direkter Migrationshintergrund","77","0.33188862741583","0.27181100912451","0.391966245707149"
"Keine Sorgen","1999","(Fach-)Abitur","indirekter Migrationshintergrund","35","0.541267087806741","0.427735165500809","0.654799010112672"
"Keine Sorgen","1999","(Fach-)Abitur","kein Migrationshintergrund","245","0.307353066285638","0.27583040274799","0.338875729823286"
"Keine Sorgen","1999","(noch) kein Abschluss","direkter Migrationshintergrund","128","0.3337656740446","0.287783262318382","0.379748085770818"
"Keine Sorgen","1999","(noch) kein Abschluss","indirekter Migrationshintergrund","31","0.388833061593858","0.27923501499009","0.498431108197626"
"Keine Sorgen","1999","(noch) kein Abschluss","kein Migrationshintergrund","74","0.242177754249567","0.193861259662913","0.290494248836222"
"Keine Sorgen","1999","AkademikerIn","direkter Migrationshintergrund","58","0.353436452355951","0.283012120474883","0.423860784237019"
"Keine Sorgen","1999","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Keine Sorgen","1999","AkademikerIn","kein Migrationshintergrund","508","0.305004042379182","0.2834390675823","0.326569017176065"
"Keine Sorgen","1999","Hauptschule","direkter Migrationshintergrund","321","0.262126123577373","0.236596648491079","0.287655598663667"
"Keine Sorgen","1999","Hauptschule","indirekter Migrationshintergrund","46","0.153712758996532","0.106793729751514","0.200631788241551"
"Keine Sorgen","1999","Hauptschule","kein Migrationshintergrund","511","0.106964322317918","0.0980637549327662","0.11586488970307"
"Keine Sorgen","1999","Realschule","direkter Migrationshintergrund","34","0.236748707677902","0.164505028852791","0.308992386503012"
"Keine Sorgen","1999","Realschule","indirekter Migrationshintergrund","","","",""
"Keine Sorgen","1999","Realschule","kein Migrationshintergrund","429","0.149900994499585","0.13734086218923","0.162461126809939"
"Einige Sorgen","2000","(Fach-)Abitur","direkter Migrationshintergrund","216","0.412659531807886","0.369113533831701","0.456205529784072"
"Einige Sorgen","2000","(Fach-)Abitur","indirekter Migrationshintergrund","64","0.532455964145093","0.443554581677154","0.621357346613031"
"Einige Sorgen","2000","(Fach-)Abitur","kein Migrationshintergrund","774","0.448536251467248","0.425011762255812","0.472060740678684"
"Einige Sorgen","2000","(noch) kein Abschluss","direkter Migrationshintergrund","151","0.396940178496442","0.34715456491455","0.446725792078333"
"Einige Sorgen","2000","(noch) kein Abschluss","indirekter Migrationshintergrund","33","0.454928818429075","0.342974814604369","0.56688282225378"
"Einige Sorgen","2000","(noch) kein Abschluss","kein Migrationshintergrund","199","0.426239813893061","0.380497605127998","0.471982022658123"
"Einige Sorgen","2000","AkademikerIn","direkter Migrationshintergrund","173","0.43711267487748","0.38756478531418","0.486660564440779"
"Einige Sorgen","2000","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Einige Sorgen","2000","AkademikerIn","kein Migrationshintergrund","1457","0.422032666716528","0.405280747812233","0.438784585620824"
"Einige Sorgen","2000","Hauptschule","direkter Migrationshintergrund","783","0.450843577377784","0.427362689297055","0.474324465458513"
"Einige Sorgen","2000","Hauptschule","indirekter Migrationshintergrund","155","0.445115178269471","0.391656689952988","0.498573666585953"
"Einige Sorgen","2000","Hauptschule","kein Migrationshintergrund","3998","0.464603803615577","0.453990456244889","0.475217150986266"
"Einige Sorgen","2000","Realschule","direkter Migrationshintergrund","124","0.43511479027263","0.374024828225729","0.496204752319531"
"Einige Sorgen","2000","Realschule","indirekter Migrationshintergrund","101","0.413582401717208","0.34965821808364","0.477506585350775"
"Einige Sorgen","2000","Realschule","kein Migrationshintergrund","2660","0.462347274852644","0.449463711991543","0.475230837713745"
"Grosse Sorgen","2000","(Fach-)Abitur","direkter Migrationshintergrund","79","0.153063063266735","0.121216095950193","0.184910030583278"
"Grosse Sorgen","2000","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Grosse Sorgen","2000","(Fach-)Abitur","kein Migrationshintergrund","361","0.198019073133785","0.179169632144607","0.216868514122963"
"Grosse Sorgen","2000","(noch) kein Abschluss","direkter Migrationshintergrund","63","0.174431542264233","0.135817062124985","0.213046022403482"
"Grosse Sorgen","2000","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Grosse Sorgen","2000","(noch) kein Abschluss","kein Migrationshintergrund","109","0.265993651020951","0.225123102718634","0.306864199323269"
"Grosse Sorgen","2000","AkademikerIn","direkter Migrationshintergrund","58","0.133390730028855","0.0994288114770664","0.167352648580643"
"Grosse Sorgen","2000","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Grosse Sorgen","2000","AkademikerIn","kein Migrationshintergrund","630","0.189571354386189","0.176276498635496","0.202866210136881"
"Grosse Sorgen","2000","Hauptschule","direkter Migrationshintergrund","310","0.188575599509864","0.17011608301374","0.207035116005988"
"Grosse Sorgen","2000","Hauptschule","indirekter Migrationshintergrund","67","0.229630302190202","0.184388151320168","0.274872453060236"
"Grosse Sorgen","2000","Hauptschule","kein Migrationshintergrund","3153","0.375360091451777","0.365055939138849","0.385664243764705"
"Grosse Sorgen","2000","Realschule","direkter Migrationshintergrund","53","0.24547130622276","0.192440762826881","0.29850184961864"
"Grosse Sorgen","2000","Realschule","indirekter Migrationshintergrund","54","0.263401297921124","0.206226439550977","0.32057615629127"
"Grosse Sorgen","2000","Realschule","kein Migrationshintergrund","2055","0.348356922653266","0.336045222789289","0.360668622517243"
"Keine Sorgen","2000","(Fach-)Abitur","direkter Migrationshintergrund","196","0.434277404925378","0.390435166009414","0.478119643841343"
"Keine Sorgen","2000","(Fach-)Abitur","indirekter Migrationshintergrund","48","0.382378559600942","0.29578943395819","0.468967685243693"
"Keine Sorgen","2000","(Fach-)Abitur","kein Migrationshintergrund","582","0.353444675398966","0.330833324409234","0.376056026388699"
"Keine Sorgen","2000","(noch) kein Abschluss","direkter Migrationshintergrund","157","0.428628279239325","0.378271155380395","0.478985403098255"
"Keine Sorgen","2000","(noch) kein Abschluss","indirekter Migrationshintergrund","37","0.440028681508529","0.328428557020352","0.551628805996705"
"Keine Sorgen","2000","(noch) kein Abschluss","kein Migrationshintergrund","141","0.307766535085988","0.265073019959067","0.350460050212908"
"Keine Sorgen","2000","AkademikerIn","direkter Migrationshintergrund","154","0.429496595093666","0.380051102339573","0.478942087847758"
"Keine Sorgen","2000","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Keine Sorgen","2000","AkademikerIn","kein Migrationshintergrund","1252","0.388395978897283","0.371864473241618","0.404927484552948"
"Keine Sorgen","2000","Hauptschule","direkter Migrationshintergrund","632","0.360580823112352","0.337921460845851","0.383240185378853"
"Keine Sorgen","2000","Hauptschule","indirekter Migrationshintergrund","110","0.325254519540328","0.274862622118511","0.375646416962145"
"Keine Sorgen","2000","Hauptschule","kein Migrationshintergrund","1332","0.160036104932646","0.152233984437009","0.167838225428283"
