year,regtyp,sex,plj0046,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1999,Urban regions,male,Very concerned,0.28519,1425,4279,0.27166,0.29872
1999,Urban regions,male,Somewhat concerned,0.35249,1877,4279,0.33817,0.36680
1999,Urban regions,male,Not concerned at all,0.18370,977,4279,0.17210,0.19531
1999,Urban regions,female,Very concerned,0.28659,1454,4573,0.27349,0.29970
1999,Urban regions,female,Somewhat concerned,0.38615,2162,4573,0.37204,0.40027
1999,Urban regions,female,Not concerned at all,0.15734,957,4573,0.14679,0.16790
1999,Rural regions,male,Very concerned,0.32494,928,2312,0.30585,0.34404
1999,Rural regions,male,Somewhat concerned,0.37044,1037,2312,0.35075,0.39013
1999,Rural regions,male,Not concerned at all,0.11396,347,2312,0.10101,0.12692
1999,Rural regions,female,Very concerned,0.31279,894,2452,0.29444,0.33115
1999,Rural regions,female,Somewhat concerned,0.39264,1213,2452,0.37331,0.41197
1999,Rural regions,female,Not concerned at all,0.11500,345,2452,0.10237,0.12763
2000,Urban regions,male,Very concerned,0.23499,2115,7441,0.22535,0.24462
2000,Urban regions,male,Somewhat concerned,0.33853,3188,7441,0.32777,0.34928
2000,Urban regions,male,Not concerned at all,0.23407,2138,7441,0.22445,0.24369
2000,Urban regions,female,Very concerned,0.23030,2182,8111,0.22114,0.23946
2000,Urban regions,female,Somewhat concerned,0.38257,3815,8111,0.37199,0.39315
2000,Urban regions,female,Not concerned at all,0.21363,2114,8111,0.20471,0.22255
2000,Rural regions,male,Very concerned,0.28138,1406,4008,0.26745,0.29530
2000,Rural regions,male,Somewhat concerned,0.36329,1803,4008,0.34840,0.37818
2000,Rural regions,male,Not concerned at all,0.16430,799,4008,0.15283,0.17577
2000,Rural regions,female,Very concerned,0.25750,1327,4260,0.24437,0.27063
2000,Rural regions,female,Somewhat concerned,0.40700,2116,4260,0.39225,0.42176
2000,Rural regions,female,Not concerned at all,0.15420,817,4260,0.14335,0.16504
2001,Urban regions,male,Very concerned,0.18902,1599,6773,0.17969,0.19834
2001,Urban regions,male,Somewhat concerned,0.35940,3017,6773,0.34797,0.37082
2001,Urban regions,male,Not concerned at all,0.25958,2157,6773,0.24914,0.27002
2001,Urban regions,female,Very concerned,0.18168,1622,7409,0.17290,0.19046
2001,Urban regions,female,Somewhat concerned,0.39961,3562,7409,0.38846,0.41077
2001,Urban regions,female,Not concerned at all,0.24700,2225,7409,0.23718,0.25682
2001,Rural regions,male,Very concerned,0.24454,1077,3653,0.23060,0.25848
2001,Rural regions,male,Somewhat concerned,0.39567,1743,3653,0.37981,0.41153
2001,Rural regions,male,Not concerned at all,0.18050,833,3653,0.16803,0.19298
2001,Rural regions,female,Very concerned,0.22242,1021,3858,0.20930,0.23555
2001,Rural regions,female,Somewhat concerned,0.41749,1971,3858,0.40192,0.43305
2001,Rural regions,female,Not concerned at all,0.18163,866,3858,0.16947,0.19380
2002,Urban regions,male,Very concerned,0.22172,1890,7313,0.21220,0.23125
2002,Urban regions,male,Somewhat concerned,0.36256,3254,7313,0.35154,0.37358
2002,Urban regions,male,Not concerned at all,0.22940,2169,7313,0.21977,0.23904
2002,Urban regions,female,Very concerned,0.22438,1914,7856,0.21515,0.23360
2002,Urban regions,female,Somewhat concerned,0.40095,3818,7856,0.39011,0.41179
