year,regtyp,plj0046,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1999,Urban regions,Very concerned,0.34621,2879,8852,0.33629,0.35612
1999,Urban regions,Somewhat concerned,0.44764,4039,8852,0.43728,0.45800
1999,Urban regions,Not concerned at all,0.20616,1934,8852,0.19773,0.21458
1999,Rural regions,Very concerned,0.39106,1822,4764,0.37720,0.40492
1999,Rural regions,Somewhat concerned,0.46845,2250,4764,0.45428,0.48263
1999,Rural regions,Not concerned at all,0.14048,692,4764,0.13061,0.15035
2000,Urban regions,Very concerned,0.28459,4297,15552,0.27750,0.29168
2000,Urban regions,Somewhat concerned,0.44181,7003,15552,0.43401,0.44962
2000,Urban regions,Not concerned at all,0.27360,4252,15552,0.26659,0.28060
2000,Rural regions,Very concerned,0.33080,2733,8268,0.32066,0.34095
2000,Rural regions,Somewhat concerned,0.47364,3919,8268,0.46288,0.48440
2000,Rural regions,Not concerned at all,0.19556,1616,8268,0.18701,0.20411
2001,Urban regions,Very concerned,0.22638,3221,14182,0.21949,0.23327
2001,Urban regions,Somewhat concerned,0.46429,6579,14182,0.45608,0.47250
2001,Urban regions,Not concerned at all,0.30933,4382,14182,0.30172,0.31694
2001,Rural regions,Very concerned,0.28413,2098,7511,0.27393,0.29433
2001,Rural regions,Somewhat concerned,0.49535,3714,7511,0.48404,0.50666
2001,Rural regions,Not concerned at all,0.22052,1699,7511,0.21114,0.22990
2002,Urban regions,Very concerned,0.27104,3804,15169,0.26397,0.27812
2002,Urban regions,Somewhat concerned,0.46431,7072,15169,0.45637,0.47224
2002,Urban regions,Not concerned at all,0.26465,4293,15169,0.25763,0.27167
2002,Rural regions,Very concerned,0.32439,2344,7661,0.31390,0.33487
2002,Rural regions,Somewhat concerned,0.48968,3774,7661,0.47849,0.50088
2002,Rural regions,Not concerned at all,0.18593,1543,7661,0.17722,0.19464
2003,Urban regions,Very concerned,0.25715,3456,14637,0.25007,0.26424
2003,Urban regions,Somewhat concerned,0.45150,6637,14637,0.44343,0.45956
2003,Urban regions,Not concerned at all,0.29135,4544,14637,0.28399,0.29871
2003,Rural regions,Very concerned,0.29607,2058,7346,0.28563,0.30652
2003,Rural regions,Somewhat concerned,0.49984,3665,7346,0.48841,0.51128
2003,Rural regions,Not concerned at all,0.20408,1623,7346,0.19487,0.21330
2004,Urban regions,Very concerned,0.32301,4276,14248,0.31533,0.33069
2004,Urban regions,Somewhat concerned,0.43726,6384,14248,0.42911,0.44540
2004,Urban regions,Not concerned at all,0.23973,3588,14248,0.23272,0.24674
2004,Rural regions,Very concerned,0.34912,2381,7185,0.33810,0.36014
2004,Rural regions,Somewhat concerned,0.46228,3335,7185,0.45075,0.47381
2004,Rural regions,Not concerned at all,0.18860,1469,7185,0.17955,0.19764
2005,Urban regions,Very concerned,0.37060,4838,13671,0.36250,0.37870
2005,Urban regions,Somewhat concerned,0.42561,5953,13671,0.41733,0.43390
2005,Urban regions,Not concerned at all,0.20379,2880,13671,0.19703,0.21054
2005,Rural regions,Very concerned,0.43327,2811,6863,0.42155,0.44499
2005,Rural regions,Somewhat concerned,0.42050,2965,6863,0.40882,0.43218
2005,Rural regions,Not concerned at all,0.14623,1087,6863,0.13787,0.15459
2006,Urban regions,Very concerned,0.32827,4572,14365,0.32059,0.33595
2006,Urban regions,Somewhat concerned,0.43531,6314,14365,0.42720,0.44342
2006,Urban regions,Not concerned at all,0.23642,3479,14365,0.22947,0.24337
2006,Rural regions,Very concerned,0.37301,2618,7402,0.36199,0.38403
2006,Rural regions,Somewhat concerned,0.44740,3422,7402,0.43607,0.45873
2006,Rural regions,Not concerned at all,0.17959,1362,7402,0.17085,0.18834
2007,Urban regions,Very concerned,0.29395,3776,13367,0.28622,0.30167
2007,Urban regions,Somewhat concerned,0.43460,5865,13367,0.42619,0.44300
2007,Urban regions,Not concerned at all,0.27146,3726,13367,0.26392,0.27900
2007,Rural regions,Very concerned,0.32375,2188,6961,0.31276,0.33475
2007,Rural regions,Somewhat concerned,0.46273,3251,6961,0.45102,0.47444
2007,Rural regions,Not concerned at all,0.21352,1522,6961,0.20389,0.22314
2008,Urban regions,Very concerned,0.25179,3090,12635,0.24422,0.25936
2008,Urban regions,Somewhat concerned,0.43642,5494,12635,0.42777,0.44506
2008,Urban regions,Not concerned at all,0.31179,4051,12635,0.30372,0.31987
2008,Rural regions,Very concerned,0.29048,1815,6576,0.27951,0.30146
2008,Rural regions,Somewhat concerned,0.46646,3134,6576,0.45440,0.47852
2008,Rural regions,Not concerned at all,0.24305,1627,6576,0.23269,0.25342
2009,Urban regions,Very concerned,0.21664,2395,11651,0.20916,0.22412
2009,Urban regions,Somewhat concerned,0.41655,4834,11651,0.40760,0.42551
2009,Urban regions,Not concerned at all,0.36680,4422,11651,0.35805,0.37555
2009,Rural regions,Very concerned,0.23788,1438,6256,0.22733,0.24843
2009,Rural regions,Somewhat concerned,0.46766,2953,6256,0.45530,0.48003
2009,Rural regions,Not concerned at all,0.29446,1865,6256,0.28316,0.30576
2010,Urban regions,Very concerned,0.21216,3130,15559,0.20574,0.21859
2010,Urban regions,Somewhat concerned,0.41151,6192,15559,0.40377,0.41924
2010,Urban regions,Not concerned at all,0.37633,6237,15559,0.36872,0.38394
2010,Rural regions,Very concerned,0.25340,1966,8235,0.24401,0.26280
2010,Rural regions,Somewhat concerned,0.44139,3637,8235,0.43066,0.45211
