"plj0046","year","sampreg","sex","n","percent","lower_confidence","upper_confidence"
"Grosse Sorgen","1999","Westdeutschland, alte Bundeslaender","maennlich","1605","0.354788809485092","0.341257877847593","0.368319741122592"
"Grosse Sorgen","1999","Westdeutschland, alte Bundeslaender","weiblich","1669","0.355341575559689","0.342218806560448","0.368464344558931"
"Grosse Sorgen","1999","Ostdeutschland, neue Bundeslaender","maennlich","759","0.413065586695869","0.390469149531407","0.435662023860331"
"Grosse Sorgen","1999","Ostdeutschland, neue Bundeslaender","weiblich","698","0.366408597115334","0.345142778704363","0.387674415526305"
"Einige Sorgen","1999","Westdeutschland, alte Bundeslaender","maennlich","2149","0.436940601255114","0.422913106829328","0.450968095680901"
"Einige Sorgen","1999","Westdeutschland, alte Bundeslaender","weiblich","2415","0.46655832052061","0.452879958837047","0.480236682204173"
"Einige Sorgen","1999","Ostdeutschland, neue Bundeslaender","maennlich","780","0.436492766048337","0.413732677512034","0.45925285458464"
"Einige Sorgen","1999","Ostdeutschland, neue Bundeslaender","weiblich","985","0.481924469619632","0.459870810122437","0.503978129116826"
"Keine Sorgen","1999","Westdeutschland, alte Bundeslaender","maennlich","1049","0.208270589259793","0.196786563455324","0.219754615064263"
"Keine Sorgen","1999","Westdeutschland, alte Bundeslaender","weiblich","1026","0.1781001039197","0.167610014501689","0.188590193337712"
"Keine Sorgen","1999","Ostdeutschland, neue Bundeslaender","maennlich","285","0.150441647255794","0.134035132965097","0.166848161546491"
"Keine Sorgen","1999","Ostdeutschland, neue Bundeslaender","weiblich","289","0.151666933265034","0.135835388760616","0.167498477769452"
"Grosse Sorgen","2000","Westdeutschland, alte Bundeslaender","maennlich","2549","0.299155620032072","0.289559892488254","0.30875134757589"
"Grosse Sorgen","2000","Westdeutschland, alte Bundeslaender","weiblich","2586","0.282588773290204","0.273494324067205","0.291683222513204"
"Grosse Sorgen","2000","Ostdeutschland, neue Bundeslaender","maennlich","994","0.352917109198424","0.335149862493388","0.370684355903459"
"Grosse Sorgen","2000","Ostdeutschland, neue Bundeslaender","weiblich","946","0.319010178602663","0.302444376786713","0.335575980418613"
"Einige Sorgen","2000","Westdeutschland, alte Bundeslaender","maennlich","3813","0.426689851712095","0.416324847107489","0.4370548563167"
"Einige Sorgen","2000","Westdeutschland, alte Bundeslaender","weiblich","4488","0.475218070292172","0.465131331476815","0.48530480910753"
"Einige Sorgen","2000","Ostdeutschland, neue Bundeslaender","maennlich","1203","0.431880124753514","0.413463695958302","0.450296553548727"
"Einige Sorgen","2000","Ostdeutschland, neue Bundeslaender","weiblich","1484","0.46874407806373","0.451007915118236","0.486480241009225"
"Keine Sorgen","2000","Westdeutschland, alte Bundeslaender","maennlich","2385","0.274154528255833","0.264806105897159","0.283502950614507"
"Keine Sorgen","2000","Westdeutschland, alte Bundeslaender","weiblich","2342","0.242193156417623","0.233539989899015","0.250846322936232"
"Keine Sorgen","2000","Ostdeutschland, neue Bundeslaender","maennlich","582","0.215202766048062","0.19992335994135","0.230482172154774"
"Keine Sorgen","2000","Ostdeutschland, neue Bundeslaender","weiblich","611","0.212245743333607","0.197712760693734","0.226778725973479"
"Grosse Sorgen","2001","Westdeutschland, alte Bundeslaender","maennlich","1882","0.242463987960614","0.23299838958496","0.251929586336269"
"Grosse Sorgen","2001","Westdeutschland, alte Bundeslaender","weiblich","1920","0.228666934955307","0.219758157504771","0.237575712405843"
"Grosse Sorgen","2001","Ostdeutschland, neue Bundeslaender","maennlich","806","0.309154338658601","0.291417652249957","0.326891025067245"
"Grosse Sorgen","2001","Ostdeutschland, neue Bundeslaender","weiblich","735","0.259366946555464","0.243170412645201","0.275563480465728"
"Einige Sorgen","2001","Westdeutschland, alte Bundeslaender","maennlich","3628","0.459693852111943","0.448686645660679","0.470701058563207"
"Einige Sorgen","2001","Westdeutschland, alte Bundeslaender","weiblich","4155","0.487377971602858","0.476775013855288","0.497980929350428"
"Einige Sorgen","2001","Ostdeutschland, neue Bundeslaender","maennlich","1156","0.438253986990504","0.4192113435906","0.457296630390409"
"Einige Sorgen","2001","Ostdeutschland, neue Bundeslaender","weiblich","1413","0.48998374127068","0.4715103737598","0.50845710878156"
