"plj0046","year","bildungsniveau","sampreg","n","percent","lowerconfidence_percent","upperconfidence_percent"
"Einige Sorgen","1999","(Fach-)Abitur","Ostdeutschland","86","0.408012663027513","0.338314001698681","0.477711324356344"
"Einige Sorgen","1999","(Fach-)Abitur","Westdeutschland","428","0.442747669690773","0.411028140808341","0.474467198573205"
"Einige Sorgen","1999","(noch) kein Abschluss","Ostdeutschland","55","0.400903450939554","0.314989955124594","0.486816946754515"
"Einige Sorgen","1999","(noch) kein Abschluss","Westdeutschland","292","0.411437163026366","0.373808950973305","0.449065375079427"
"Einige Sorgen","1999","AkademikerIn","Ostdeutschland","423","0.482333708296217","0.448859527387878","0.515807889204556"
"Einige Sorgen","1999","AkademikerIn","Westdeutschland","496","0.44126010717835","0.411890435330265","0.470629779026434"
"Einige Sorgen","1999","Hauptschule","Ostdeutschland","537","0.458429620220556","0.429644091141094","0.487215149300018"
"Einige Sorgen","1999","Hauptschule","Westdeutschland","2212","0.451082186913532","0.437075085071743","0.465089288755321"
"Einige Sorgen","1999","Realschule","Ostdeutschland","628","0.459074931281463","0.432915575319552","0.485234287243375"
"Einige Sorgen","1999","Realschule","Westdeutschland","956","0.472074164681217","0.450046111163159","0.494102218199275"
"Grosse Sorgen","1999","(Fach-)Abitur","Ostdeutschland","52","0.288274250146195","0.224036448168419","0.352512052123971"
"Grosse Sorgen","1999","(Fach-)Abitur","Westdeutschland","210","0.233438337465856","0.206424749079903","0.26045192585181"
"Grosse Sorgen","1999","(noch) kein Abschluss","Ostdeutschland","40","0.328833022798414","0.246476863122751","0.411189182474077"
"Grosse Sorgen","1999","(noch) kein Abschluss","Westdeutschland","162","0.291782934980399","0.257023032923703","0.326542837037094"
"Grosse Sorgen","1999","AkademikerIn","Ostdeutschland","247","0.302452234008589","0.271682298705123","0.333222169312055"
"Grosse Sorgen","1999","AkademikerIn","Westdeutschland","208","0.203718828456906","0.179895868029862","0.22754178888395"
"Grosse Sorgen","1999","Hauptschule","Ostdeutschland","478","0.421904476427197","0.393373456369379","0.450435496485016"
"Grosse Sorgen","1999","Hauptschule","Westdeutschland","1894","0.417991428990812","0.404107411122923","0.431875446858702"
"Grosse Sorgen","1999","Realschule","Ostdeutschland","607","0.424242976363727","0.39829857484297","0.450187377884485"
"Grosse Sorgen","1999","Realschule","Westdeutschland","687","0.356578695536315","0.335443320296636","0.377714070775994"
"Keine Sorgen","1999","(Fach-)Abitur","Ostdeutschland","53","0.303713086826293","0.238496618514686","0.3689295551379"
"Keine Sorgen","1999","(Fach-)Abitur","Westdeutschland","304","0.32381399284337","0.293932414359971","0.35369557132677"
"Keine Sorgen","1999","(noch) kein Abschluss","Ostdeutschland","30","0.270263526262032","0.192411516067558","0.348115536456505"
"Keine Sorgen","1999","(noch) kein Abschluss","Westdeutschland","203","0.296779901993236","0.261847513055034","0.331712290931437"
"Keine Sorgen","1999","AkademikerIn","Ostdeutschland","186","0.215214057695194","0.187683048332205","0.242745067058183"
"Keine Sorgen","1999","AkademikerIn","Westdeutschland","394","0.355021064364744","0.326717133977497","0.38332499475199"
