year,quintil_oecd,sampreg,plj0046,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1999,1st Quintile,West,Very concerned,0.32900,530,1779,0.30716,0.35084
1999,1st Quintile,West,Somewhat concerned,0.45781,829,1779,0.43465,0.48097
1999,1st Quintile,West,Not concerned at all,0.21319,420,1779,0.19415,0.23223
1999,1st Quintile,East,Very concerned,0.39501,324,803,0.36118,0.42884
1999,1st Quintile,East,Somewhat concerned,0.43828,357,803,0.40394,0.47262
1999,1st Quintile,East,Not concerned at all,0.16671,122,803,0.14091,0.19250
1999,2nd Quintile,West,Very concerned,0.37053,608,1839,0.34845,0.39261
1999,2nd Quintile,West,Somewhat concerned,0.45305,855,1839,0.43029,0.47581
1999,2nd Quintile,West,Not concerned at all,0.17642,376,1839,0.15899,0.19385
1999,2nd Quintile,East,Very concerned,0.42326,442,1022,0.39295,0.45357
1999,2nd Quintile,East,Somewhat concerned,0.44788,450,1022,0.41738,0.47839
1999,2nd Quintile,East,Not concerned at all,0.12886,130,1022,0.10830,0.14941
1999,3rd Quintile,West,Very concerned,0.38153,660,1888,0.35961,0.40344
1999,3rd Quintile,West,Somewhat concerned,0.45149,886,1888,0.42904,0.47394
1999,3rd Quintile,West,Not concerned at all,0.16699,342,1888,0.15016,0.18381
1999,3rd Quintile,East,Very concerned,0.37884,343,926,0.34758,0.41010
1999,3rd Quintile,East,Somewhat concerned,0.48688,461,926,0.45467,0.51909
1999,3rd Quintile,East,Not concerned at all,0.13428,122,926,0.11231,0.15626
1999,4th Quintile,West,Very concerned,0.36982,762,2125,0.34929,0.39036
1999,4th Quintile,West,Somewhat concerned,0.44799,942,2125,0.42684,0.46914
1999,4th Quintile,West,Not concerned at all,0.18219,421,2125,0.16577,0.19860
1999,4th Quintile,East,Very concerned,0.36400,211,632,0.32646,0.40154
1999,4th Quintile,East,Somewhat concerned,0.48141,316,632,0.44242,0.52039
1999,4th Quintile,East,Not concerned at all,0.15459,105,632,0.12638,0.18280
1999,5th Quintile,West,Very concerned,0.32206,693,2209,0.30257,0.34155
1999,5th Quintile,West,Somewhat concerned,0.45410,1022,2209,0.43333,0.47487
1999,5th Quintile,West,Not concerned at all,0.22384,494,2209,0.20645,0.24123
1999,5th Quintile,East,Very concerned,0.33673,128,393,0.28994,0.38351
1999,5th Quintile,East,Somewhat concerned,0.44351,171,393,0.39433,0.49269
1999,5th Quintile,East,Not concerned at all,0.21976,94,393,0.17877,0.26075
2000,1st Quintile,West,Very concerned,0.26895,418,1721,0.24799,0.28991
2000,1st Quintile,West,Somewhat concerned,0.46530,811,1721,0.44173,0.48888
2000,1st Quintile,West,Not concerned at all,0.26575,492,1721,0.24487,0.28662
2000,1st Quintile,East,Very concerned,0.32709,291,821,0.29497,0.35920
2000,1st Quintile,East,Somewhat concerned,0.46968,374,821,0.43552,0.50384
2000,1st Quintile,East,Not concerned at all,0.20324,156,821,0.17569,0.23078
2000,2nd Quintile,West,Very concerned,0.28043,496,1793,0.25963,0.30123
2000,2nd Quintile,West,Somewhat concerned,0.48320,851,1793,0.46006,0.50633
2000,2nd Quintile,West,Not concerned at all,0.23637,446,1793,0.21670,0.25604
2000,2nd Quintile,East,Very concerned,0.34961,326,921,0.31880,0.38043
