"plj0046","year","age_gr","sex","n","percent","lowerconfidence_percent","upperconfidence_percent"
"Einige Sorgen","1999","17-34","maennlich","989","0.439153059347782","0.418651330872999","0.459654787822566"
"Einige Sorgen","1999","17-34","weiblich","1131","0.478752043180406","0.458450888564122","0.499053197796691"
"Einige Sorgen","1999","35-65","maennlich","1572","0.433914263063819","0.417706503096841","0.450122023030797"
"Einige Sorgen","1999","35-65","weiblich","1781","0.475421775417192","0.459251589146169","0.491591961688215"
"Einige Sorgen","1999","66 +","maennlich","353","0.449818405858293","0.414167634425594","0.485469177290993"
"Einige Sorgen","1999","66 +","weiblich","463","0.445013901683054","0.41473739549657","0.475290407869537"
"Grosse Sorgen","1999","17-34","maennlich","732","0.318010005197482","0.298771570338364","0.3372484400566"
"Grosse Sorgen","1999","17-34","weiblich","662","0.300396315336192","0.281766155515495","0.319026475156889"
"Grosse Sorgen","1999","35-65","maennlich","1330","0.36906910325504","0.353288461183043","0.384849745327037"
"Grosse Sorgen","1999","35-65","weiblich","1270","0.358483734763165","0.342955970743139","0.374011498783191"
"Grosse Sorgen","1999","66 +","maennlich","291","0.429051285748705","0.393582163135943","0.464520408361467"
"Grosse Sorgen","1999","66 +","weiblich","416","0.415877786580456","0.385850738514741","0.445904834646172"
"Keine Sorgen","1999","17-34","maennlich","530","0.242836935454736","0.225123107370724","0.260550763538748"
"Keine Sorgen","1999","17-34","weiblich","533","0.220851641483402","0.203993735338684","0.237709547628119"
"Keine Sorgen","1999","35-65","maennlich","690","0.197016633681141","0.18400940880439","0.210023858557893"
"Keine Sorgen","1999","35-65","weiblich","613","0.166094489819643","0.15404395303441","0.178145026604877"
"Keine Sorgen","1999","66 +","maennlich","104","0.121130308393002","0.0977480773538335","0.144512539432171"
"Keine Sorgen","1999","66 +","weiblich","156","0.13910831173649","0.118025491124278","0.160191132348703"
"Einige Sorgen","2000","17-34","maennlich","1391","0.400112398074146","0.383578857404433","0.416645938743858"
"Einige Sorgen","2000","17-34","weiblich","1717","0.470842730968386","0.4545578357625","0.487127626174273"
"Einige Sorgen","2000","35-65","maennlich","2872","0.430907789306924","0.4189253133799","0.442890265233947"
"Einige Sorgen","2000","35-65","weiblich","3224","0.466777032646265","0.454863070528089","0.47869099476444"
"Einige Sorgen","2000","66 +","maennlich","728","0.470840370722486","0.445705771027345","0.495974970417627"
"Einige Sorgen","2000","66 +","weiblich","990","0.492439863153388","0.470670349615953","0.514209376690822"
"Grosse Sorgen","2000","17-34","maennlich","963","0.277172892160954","0.262067482328133","0.292278301993775"
"Grosse Sorgen","2000","17-34","weiblich","901","0.243322857520631","0.229323715754069","0.257321999287192"
"Grosse Sorgen","2000","35-65","maennlich","2083","0.320452340243243","0.309160759185346","0.33174392130114"
"Grosse Sorgen","2000","35-65","weiblich","1998","0.305105347882877","0.2941094310486","0.316101264717155"
"Grosse Sorgen","2000","66 +","maennlich","475","0.325053816515572","0.301467833452417","0.348639799578728"
"Grosse Sorgen","2000","66 +","weiblich","610","0.306681826250204","0.286602983288673","0.326760669211734"
"Keine Sorgen","2000","17-34","maennlich","1019","0.322714709764901","0.306937321147097","0.338492098382704"
