year,regtyp,sampreg,plj0046,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1999,Urban regions,West,Very concerned,0.34264,2419,7617,0.33198,0.35329
1999,Urban regions,West,Somewhat concerned,0.45056,3510,7617,0.43939,0.46174
1999,Urban regions,West,Not concerned at all,0.20680,1688,7617,0.19770,0.21590
1999,Urban regions,East,Very concerned,0.38096,460,1235,0.35387,0.40806
1999,Urban regions,East,Somewhat concerned,0.41915,529,1235,0.39162,0.44668
1999,Urban regions,East,Not concerned at all,0.19989,246,1235,0.17758,0.22220
1999,Rural regions,West,Very concerned,0.39025,834,2223,0.36997,0.41054
1999,Rural regions,West,Somewhat concerned,0.45999,1024,2223,0.43927,0.48072
1999,Rural regions,West,Not concerned at all,0.14975,365,2223,0.13492,0.16459
1999,Rural regions,East,Very concerned,0.39225,988,2541,0.37326,0.41124
1999,Rural regions,East,Somewhat concerned,0.48084,1226,2541,0.46141,0.50028
1999,Rural regions,East,Not concerned at all,0.12691,327,2541,0.11396,0.13985
2000,Urban regions,West,Very concerned,0.28235,3736,13715,0.27481,0.28988
2000,Urban regions,West,Somewhat concerned,0.44218,6188,13715,0.43387,0.45050
2000,Urban regions,West,Not concerned at all,0.27547,3791,13715,0.26799,0.28295
2000,Urban regions,East,Very concerned,0.30723,561,1837,0.28613,0.32833
2000,Urban regions,East,Somewhat concerned,0.43807,815,1837,0.41537,0.46076
2000,Urban regions,East,Not concerned at all,0.25470,461,1837,0.23477,0.27463
2000,Rural regions,West,Very concerned,0.31881,1369,4315,0.30491,0.33272
2000,Rural regions,West,Somewhat concerned,0.48460,2058,4315,0.46968,0.49951
2000,Rural regions,West,Not concerned at all,0.19659,888,4315,0.18473,0.20845
2000,Rural regions,East,Very concerned,0.34805,1364,3953,0.33320,0.36291
2000,Rural regions,East,Somewhat concerned,0.45788,1861,3953,0.44234,0.47341
2000,Rural regions,East,Not concerned at all,0.19407,728,3953,0.18174,0.20640
2001,Urban regions,West,Very concerned,0.22242,2749,12450,0.21512,0.22973
2001,Urban regions,West,Somewhat concerned,0.46616,5815,12450,0.45739,0.47492
2001,Urban regions,West,Not concerned at all,0.31142,3886,12450,0.30329,0.31956
2001,Urban regions,East,Very concerned,0.26590,472,1732,0.24509,0.28672
2001,Urban regions,East,Somewhat concerned,0.44568,764,1732,0.42227,0.46910
2001,Urban regions,East,Not concerned at all,0.28841,496,1732,0.26707,0.30975
2001,Rural regions,West,Very concerned,0.27861,1040,3852,0.26445,0.29277
