"plj0046","year","bildungsniveau","bula_h","n","percent","lower_confidence_percent","upper_confidence_percent"
"Grosse Sorgen","1999","(noch) kein Abschluss","Schleswig-Holstein","1","","",""
"Grosse Sorgen","1999","(noch) kein Abschluss","Hamburg","1","","",""
"Grosse Sorgen","1999","(noch) kein Abschluss","Niedersachsen","24","","",""
"Grosse Sorgen","1999","(noch) kein Abschluss","Bremen","3","","",""
"Grosse Sorgen","1999","(noch) kein Abschluss","Nordrhein-Westfalen","58","0.295684767407303","0.233963269094859","0.357406265719748"
"Grosse Sorgen","1999","(noch) kein Abschluss","Hessen","10","","",""
"Grosse Sorgen","1999","(noch) kein Abschluss","Rheinland-Pfalz,Saarland","6","0.0940432986107421","0.00243529151111709","0.185651305710367"
"Grosse Sorgen","1999","(noch) kein Abschluss","Baden-Wuerttemberg","33","0.270546829099484","0.202763007361462","0.338330650837507"
"Grosse Sorgen","1999","(noch) kein Abschluss","Bayern","22","","",""
"Grosse Sorgen","1999","(noch) kein Abschluss","Saarland","","","",""
"Grosse Sorgen","1999","(noch) kein Abschluss","Berlin","8","0.342321543839696","0.156326226437555","0.528316861241838"
"Grosse Sorgen","1999","(noch) kein Abschluss","Brandenburg","3","","",""
"Grosse Sorgen","1999","(noch) kein Abschluss","Mecklenburg-Vorpommern","7","0.588098917683985","0.339027370726942","0.837170464641029"
"Grosse Sorgen","1999","(noch) kein Abschluss","Sachsen","14","","",""
"Grosse Sorgen","1999","(noch) kein Abschluss","Sachsen-Anhalt","5","0.286672663473254","0.101864246254994","0.471481080691514"
"Grosse Sorgen","1999","(noch) kein Abschluss","Thueringen","7","0.305748500144102","0.10383113325886","0.507665867029345"
"Grosse Sorgen","1999","Hauptschule","Schleswig-Holstein","36","0.312728991826244","0.236476857680423","0.388981125972064"
"Grosse Sorgen","1999","Hauptschule","Hamburg","29","","",""
"Grosse Sorgen","1999","Hauptschule","Niedersachsen","210","","",""
"Grosse Sorgen","1999","Hauptschule","Bremen","19","","",""
"Grosse Sorgen","1999","Hauptschule","Nordrhein-Westfalen","527","0.440684064241761","0.413194691813912","0.468173436669611"
"Grosse Sorgen","1999","Hauptschule","Hessen","159","","",""
"Grosse Sorgen","1999","Hauptschule","Rheinland-Pfalz,Saarland","149","","",""
"Grosse Sorgen","1999","Hauptschule","Baden-Wuerttemberg","344","0.427688199533514","0.395490530513946","0.459885868553081"
"Grosse Sorgen","1999","Hauptschule","Bayern","378","0.411283617904274","0.379607497138595","0.442959738669953"
"Grosse Sorgen","1999","Hauptschule","Saarland","","","",""
