"plj0046","year","bildungsniveau","sex","n","percent","lower_confidence_percent","upper_confidence_percent"
"Einige Sorgen","1999","(Fach-)Abitur","maennlich","238","","",""
"Einige Sorgen","1999","(Fach-)Abitur","weiblich","276","","",""
"Einige Sorgen","1999","(noch) kein Abschluss","maennlich","160","","",""
"Einige Sorgen","1999","(noch) kein Abschluss","weiblich","187","","",""
"Einige Sorgen","1999","AkademikerIn","maennlich","461","0.426185078918821","0.39665087437923","0.455719283458413"
"Einige Sorgen","1999","AkademikerIn","weiblich","458","0.492223588882436","0.459135950816217","0.525311226948656"
"Einige Sorgen","1999","Hauptschule","maennlich","1319","","",""
"Einige Sorgen","1999","Hauptschule","weiblich","1430","","",""
"Einige Sorgen","1999","Realschule","maennlich","662","0.438009845952085","0.412902040696561","0.46311765120761"
"Einige Sorgen","1999","Realschule","weiblich","922","0.492871654054471","0.470193808355525","0.515549499753417"
"Grosse Sorgen","1999","(Fach-)Abitur","maennlich","133","","",""
"Grosse Sorgen","1999","(Fach-)Abitur","weiblich","129","","",""
"Grosse Sorgen","1999","(noch) kein Abschluss","maennlich","99","0.317106644983473","0.268630779152207","0.365582510814738"
"Grosse Sorgen","1999","(noch) kein Abschluss","weiblich","103","","",""
"Grosse Sorgen","1999","AkademikerIn","maennlich","269","","",""
"Grosse Sorgen","1999","AkademikerIn","weiblich","186","","",""
"Grosse Sorgen","1999","Hauptschule","maennlich","1168","","",""
"Grosse Sorgen","1999","Hauptschule","weiblich","1204","","",""
"Grosse Sorgen","1999","Realschule","maennlich","625","0.40673189921817","0.381872989471793","0.431590808964548"
"Grosse Sorgen","1999","Realschule","weiblich","669","0.351184063657366","0.329531761139304","0.372836366175428"
"Keine Sorgen","1999","(Fach-)Abitur","maennlich","169","","",""
"Keine Sorgen","1999","(Fach-)Abitur","weiblich","188","","",""
"Keine Sorgen","1999","(noch) kein Abschluss","maennlich","95","0.273690199522427","0.227245406129653","0.320134992915201"
"Keine Sorgen","1999","(noch) kein Abschluss","weiblich","138","","",""
"Keine Sorgen","1999","AkademikerIn","maennlich","347","0.330412287840915","0.302320972692001","0.35850360298983"
"Keine Sorgen","1999","AkademikerIn","weiblich","233","","",""
"Keine Sorgen","1999","Hauptschule","maennlich","462","0.14016887754347","0.12763910800818","0.15269864707876"
"Keine Sorgen","1999","Hauptschule","weiblich","416","0.119529094670301","0.108015988989025","0.131042200351577"
"Keine Sorgen","1999","Realschule","maennlich","213","","",""
"Keine Sorgen","1999","Realschule","weiblich","276","","",""
"Einige Sorgen","2000","(Fach-)Abitur","maennlich","496","0.440538311011287","0.41126687901012","0.469809743012454"
"Einige Sorgen","2000","(Fach-)Abitur","weiblich","558","0.448516350214596","0.420654314639731","0.47637838578946"
"Einige Sorgen","2000","(noch) kein Abschluss","maennlich","176","","",""
"Einige Sorgen","2000","(noch) kein Abschluss","weiblich","207","","",""
"Einige Sorgen","2000","AkademikerIn","maennlich","901","0.411257407181864","0.390390068659537","0.432124745704192"
"Einige Sorgen","2000","AkademikerIn","weiblich","750","0.440278927219135","0.416245904723991","0.464311949714279"
"Einige Sorgen","2000","Hauptschule","maennlich","2281","","",""
"Einige Sorgen","2000","Hauptschule","weiblich","2655","","",""
"Einige Sorgen","2000","Realschule","maennlich","1133","","",""
"Einige Sorgen","2000","Realschule","weiblich","1752","","",""
"Grosse Sorgen","2000","(Fach-)Abitur","maennlich","213","","",""
"Grosse Sorgen","2000","(Fach-)Abitur","weiblich","236","","",""
