year,bula_h,pgisced97,plj0046,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
1999,Schleswig-Holstein,Upper Secondary Level,Very concerned,0.28975,46,11336,0.28904,0.29047
1999,Schleswig-Holstein,Upper Secondary Level,Somewhat concerned,0.51615,94,11336,0.51537,0.51694
1999,Schleswig-Holstein,Upper Secondary Level,Not concerned at all,0.19409,48,11336,0.19347,0.19472
1999,Lower Saxony,Lower Secondary Level,Very concerned,0.41653,83,11336,0.41566,0.41740
1999,Lower Saxony,Lower Secondary Level,Somewhat concerned,0.43107,109,11336,0.43020,0.43194
1999,Lower Saxony,Lower Secondary Level,Not concerned at all,0.15240,46,11336,0.15177,0.15304
1999,Lower Saxony,Upper Secondary Level,Very concerned,0.40565,225,11336,0.40512,0.40618
1999,Lower Saxony,Upper Secondary Level,Somewhat concerned,0.46504,282,11336,0.46450,0.46557
1999,Lower Saxony,Upper Secondary Level,Not concerned at all,0.12931,76,11336,0.12895,0.12967
1999,Lower Saxony,First Stage of Tertiary Education,Somewhat concerned,1.00000,33,11336,1.00000,1.00000
1999,Lower Saxony,Second Stage of Tertiary Education,Somewhat concerned,0.58497,56,11336,0.58365,0.58629
1999,Lower Saxony,Second Stage of Tertiary Education,Not concerned at all,0.41503,43,11336,0.41371,0.41635
1999,North Rhine-Westphalia,Pre-primary Level,Somewhat concerned,1.00000,34,11336,1.00000,1.00000
1999,North Rhine-Westphalia,Primary Level,Very concerned,0.39980,32,11336,0.39793,0.40167
1999,North Rhine-Westphalia,Primary Level,Somewhat concerned,0.60020,58,11336,0.59833,0.60207
1999,North Rhine-Westphalia,Lower Secondary Level,Very concerned,0.44144,199,11336,0.44083,0.44204
1999,North Rhine-Westphalia,Lower Secondary Level,Somewhat concerned,0.40698,207,11336,0.40638,0.40758
1999,North Rhine-Westphalia,Lower Secondary Level,Not concerned at all,0.15158,92,11336,0.15115,0.15202
1999,North Rhine-Westphalia,Upper Secondary Level,Very concerned,0.39568,514,11336,0.39533,0.39603
1999,North Rhine-Westphalia,Upper Secondary Level,Somewhat concerned,0.44072,592,11336,0.44037,0.44108
1999,North Rhine-Westphalia,Upper Secondary Level,Not concerned at all,0.16360,212,11336,0.16333,0.16386
