"plj0046","year","bildungsniveau","quintil_oecd","n","percent","lower_confidence_percent","upper_confidence_percent"
"Einige Sorgen","1999","(Fach-)Abitur","1 Einkommensschwächstes Quintil","129","0.405884514013219","0.351482797948277","0.460286230078162"
"Einige Sorgen","1999","(Fach-)Abitur","2","135","0.445541101796976","0.388336935812756","0.502745267781196"
"Einige Sorgen","1999","(Fach-)Abitur","3","102","0.444078974295421","0.378719543793761","0.509438404797082"
"Einige Sorgen","1999","(Fach-)Abitur","4","94","0.469344625271127","0.399655151356909","0.539034099185344"
"Einige Sorgen","1999","(Fach-)Abitur","5 Einkommensstärkstes Quintil","54","0.452388137690809","0.359795036612634","0.544981238768985"
"Einige Sorgen","1999","(noch) kein Abschluss","1 Einkommensschwächstes Quintil","153","0.416110413187088","0.364173073724992","0.468047752649184"
"Einige Sorgen","1999","(noch) kein Abschluss","2","111","0.383784441842511","0.323014258090461","0.44455462559456"
"Einige Sorgen","1999","(noch) kein Abschluss","3","40","0.413893528793738","0.312698315241754","0.515088742345723"
"Einige Sorgen","1999","(noch) kein Abschluss","4","25","","",""
"Einige Sorgen","1999","(noch) kein Abschluss","5 Einkommensstärkstes Quintil","18","","",""
"Einige Sorgen","1999","AkademikerIn","1 Einkommensschwächstes Quintil","125","0.532887633300781","0.468549181727369","0.597226084874192"
"Einige Sorgen","1999","AkademikerIn","2","220","0.483818810315749","0.436910768015254","0.530726852616243"
"Einige Sorgen","1999","AkademikerIn","3","200","0.461076612764187","0.414015789713579","0.508137435814796"
"Einige Sorgen","1999","AkademikerIn","4","183","0.424265656051328","0.377497585613518","0.471033726489139"
"Einige Sorgen","1999","AkademikerIn","5 Einkommensstärkstes Quintil","191","0.418198091196697","0.371412432586508","0.464983749806885"
"Einige Sorgen","1999","Hauptschule","1 Einkommensschwächstes Quintil","881","0.460044953710967","0.43750963841452","0.482580269007414"
"Einige Sorgen","1999","Hauptschule","2","919","0.45165400179848","0.429794375586424","0.473513628010535"
"Einige Sorgen","1999","Hauptschule","3","515","0.460523323280221","0.431266793672951","0.489779852887492"
"Einige Sorgen","1999","Hauptschule","4","306","0.416080619078859","0.380324378594579","0.451836859563138"
"Einige Sorgen","1999","Hauptschule","5 Einkommensstärkstes Quintil","128","0.47275332718822","0.414688499453411","0.530818154923029"
"Einige Sorgen","1999","Realschule","1 Einkommensschwächstes Quintil","411","0.458313243013553","0.425975777083434","0.490650708943673"
"Einige Sorgen","1999","Realschule","2","475","0.466603863082584","0.43594283502238","0.497264891142788"
"Einige Sorgen","1999","Realschule","3","311","0.476114928265207","0.437482279292699","0.514747577237715"
"Einige Sorgen","1999","Realschule","4","257","0.445461853878306","0.403502897123207","0.487420810633404"
"Einige Sorgen","1999","Realschule","5 Einkommensstärkstes Quintil","130","0.524158246975226","0.463100044546898","0.585216449403555"
"Grosse Sorgen","1999","(Fach-)Abitur","1 Einkommensschwächstes Quintil","69","0.224103293325693","0.177907546144514","0.270299040506871"
"Grosse Sorgen","1999","(Fach-)Abitur","2","63","0.197223556332626","0.151427741041181","0.243019371624072"
"Grosse Sorgen","1999","(Fach-)Abitur","3","61","0.328238965931675","0.266469467335484","0.390008464527866"
"Grosse Sorgen","1999","(Fach-)Abitur","4","43","0.211339728849941","0.154329795568103","0.26834966213178"
"Grosse Sorgen","1999","(Fach-)Abitur","5 Einkommensstärkstes Quintil","26","","",""
"Grosse Sorgen","1999","(noch) kein Abschluss","1 Einkommensschwächstes Quintil","88","0.279209045360808","0.231939715267564","0.326478375454053"
"Grosse Sorgen","1999","(noch) kein Abschluss","2","67","0.354651768479425","0.294868636369124","0.414434900589726"
"Grosse Sorgen","1999","(noch) kein Abschluss","3","24","","",""
"Grosse Sorgen","1999","(noch) kein Abschluss","4","14","","",""
"Grosse Sorgen","1999","(noch) kein Abschluss","5 Einkommensstärkstes Quintil","9","","",""
