year,age_gr,sampreg,plj0046,proportion,n,proportion_lower_confidence,proportion_upper_confidence
1999,18-29 y.,West,Somewhat concerned,0.46250629089079015,17396,0.45509699588582175,0.46991558589575855
1999,18-29 y.,West,Very concerned,0.2828384499245093,17396,0.2761456307000401,0.2895312691489785
1999,18-29 y.,West,Not concerned at all,0.25465525918470056,17396,0.24818105648649455,0.26112946188290653
1999,18-29 y.,East,Somewhat concerned,0.47299077733860345,17396,0.46557141099001526,0.48041014368719165
1999,18-29 y.,East,Very concerned,0.3557312252964427,17396,0.3486170279607325,0.36284542263215286
1999,18-29 y.,East,Not concerned at all,0.1712779973649539,17396,0.16567930512691037,0.1768766896029974
1999,30-45 y.,West,Somewhat concerned,0.48102357676825763,17396,0.4735987150825445,0.4884484384539708
1999,30-45 y.,West,Very concerned,0.2961472110408281,17396,0.2893625819015559,0.3029318401801003
1999,30-45 y.,West,Not concerned at all,0.2228292121909143,17396,0.21664512408695405,0.22901330029487457
1999,30-45 y.,East,Somewhat concerned,0.4603434178250204,17396,0.45293660994360935,0.4677502257064315
1999,30-45 y.,East,Very concerned,0.3883892068683565,17396,0.38114647314895245,0.3956319405877605
1999,30-45 y.,East,Not concerned at all,0.15126737530662307,17396,0.14594274504855217,0.15659200556469396
1999,46-65 y.,West,Somewhat concerned,0.43982270712580973,17396,0.43244650267625817,0.4471989115753613
1999,46-65 y.,West,Very concerned,0.37504261847937265,17396,0.36784818031957484,0.38223705663917046
1999,46-65 y.,West,Not concerned at all,0.1851346743948176,17396,0.17936278268860553,0.19090656610102966
1999,46-65 y.,East,Somewhat concerned,0.47130153597413094,17396,0.4638835702243691,0.47871950172389277
1999,46-65 y.,East,Very concerned,0.39773645917542444,17396,0.39046331226489117,0.4050096060859577
1999,46-65 y.,East,Not concerned at all,0.13096200485044462,17396,0.12594870810921352,0.13597530159167573
1999,66 and older,West,Somewhat concerned,0.4592307692307692,17396,0.45182529546742495,0.4666362429941135
1999,66 and older,West,Very concerned,0.40384615384615385,17396,0.39655462627171095,0.41113768142059676
1999,66 and older,West,Not concerned at all,0.13692307692307693,17396,0.13181456455510662,0.14203158929104723
1999,66 and older,East,Somewhat concerned,0.453416149068323,17396,0.44601825238226683,0.4608140457543792
1999,66 and older,East,Very concerned,0.37681159420289856,17396,0.3696104222239754,0.38401276618182173
1999,66 and older,East,Not concerned at all,0.16977225672877846,17396,0.16419316690540084,0.1753513465521561
2000,18-29 y.,West,Somewhat concerned,0.44390243902439025,30607,0.43833616028624917,0.44946871776253133
2000,18-29 y.,West,Not concerned at all,0.31934959349593495,30607,0.31412634211757484,0.32457284487429505
2000,18-29 y.,West,Very concerned,0.2367479674796748,30607,0.23198560109649893,0.24151033386285067
