"plj0046","year","migback","sex","n","percent","lowerconfidence_percent","upperconfidence_percent"
"Grosse Sorgen","1999","kein Migrationshintergrund","maennlich","2027","0.386563866186262","0.373304077592141","0.399823654780384"
"Grosse Sorgen","1999","kein Migrationshintergrund","weiblich","2007","0.372108761946728","0.359489331383269","0.384728192510186"
"Grosse Sorgen","1999","direkter Migrationshintergrund","maennlich","262","0.25411343676489","0.228467150396353","0.279759723133426"
"Grosse Sorgen","1999","direkter Migrationshintergrund","weiblich","262","0.264380913499149","0.238212508075062","0.290549318923235"
"Grosse Sorgen","1999","indirekter Migrationshintergrund","maennlich","64","0.235425624395957","0.187654714698413","0.283196534093501"
"Grosse Sorgen","1999","indirekter Migrationshintergrund","weiblich","79","0.298661419539762","0.246698518843207","0.350624320236317"
"Grosse Sorgen","1999","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"Grosse Sorgen","1999","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"Einige Sorgen","1999","kein Migrationshintergrund","maennlich","2249","0.436461600982059","0.422957176752356","0.449966025211762"
"Einige Sorgen","1999","kein Migrationshintergrund","weiblich","2732","0.471734481485217","0.458701687151383","0.484767275819051"
"Einige Sorgen","1999","direkter Migrationshintergrund","maennlich","514","0.439188260716215","0.409952917943076","0.468423603489353"
"Einige Sorgen","1999","direkter Migrationshintergrund","weiblich","511","0.464458280329707","0.434864140255932","0.494052420403482"
"Einige Sorgen","1999","indirekter Migrationshintergrund","maennlich","151","0.474415860845449","0.418191114836921","0.530640606853976"
"Einige Sorgen","1999","indirekter Migrationshintergrund","weiblich","132","0.419183983696206","0.363161599031892","0.475206368360521"
"Einige Sorgen","1999","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"Einige Sorgen","1999","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"Keine Sorgen","1999","kein Migrationshintergrund","maennlich","905","0.176974532831679","0.16658243278455","0.187366632878808"
"Keine Sorgen","1999","kein Migrationshintergrund","weiblich","897","0.156156756568055","0.146679691171699","0.165633821964411"
"Keine Sorgen","1999","direkter Migrationshintergrund","maennlich","331","0.306698302518896","0.279534466598993","0.333862138438799"
"Keine Sorgen","1999","direkter Migrationshintergrund","weiblich","318","0.271160806171144","0.244781398870983","0.297540213471305"
"Keine Sorgen","1999","indirekter Migrationshintergrund","maennlich","88","0.290158514758594","0.239058017632421","0.341259011884768"
"Keine Sorgen","1999","indirekter Migrationshintergrund","weiblich","87","0.282154596764031","0.231057175179723","0.333252018348339"
"Keine Sorgen","1999","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"Keine Sorgen","1999","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"Grosse Sorgen","2000","kein Migrationshintergrund","maennlich","3174","0.332241449871225","0.322746342120126","0.341736557622323"
"Grosse Sorgen","2000","kein Migrationshintergrund","weiblich","3148","0.310011999300616","0.301085387268688","0.318938611332544"
"Grosse Sorgen","2000","direkter Migrationshintergrund","maennlich","281","0.184272599287517","0.165263453132349","0.203281745442686"
"Grosse Sorgen","2000","direkter Migrationshintergrund","weiblich","290","0.175669025294759","0.157313240400166","0.194024810189352"
"Grosse Sorgen","2000","indirekter Migrationshintergrund","maennlich","67","0.196771038194464","0.157762299207333","0.235779777181596"
"Grosse Sorgen","2000","indirekter Migrationshintergrund","weiblich","72","0.188225120409194","0.150342236527524","0.226108004290863"
"Grosse Sorgen","2000","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"Grosse Sorgen","2000","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"Einige Sorgen","2000","kein Migrationshintergrund","maennlich","4133","0.431939032515355","0.421953483168247","0.441924581862463"
"Einige Sorgen","2000","kein Migrationshintergrund","weiblich","4962","0.476170070530292","0.466530607536497","0.485809533524086"
"Einige Sorgen","2000","direkter Migrationshintergrund","maennlich","690","0.410000414613681","0.38588594553061","0.434114883696752"
"Einige Sorgen","2000","direkter Migrationshintergrund","weiblich","763","0.457044552142261","0.433015539813795","0.481073564470727"
"Einige Sorgen","2000","indirekter Migrationshintergrund","maennlich","168","0.419363330046052","0.370945078838079","0.467781581254026"
"Einige Sorgen","2000","indirekter Migrationshintergrund","weiblich","206","0.471311083084236","0.422933923414021","0.519688242754451"
"Einige Sorgen","2000","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"Einige Sorgen","2000","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"Keine Sorgen","2000","kein Migrationshintergrund","maennlich","2146","0.23581951761342","0.227261934888774","0.244377100338066"
"Keine Sorgen","2000","kein Migrationshintergrund","weiblich","2202","0.213817930169093","0.205904582133041","0.221731278205144"
"Keine Sorgen","2000","direkter Migrationshintergrund","maennlich","627","0.405726986098802","0.38165179984798","0.429802172349623"
"Keine Sorgen","2000","direkter Migrationshintergrund","weiblich","598","0.36728642256298","0.344033338132561","0.390539506993399"
"Keine Sorgen","2000","indirekter Migrationshintergrund","maennlich","164","0.383865631759483","0.336146890873365","0.431584372645601"
"Keine Sorgen","2000","indirekter Migrationshintergrund","weiblich","131","0.340463796506571","0.294539636033571","0.38638795697957"
"Keine Sorgen","2000","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"Keine Sorgen","2000","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"Grosse Sorgen","2001","kein Migrationshintergrund","maennlich","2369","0.270733112424225","0.2613676484637","0.280098576384749"
"Grosse Sorgen","2001","kein Migrationshintergrund","weiblich","2358","0.249954342537927","0.241207824670345","0.25870086040551"
"Grosse Sorgen","2001","direkter Migrationshintergrund","maennlich","238","0.161335963218722","0.142129287774465","0.180542638662978"
"Grosse Sorgen","2001","direkter Migrationshintergrund","weiblich","224","0.152390210201151","0.133992760595443","0.170787659806858"
"Grosse Sorgen","2001","indirekter Migrationshintergrund","maennlich","69","0.187738011366948","0.147948243943741","0.227527778790154"
"Grosse Sorgen","2001","indirekter Migrationshintergrund","weiblich","61","0.159799536356321","0.123292899615751","0.196306173096891"
"Grosse Sorgen","2001","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"Grosse Sorgen","2001","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"Einige Sorgen","2001","kein Migrationshintergrund","maennlich","3971","0.459724531200211","0.449220117310835","0.470228945089588"
"Einige Sorgen","2001","kein Migrationshintergrund","weiblich","4673","0.498784053164355","0.488683859198343","0.508884247130366"
"Einige Sorgen","2001","direkter Migrationshintergrund","maennlich","638","0.442880585330333","0.416944163421196","0.46881700723947"
"Einige Sorgen","2001","direkter Migrationshintergrund","weiblich","678","0.443594827228627","0.418163447540673","0.469026206916581"
"Einige Sorgen","2001","indirekter Migrationshintergrund","maennlich","151","0.42988784352759","0.37944437261361","0.480331314441569"
"Einige Sorgen","2001","indirekter Migrationshintergrund","weiblich","182","0.443873667699071","0.394373231155553","0.49337410424259"
"Einige Sorgen","2001","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
