year,sampreg,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1984,West,,,,,,,,,,,,
1985,West,,,,,,,,,,,,
1986,West,,,,,,,,,,,,
1987,West,,,,,,,,,,,,
1988,West,,,,,,,,,,,,
1989,West,,,,,,,,,,,,
1990,West,,,,,,,,,,,,
1990,East,,,,,,,,,,,,
1991,West,,,,,,,,,,,,
1991,East,,,,,,,,,,,,
1992,West,,,,,,,,,,,,
1992,East,,,,,,,,,,,,
1993,West,,,,,,,,,,,,
1993,East,,,,,,,,,,,,
1994,West,,,,,,,,,,,,
1994,East,,,,,,,,,,,,
1995,West,,,,,,,,,,,,
1995,East,,,,,,,,,,,,
1996,West,,,,,,,,,,,,
1996,East,,,,,,,,,,,,
1997,West,,,,,,,,,,,,
1997,East,,,,,,,,,,,,
1998,West,,,,,,,,,,,,
1998,East,,,,,,,,,,,,
1999,West,,,,,,,,,,,,
1999,East,,,,,,,,,,,,
2000,West,,,,,,,,,,,,
2000,East,,,,,,,,,,,,
2001,West,,,,,,,,,,,,
2001,East,,,,,,,,,,,,
2002,West,,,,,,,,,,,,
2002,East,,,,,,,,,,,,
2003,West,,,,,,,,,,,,
2003,East,,,,,,,,,,,,
2004,West,,,,,,,,,,,,
2004,East,,,,,,,,,,,,
2005,West,,,,,,,,,,,,
2005,East,,,,,,,,,,,,
2006,West,,,,,,,,,,,,
2006,East,,,,,,,,,,,,
2007,West,,,,,,,,,,,,
2007,East,,,,,,,,,,,,
2008,West,,,,,,,,,,,,
2008,East,,,,,,,,,,,,
2009,West,,,,,,,,,,,,
2009,East,,,,,,,,,,,,
2010,West,5275,54.61546,53.23944,55.83666,35.00000,50.00000,70.00000,8.00000,122.50000,50.00000,50.00000,52.00000
2010,East,1803,42.36305,40.75865,43.77219,27.00000,39.30814,50.00000,1.00000,84.50000,39.00000,38.00000,42.00000
2011,West,6238,57.63322,56.52740,58.74791,37.00000,50.00000,70.00000,1.00000,119.50000,50.00000,50.00000,50.00000
2011,East,2194,43.30068,42.12132,44.39859,30.00000,40.00000,52.00000,1.00000,85.00000,40.00000,40.00000,42.00000
2012,West,6062,58.21224,56.97957,59.36011,36.00000,50.00000,71.00000,4.00000,123.50000,50.00000,50.00000,50.00000
2012,East,2205,45.33499,44.15832,46.59963,30.00000,40.00000,55.00000,5.00000,92.50000,40.00000,39.00000,40.00000
2013,West,7515,60.45107,59.32017,61.35069,40.00000,52.00000,75.00000,0.00000,127.50000,52.00000,49.97500,54.00000
2013,East,2216,46.91820,45.75069,48.15614,30.00000,40.00000,57.00000,9.00000,97.50000,40.00000,37.00000,40.00000
2014,West,6238,62.80808,61.73138,64.01934,40.00000,55.00000,80.00000,0.00000,140.00000,55.00000,50.97500,55.00000
2014,East,2085,50.49030,48.92167,52.00447,32.00000,45.00000,60.00000,5.00000,102.00000,45.00000,43.00000,47.00000
2015,West,6828,59.54510,58.35563,60.54772,37.00000,50.00000,75.00000,0.00000,132.00000,50.00000,47.97500,50.00000
2015,East,2047,48.52364,46.91349,50.04750,30.00000,42.00000,60.00000,0.00000,105.00000,42.00000,39.00000,44.00000
2016,West,5838,63.31160,61.98712,64.43363,40.00000,55.00000,80.00000,3.00000,140.00000,55.00000,52.00000,56.00000
2016,East,1880,48.18824,46.71321,49.73334,32.00000,43.76630,60.00000,5.00000,102.00000,43.00000,41.00000,46.00000
2017,West,6218,62.66926,61.58197,63.99985,40.00000,55.00000,78.00000,5.00000,135.00000,55.00000,54.00000,57.00000
2017,East,2054,49.15609,47.34180,50.53469,30.00000,41.29417,60.00000,5.00000,105.00000,41.00000,39.00000,42.00000
2018,West,6269,62.00856,60.66281,63.01617,40.00000,54.00000,77.00000,6.00000,132.50000,54.00000,52.00000,57.00000
2018,East,2129,50.09165,48.62473,51.47628,32.00000,44.97972,60.00000,5.00000,102.00000,45.00000,44.00000,48.00000
2019,West,5931,62.15200,60.97697,63.36695,40.00000,55.00000,75.00000,1.00000,127.50000,55.00000,53.97500,58.02500
2019,East,1988,50.48758,48.60305,52.21641,33.00000,45.00000,60.00000,3.00000,100.50000,45.00000,44.97500,48.00000
2020,West,9304,65.11028,63.60136,66.50174,40.00000,57.00000,80.00000,5.00000,140.00000,57.00000,54.00000,59.00000
2020,East,2385,50.60878,48.94567,52.04666,33.00000,45.00000,60.00000,10.00000,100.50000,45.00000,44.00000,48.00000
2021,West,5608,66.08176,64.59646,67.40345,41.00000,60.00000,80.00000,5.00000,138.50000,60.00000,60.00000,62.00000
2021,East,1602,51.69338,49.93439,53.68316,35.00000,48.00000,60.00000,7.00000,97.50000,48.00000,46.00000,51.00000
