year,quintil_oecd_hh,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1984,Not included in this version of the questionnaire,,,,,,,,,,,,
1984,1st Quintile,,,,,,,,,,,,
1984,2nd Quintile,,,,,,,,,,,,
1984,3rd Quintile,,,,,,,,,,,,
1984,4th Quintile,,,,,,,,,,,,
1984,5th Quintile,,,,,,,,,,,,
1985,Not included in this version of the questionnaire,,,,,,,,,,,,
1985,1st Quintile,,,,,,,,,,,,
1985,2nd Quintile,,,,,,,,,,,,
1985,3rd Quintile,,,,,,,,,,,,
1985,4th Quintile,,,,,,,,,,,,
1985,5th Quintile,,,,,,,,,,,,
1986,Not included in this version of the questionnaire,,,,,,,,,,,,
1986,1st Quintile,,,,,,,,,,,,
1986,2nd Quintile,,,,,,,,,,,,
1986,3rd Quintile,,,,,,,,,,,,
1986,4th Quintile,,,,,,,,,,,,
1986,5th Quintile,,,,,,,,,,,,
1987,Not included in this version of the questionnaire,,,,,,,,,,,,
1987,1st Quintile,,,,,,,,,,,,
1987,2nd Quintile,,,,,,,,,,,,
1987,3rd Quintile,,,,,,,,,,,,
1987,4th Quintile,,,,,,,,,,,,
1987,5th Quintile,,,,,,,,,,,,
1988,Not included in this version of the questionnaire,,,,,,,,,,,,
1988,1st Quintile,,,,,,,,,,,,
1988,2nd Quintile,,,,,,,,,,,,
1988,3rd Quintile,,,,,,,,,,,,
1988,4th Quintile,,,,,,,,,,,,
1988,5th Quintile,,,,,,,,,,,,
1989,Not included in this version of the questionnaire,,,,,,,,,,,,
1989,1st Quintile,,,,,,,,,,,,
1989,2nd Quintile,,,,,,,,,,,,
1989,3rd Quintile,,,,,,,,,,,,
1989,4th Quintile,,,,,,,,,,,,
1989,5th Quintile,,,,,,,,,,,,
1990,Not included in this version of the questionnaire,,,,,,,,,,,,
1990,1st Quintile,,,,,,,,,,,,
1990,2nd Quintile,,,,,,,,,,,,
1990,3rd Quintile,,,,,,,,,,,,
1990,4th Quintile,,,,,,,,,,,,
1990,5th Quintile,,,,,,,,,,,,
1991,1st Quintile,,,,,,,,,,,,
1991,2nd Quintile,,,,,,,,,,,,
1991,3rd Quintile,,,,,,,,,,,,
1991,4th Quintile,,,,,,,,,,,,
1991,5th Quintile,,,,,,,,,,,,
1992,Not included in this version of the questionnaire,,,,,,,,,,,,
1992,1st Quintile,,,,,,,,,,,,
1992,2nd Quintile,,,,,,,,,,,,
1992,3rd Quintile,,,,,,,,,,,,
1992,4th Quintile,,,,,,,,,,,,
1992,5th Quintile,,,,,,,,,,,,
1993,Not included in this version of the questionnaire,,,,,,,,,,,,
1993,1st Quintile,,,,,,,,,,,,
1993,2nd Quintile,,,,,,,,,,,,
1993,3rd Quintile,,,,,,,,,,,,
1993,4th Quintile,,,,,,,,,,,,
1993,5th Quintile,,,,,,,,,,,,
1994,Not included in this version of the questionnaire,,,,,,,,,,,,
1994,1st Quintile,,,,,,,,,,,,
1994,2nd Quintile,,,,,,,,,,,,
1994,3rd Quintile,,,,,,,,,,,,
1994,4th Quintile,,,,,,,,,,,,
1994,5th Quintile,,,,,,,,,,,,
1995,Not included in this version of the questionnaire,,,,,,,,,,,,
1995,1st Quintile,,,,,,,,,,,,
1995,2nd Quintile,,,,,,,,,,,,
1995,3rd Quintile,,,,,,,,,,,,
1995,4th Quintile,,,,,,,,,,,,
1995,5th Quintile,,,,,,,,,,,,
1996,Not included in this version of the questionnaire,,,,,,,,,,,,
1996,1st Quintile,,,,,,,,,,,,
1996,2nd Quintile,,,,,,,,,,,,
1996,3rd Quintile,,,,,,,,,,,,
1996,4th Quintile,,,,,,,,,,,,
1996,5th Quintile,,,,,,,,,,,,
1997,Not included in this version of the questionnaire,,,,,,,,,,,,
1997,1st Quintile,,,,,,,,,,,,
1997,2nd Quintile,,,,,,,,,,,,
1997,3rd Quintile,,,,,,,,,,,,
1997,4th Quintile,,,,,,,,,,,,
1997,5th Quintile,,,,,,,,,,,,
1998,Not included in this version of the questionnaire,,,,,,,,,,,,
1998,1st Quintile,,,,,,,,,,,,
1998,2nd Quintile,,,,,,,,,,,,
1998,3rd Quintile,,,,,,,,,,,,
1998,4th Quintile,,,,,,,,,,,,
1998,5th Quintile,,,,,,,,,,,,
1999,1st Quintile,,,,,,,,,,,,
1999,2nd Quintile,,,,,,,,,,,,
1999,3rd Quintile,,,,,,,,,,,,
1999,4th Quintile,,,,,,,,,,,,
1999,5th Quintile,,,,,,,,,,,,
2000,Not included in this version of the questionnaire,,,,,,,,,,,,
2000,1st Quintile,,,,,,,,,,,,
2000,2nd Quintile,,,,,,,,,,,,
2000,3rd Quintile,,,,,,,,,,,,
2000,4th Quintile,,,,,,,,,,,,
2000,5th Quintile,,,,,,,,,,,,
2001,Not included in this version of the questionnaire,,,,,,,,,,,,
2001,1st Quintile,,,,,,,,,,,,
2001,2nd Quintile,,,,,,,,,,,,
2001,3rd Quintile,,,,,,,,,,,,
2001,4th Quintile,,,,,,,,,,,,
2001,5th Quintile,,,,,,,,,,,,
2002,Not included in this version of the questionnaire,,,,,,,,,,,,
2002,1st Quintile,,,,,,,,,,,,
2002,2nd Quintile,,,,,,,,,,,,
2002,3rd Quintile,,,,,,,,,,,,
2002,4th Quintile,,,,,,,,,,,,
2002,5th Quintile,,,,,,,,,,,,
2003,Not included in this version of the questionnaire,,,,,,,,,,,,
2003,1st Quintile,,,,,,,,,,,,
2003,2nd Quintile,,,,,,,,,,,,
2003,3rd Quintile,,,,,,,,,,,,
2003,4th Quintile,,,,,,,,,,,,
2003,5th Quintile,,,,,,,,,,,,
2004,Not included in this version of the questionnaire,,,,,,,,,,,,
2004,1st Quintile,,,,,,,,,,,,
2004,2nd Quintile,,,,,,,,,,,,
2004,3rd Quintile,,,,,,,,,,,,
2004,4th Quintile,,,,,,,,,,,,
2004,5th Quintile,,,,,,,,,,,,
2005,Not included in this version of the questionnaire,,,,,,,,,,,,
2005,1st Quintile,,,,,,,,,,,,
2005,2nd Quintile,,,,,,,,,,,,
2005,3rd Quintile,,,,,,,,,,,,
2005,4th Quintile,,,,,,,,,,,,
2005,5th Quintile,,,,,,,,,,,,
2006,Not included in this version of the questionnaire,,,,,,,,,,,,
2006,1st Quintile,,,,,,,,,,,,
2006,2nd Quintile,,,,,,,,,,,,
2006,3rd Quintile,,,,,,,,,,,,
2006,4th Quintile,,,,,,,,,,,,
2006,5th Quintile,,,,,,,,,,,,
2007,Not included in this version of the questionnaire,,,,,,,,,,,,
2007,1st Quintile,,,,,,,,,,,,
2007,2nd Quintile,,,,,,,,,,,,
2007,3rd Quintile,,,,,,,,,,,,
2007,4th Quintile,,,,,,,,,,,,
2007,5th Quintile,,,,,,,,,,,,
2008,Not included in this version of the questionnaire,,,,,,,,,,,,
2008,1st Quintile,,,,,,,,,,,,
2008,2nd Quintile,,,,,,,,,,,,
2008,3rd Quintile,,,,,,,,,,,,
2008,4th Quintile,,,,,,,,,,,,
2008,5th Quintile,,,,,,,,,,,,
2009,Not included in this version of the questionnaire,,,,,,,,,,,,
2009,1st Quintile,,,,,,,,,,,,
2009,2nd Quintile,,,,,,,,,,,,
2009,3rd Quintile,,,,,,,,,,,,
2009,4th Quintile,,,,,,,,,,,,
2009,5th Quintile,,,,,,,,,,,,
2010,Not included in this version of the questionnaire,,,,,,,,,,,,
2010,1st Quintile,2633,50.62400,49.48387,51.76413,30.00000,45.00000,60.00000,1.00000,105.00000,,,
2010,2nd Quintile,1705,51.26179,49.94339,52.58018,32.00000,45.00000,61.00000,10.00000,104.50000,,,
2010,3rd Quintile,1127,52.64093,51.12340,54.15846,34.00000,50.00000,65.00000,6.00000,111.50000,,,
2010,4th Quintile,890,52.95899,51.05899,54.85898,31.00000,47.00000,65.00000,10.00000,116.00000,,,
2010,5th Quintile,719,54.31109,51.98822,56.63395,33.00000,50.00000,70.00000,8.00000,125.50000,,,
2011,Not included in this version of the questionnaire,,,,,,,,,,,,
2011,1st Quintile,3055,52.02627,50.98105,53.07149,32.00000,45.00000,63.00000,1.00000,109.50000,,,
2011,2nd Quintile,1997,55.26675,54.01447,56.51902,35.00000,50.00000,70.00000,7.00000,122.50000,,,
2011,3rd Quintile,1453,55.21053,53.60208,56.81897,35.00000,50.00000,66.00000,10.00000,112.50000,,,
2011,4th Quintile,1107,57.48297,55.21788,59.74806,36.00000,50.00000,70.00000,8.00000,121.00000,,,
2011,5th Quintile,820,55.32265,53.21472,57.43059,35.00000,50.00000,70.00000,10.00000,122.50000,,,
2012,Not included in this version of the questionnaire,,,,,,,,,,,,
2012,1st Quintile,3012,52.94111,51.85967,54.02256,31.00000,46.00000,65.00000,4.00000,116.00000,,,
2012,2nd Quintile,1993,56.70934,55.41212,58.00656,36.00000,50.00000,70.00000,5.00000,121.00000,,,
2012,3rd Quintile,1439,57.14738,55.32975,58.96501,35.00000,50.00000,70.00000,10.00000,122.50000,,,
2012,4th Quintile,1031,55.74284,53.90172,57.58397,35.00000,50.00000,70.00000,10.00000,122.50000,,,
2012,5th Quintile,789,56.29802,54.27613,58.31990,36.00000,50.00000,70.00000,15.00000,121.00000,,,
2013,Not included in this version of the questionnaire,,,,,,,,,,,,
2013,1st Quintile,3597,56.54576,55.51992,57.57160,35.00000,50.00000,70.00000,9.00000,122.50000,,,
2013,2nd Quintile,2477,57.89307,56.60197,59.18417,36.00000,50.00000,70.00000,0.00000,121.00000,,,
2013,3rd Quintile,1579,57.96551,56.51855,59.41247,37.72238,50.00000,70.00000,6.00000,118.41643,,,
2013,4th Quintile,1194,59.08521,57.15248,61.01794,38.00000,50.00000,70.00000,10.00000,118.00000,,,
2013,5th Quintile,877,58.12235,56.17913,60.06558,37.00000,50.00000,70.00000,10.00000,119.50000,,,
2014,Not included in this version of the questionnaire,,,,,,,,,,,,
2014,1st Quintile,2788,58.36720,57.13460,59.59980,36.00000,50.00000,70.00000,9.00000,121.00000,,,
2014,2nd Quintile,2106,60.09483,58.75766,61.43201,39.00000,50.59246,75.00000,4.00000,129.00000,,,
2014,3rd Quintile,1467,62.08572,60.51491,63.65652,40.00000,57.00000,75.00000,0.00000,127.50000,,,
2014,4th Quintile,1135,59.54834,57.77600,61.32068,40.00000,50.00000,72.00000,5.00000,120.00000,,,
2014,5th Quintile,824,60.39403,58.04969,62.73837,40.00000,50.00000,76.00000,9.00000,130.00000,,,
2015,Not included in this version of the questionnaire,,,,,,,,,,,,
2015,1st Quintile,3019,55.11493,53.93565,56.29421,32.00000,49.00000,70.00000,0.00000,127.00000,,,
2015,2nd Quintile,2258,58.40004,56.98867,59.81142,37.00000,50.00000,72.00000,3.00000,124.50000,,,
2015,3rd Quintile,1552,59.02372,57.41877,60.62868,38.00000,50.00000,71.00000,0.00000,120.50000,,,
2015,4th Quintile,1164,57.95855,56.20419,59.71292,35.00000,50.00000,74.00000,0.00000,132.50000,,,
2015,5th Quintile,877,59.31365,57.09119,61.53612,35.00000,50.00000,75.00000,5.00000,135.00000,,,
2016,Not included in this version of the questionnaire,,,,,,,,,,,,
2016,1st Quintile,2606,58.08524,56.70740,59.46308,35.00000,50.00000,70.00000,3.00000,122.50000,,,
2016,2nd Quintile,1947,60.80165,59.29773,62.30558,40.00000,50.00000,75.00000,10.00000,127.50000,,,
2016,3rd Quintile,1349,61.68069,59.91147,63.44990,40.00000,54.00000,75.00000,5.00000,127.50000,,,
2016,4th Quintile,1072,59.81133,57.96462,61.65803,40.00000,51.00000,72.00000,12.00000,120.00000,,,
2016,5th Quintile,740,61.51847,59.02811,64.00883,40.00000,54.00000,80.00000,5.00000,140.00000,,,
2017,Not included in this version of the questionnaire,,,,,,,,,,,,
2017,1st Quintile,2709,58.30992,57.06260,59.55724,35.00000,50.00000,70.00000,8.00000,122.50000,,,
2017,2nd Quintile,2062,60.10853,58.55722,61.65984,40.00000,50.00000,73.00000,10.00000,122.50000,,,
2017,3rd Quintile,1497,61.11831,59.63120,62.60542,40.00000,55.00000,75.00000,14.00000,127.50000,,,
2017,4th Quintile,1189,59.77633,57.80286,61.74979,35.00000,50.00000,70.00000,14.00000,122.50000,,,
2017,5th Quintile,812,60.70146,58.60447,62.79845,40.00000,54.00000,80.00000,5.00000,140.00000,,,
2018,Not included in this version of the questionnaire,,,,,,,,,,,,
2018,1st Quintile,2823,57.27044,56.04261,58.49827,35.00000,50.00000,70.00000,5.00000,122.50000,,,
2018,2nd Quintile,2152,61.10498,59.79918,62.41077,40.00000,54.00000,75.00000,9.00000,127.50000,,,
2018,3rd Quintile,1482,60.48567,58.94486,62.02649,40.00000,53.00000,75.00000,11.00000,127.50000,,,
2018,4th Quintile,1131,59.55916,57.73200,61.38632,40.00000,53.00000,75.00000,10.00000,127.50000,,,
2018,5th Quintile,807,60.36759,58.17682,62.55837,40.00000,50.00000,73.29739,10.00000,123.24347,,,
2019,Not included in this version of the questionnaire,,,,,,,,,,,,
2019,1st Quintile,2471,56.52417,55.24098,57.80737,35.00000,50.00000,70.00000,3.00000,122.50000,,,
2019,2nd Quintile,1940,61.94934,60.57807,63.32062,40.00000,54.00000,75.00000,10.00000,127.50000,,,
2019,3rd Quintile,1406,60.65486,59.04288,62.26684,40.00000,52.00000,75.00000,1.00000,127.50000,,,
2019,4th Quintile,1109,60.74958,58.87657,62.62259,40.00000,55.00000,75.00000,14.00000,127.50000,,,
2019,5th Quintile,1036,60.26451,58.30586,62.22315,40.00000,51.00000,76.00000,10.00000,130.00000,,,
2020,Not included in this version of the questionnaire,168,49.91139,46.20264,53.62013,35.00000,40.00000,58.42805,20.00000,93.57011,,,
2020,1st Quintile,5410,60.81087,59.86367,61.75806,38.00000,50.00000,75.00000,5.00000,130.50000,,,
2020,2nd Quintile,2416,64.80560,63.18134,66.42987,40.00000,55.00000,80.00000,10.00000,140.00000,,,
2020,3rd Quintile,1546,61.14693,59.58042,62.71344,40.00000,52.00000,74.00000,10.00000,125.00000,,,
2020,4th Quintile,1200,61.83416,60.06014,63.60818,40.00000,53.00000,80.00000,10.00000,140.00000,,,
2020,5th Quintile,949,62.20554,59.97798,64.43310,40.00000,54.00000,75.00000,12.00000,127.50000,,,
2021,Not included in this version of the questionnaire,34,53.94700,48.51844,59.37556,40.00000,59.49485,65.48316,20.00000,92.00000,,,
2021,1st Quintile,2852,61.44561,60.13909,62.75213,40.00000,50.00000,78.00000,5.00000,135.00000,,,
2021,2nd Quintile,1632,64.12972,62.52340,65.73605,40.00000,58.00000,80.00000,8.00000,140.00000,,,
2021,3rd Quintile,1117,64.53235,62.33297,66.73173,40.02372,58.76676,80.00000,9.00000,139.96443,,,
2021,4th Quintile,861,63.40251,61.27919,65.52584,42.00000,55.00000,75.00000,10.00000,124.50000,,,
2021,5th Quintile,714,63.74125,60.97543,66.50708,40.00000,56.00000,80.00000,10.00000,140.00000,,,
