year,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,n
1984,,,,,,,,,
1985,,,,,,,,,
1986,,,,,,,,,
1987,,,,,,,,,
1988,,,,,,,,,
1989,,,,,,,,,
1990,,,,,,,,,
1991,,,,,,,,,
1992,,,,,,,,,
1993,,,,,,,,,
1994,,,,,,,,,
1995,,,,,,,,,
1996,,,,,,,,,
1997,,,,,,,,,
1998,,,,,,,,,
1999,,,,,,,,,
2000,,,,,,,,,
2001,,,,,,,,,
2002,,,,,,,,,
2003,,,,,,,,,
2004,,,,,,,,,
2005,,,,,,,,,
2006,,,,,,,,,
2007,,,,,,,,,
2008,,,,,,,,,
2009,,,,,,,,,
2010,51.93925,51.26819,52.61032,31.00000,46.00000,64.00000,1.00000,113.50000,7078.00000
2011,54.57657,53.90763,55.24550,35.00000,50.00000,69.00000,1.00000,120.00000,8432.00000
2012,55.39278,54.72546,56.06009,35.00000,50.00000,70.00000,4.00000,122.50000,8267.00000
2013,57.67004,57.04283,58.29725,36.00000,50.00000,70.00000,0.00000,121.00000,9731.00000
2014,59.88293,59.19503,60.57082,40.00000,50.00000,75.00000,0.00000,127.50000,8323.00000
2015,57.52084,56.83646,58.20522,35.00000,50.00000,70.00000,0.00000,122.50000,8875.00000
2016,60.02131,59.26290,60.77973,38.00000,50.00000,74.00000,3.00000,128.00000,7718.00000
2017,59.73458,59.01950,60.44967,38.00000,50.00000,72.00000,5.00000,123.00000,8272.00000
2018,59.46105,58.78240,60.13970,40.00000,50.00000,73.00000,5.00000,122.50000,8398.00000
2019,59.63576,58.93931,60.33220,40.00000,50.00000,72.00000,1.00000,120.00000,7966.00000
2020,62.09671,61.45326,62.74016,40.00000,52.00000,75.00000,5.00000,127.50000,11689.00000
2021,63.20619,62.39789,64.01449,40.00000,55.00000,80.00000,5.00000,140.00000,7210.00000
2022,71.73339,70.93283,72.53395,45.00000,60.00000,86.00000,1.00000,147.50000,11696.00000
