year,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,n
1984,3.39445,3.34033,3.44857,2.00000,3.00000,4.00000,1.00000,7.00000,8070.00000
1985,2.51582,2.46599,2.56564,1.00000,2.00000,4.00000,0.00000,8.50000,10858.00000
1986,2.40637,2.35710,2.45565,0.00000,2.00000,3.00000,0.00000,7.50000,10479.00000
1987,2.46550,2.41567,2.51534,1.00000,2.00000,3.00000,0.00000,6.00000,10364.00000
1988,2.40423,2.35437,2.45410,1.00000,2.00000,3.00000,0.00000,6.00000,9904.00000
1989,2.39487,2.34343,2.44631,0.00000,2.00000,3.00000,0.00000,7.50000,9590.00000
1990,2.49748,2.41555,2.57941,0.00000,2.00000,4.00000,0.00000,10.00000,4323.00000
1991,,,,,,,,,
1992,3.26017,3.20802,3.31232,1.00000,3.00000,5.00000,0.00000,11.00000,12775.00000
1993,3.29916,3.24526,3.35306,1.00000,3.00000,5.00000,0.00000,11.00000,12575.00000
1994,,,,,,,,,
1995,3.35742,3.30500,3.40984,1.00000,3.00000,5.00000,0.00000,11.00000,12768.00000
1996,,,,,,,,,
1997,3.61588,3.55972,3.67204,1.00000,3.00000,5.00000,0.00000,11.00000,11945.00000
1998,,,,,,,,,
1999,3.42206,3.36958,3.47455,1.00000,3.00000,5.00000,0.00000,11.00000,13312.00000
2000,,,,,,,,,
2001,3.82665,3.78299,3.87030,1.00000,3.00000,5.00000,0.00000,11.00000,21511.00000
2002,,,,,,,,,
2003,3.80330,3.75947,3.84713,1.00000,3.00000,5.00000,0.00000,11.00000,22152.00000
2004,,,,,,,,,
2005,3.70809,3.66411,3.75207,1.00000,3.00000,5.00000,0.00000,11.00000,20689.00000
2006,,,,,,,,,
2007,3.66117,3.61653,3.70581,1.00000,3.00000,5.00000,0.00000,11.00000,20488.00000
2008,,,,,,,,,
2009,3.51675,3.46936,3.56415,1.00000,3.00000,5.00000,0.00000,11.00000,17993.00000
2010,,,,,,,,,
2011,3.20184,3.16591,3.23777,1.00000,2.00000,5.00000,0.00000,11.00000,28350.00000
2012,2.45623,2.39618,2.51628,1.00000,2.00000,3.00000,0.00000,6.00000,7145.00000
2013,2.63130,2.59728,2.66531,1.00000,2.00000,4.00000,0.00000,8.50000,25670.00000
2014,,,,,,,,,
2015,2.66443,2.62926,2.69960,1.00000,2.00000,4.00000,0.00000,8.50000,25031.00000
2016,,,,,,,,,
2017,2.61745,2.58465,2.65025,1.00000,2.00000,4.00000,0.00000,8.50000,26395.00000
2018,,,,,,,,,
2019,2.60148,2.56838,2.63458,1.00000,2.00000,4.00000,0.00000,8.50000,25715.00000
2020,,,,,,,,,
2021,1.86789,1.83516,1.90063,0.00000,1.00000,3.00000,0.00000,7.50000,18664.00000
2022,,,,,,,,,
