year,age_gr,regtyp,pli0095_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,17-29 y.,Urban regions,At least once per week,0.11477,323,2459,0.10217,0.12737
1985,17-29 y.,Urban regions,At least once per month,0.31049,765,2459,0.29220,0.32879
1985,17-29 y.,Urban regions,Seldom,0.46731,1101,2459,0.44759,0.48704
1985,17-29 y.,Urban regions,Never,0.09869,270,2459,0.08690,0.11048
1985,17-29 y.,Rural regions,At least once per week,0.07842,67,646,0.05768,0.09917
1985,17-29 y.,Rural regions,At least once per month,0.28580,194,646,0.25093,0.32067
1985,17-29 y.,Rural regions,Seldom,0.50329,311,646,0.46470,0.54188
1985,17-29 y.,Rural regions,Never,0.12217,74,646,0.09690,0.14745
1985,30-45 y.,Urban regions,At least once per week,0.09208,310,2732,0.08124,0.10293
1985,30-45 y.,Urban regions,At least once per month,0.29381,799,2732,0.27673,0.31089
1985,30-45 y.,Urban regions,Seldom,0.48870,1261,2732,0.46995,0.50745
1985,30-45 y.,Urban regions,Never,0.11860,362,2732,0.10647,0.13072
1985,30-45 y.,Rural regions,At least once per week,0.09582,78,717,0.07426,0.11739
1985,30-45 y.,Rural regions,At least once per month,0.26263,201,717,0.23040,0.29487
1985,30-45 y.,Rural regions,Seldom,0.52449,359,717,0.48791,0.56107
1985,30-45 y.,Rural regions,Never,0.10653,79,717,0.08393,0.12912
1985,46-65 y.,Urban regions,At least once per week,0.10288,309,2570,0.09113,0.11462
1985,46-65 y.,Urban regions,At least once per month,0.21058,582,2570,0.19481,0.22635
1985,46-65 y.,Urban regions,Seldom,0.47396,1166,2570,0.45465,0.49327
1985,46-65 y.,Urban regions,Never,0.19783,513,2570,0.18242,0.21323
1985,46-65 y.,Rural regions,At least once per week,0.09430,67,691,0.07249,0.11610
1985,46-65 y.,Rural regions,At least once per month,0.21766,158,691,0.18687,0.24845
1985,46-65 y.,Rural regions,Seldom,0.47961,330,691,0.44233,0.51689
1985,46-65 y.,Rural regions,Never,0.19604,136,691,0.16642,0.22566
