year,hhtyp,regtyp,hgeqpsol,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2007,Single-person household,Urban regions,No,0.95791,2043,2043,0.94920,0.96662
2007,Single-person household,Rural regions,No,0.93921,934,934,0.92388,0.95454
2007,Couple without children,Urban regions,Yes,0.03269,98,2503,0.02572,0.03965
2007,Couple without children,Urban regions,No,0.92596,2405,2503,0.91570,0.93622
2007,Couple without children,Rural regions,Yes,0.04675,78,1257,0.03508,0.05843
2007,Couple without children,Rural regions,No,0.89115,1179,1257,0.87393,0.90838
2007,Single parent,Urban regions,No,0.92712,433,433,0.90261,0.95163
2007,Single parent,Rural regions,No,0.97027,244,244,0.94891,0.99162
2007,Couple with children,Urban regions,Yes,0.05699,162,2254,0.04742,0.06657
2007,Couple with children,Urban regions,No,0.88701,2092,2254,0.87394,0.90008
2007,Couple with children,Rural regions,Yes,0.09475,118,1185,0.07807,0.11143
2007,Couple with children,Rural regions,No,0.84504,1067,1185,0.82443,0.86565
2007,Multi-generational household,Urban regions,No,0.95547,51,51,0.89830,1.01265
2007,Multi-generational household,Rural regions,No,0.91291,33,33,0.81521,1.01061
2007,Other Combinations,Urban regions,No,0.79851,51,51,0.68733,0.90969
2007,Other Combinations,Rural regions,No,0.89550,32,32,0.78782,1.00319
2008,Single-person household,Urban regions,Yes,0.01417,33,2033,0.00903,0.01931
2008,Single-person household,Urban regions,No,0.97335,2000,2033,0.96635,0.98036
2008,Single-person household,Rural regions,No,0.96492,900,900,0.95289,0.97694
2008,Couple without children,Urban regions,Yes,0.04677,120,2446,0.03840,0.05513
2008,Couple without children,Urban regions,No,0.93974,2326,2446,0.93030,0.94917
2008,Couple without children,Rural regions,Yes,0.05603,84,1252,0.04328,0.06877
2008,Couple without children,Rural regions,No,0.92618,1168,1252,0.91169,0.94067
2008,Single parent,Urban regions,No,0.95289,414,414,0.93245,0.97332
2008,Single parent,Rural regions,No,0.96877,241,241,0.94677,0.99078
2008,Couple with children,Urban regions,Yes,0.06975,176,2108,0.05888,0.08063
2008,Couple with children,Urban regions,No,0.90285,1932,2108,0.89021,0.91550
2008,Couple with children,Rural regions,Yes,0.09700,112,1110,0.07958,0.11442
2008,Couple with children,Rural regions,No,0.87683,998,1110,0.85749,0.89617
2008,Multi-generational household,Urban regions,No,0.97607,40,40,0.92810,1.02404
2008,Multi-generational household,Rural regions,No,0.88748,32,32,0.77624,0.99872
2008,Other Combinations,Urban regions,No,0.76047,41,41,0.62821,0.89274
2009,Single-person household,Urban regions,Yes,0.01178,34,1955,0.00700,0.01657
2009,Single-person household,Urban regions,No,0.98317,1921,1955,0.97747,0.98888
2009,Single-person household,Rural regions,No,0.95965,853,853,0.94644,0.97286
2009,Couple without children,Urban regions,Yes,0.05533,138,2305,0.04599,0.06466
2009,Couple without children,Urban regions,No,0.93411,2167,2305,0.92398,0.94424
2009,Couple without children,Rural regions,Yes,0.07707,101,1228,0.06215,0.09200
2009,Couple without children,Rural regions,No,0.91235,1127,1228,0.89653,0.92817
2009,Single parent,Urban regions,No,0.96372,384,384,0.94499,0.98245
2009,Single parent,Rural regions,No,0.95568,228,228,0.92891,0.98245
2009,Couple with children,Urban regions,Yes,0.08427,184,1933,0.07188,0.09666
2009,Couple with children,Urban regions,No,0.90669,1749,1933,0.89372,0.91966
2009,Couple with children,Rural regions,Yes,0.10259,123,1060,0.08432,0.12087
2009,Couple with children,Rural regions,No,0.88759,937,1060,0.86857,0.90662
2009,Multi-generational household,Urban regions,No,0.96130,32,32,0.89341,1.02920
2009,Other Combinations,Urban regions,No,0.89056,41,41,0.79381,0.98731
2010,Single-person household,Urban regions,Yes,0.01725,44,1843,0.01130,0.02319
2010,Single-person household,Urban regions,No,0.97524,1799,1843,0.96814,0.98233
2010,Single-person household,Rural regions,No,0.95959,810,810,0.94602,0.97316
2010,Couple without children,Urban regions,Yes,0.06449,148,2207,0.05424,0.07474
2010,Couple without children,Urban regions,No,0.92551,2059,2207,0.91456,0.93647
2010,Couple without children,Rural regions,Yes,0.08150,109,1151,0.06569,0.09732
2010,Couple without children,Rural regions,No,0.91091,1042,1151,0.89445,0.92738
2010,Single parent,Urban regions,No,0.97324,1172,1172,0.96400,0.98249
2010,Single parent,Rural regions,No,0.95317,618,618,0.93650,0.96984
2010,Couple with children,Urban regions,Yes,0.09573,348,3706,0.08625,0.10520
2010,Couple with children,Urban regions,No,0.90049,3358,3706,0.89085,0.91013
2010,Couple with children,Rural regions,Yes,0.12887,283,1994,0.11416,0.14358
2010,Couple with children,Rural regions,No,0.86914,1711,1994,0.85434,0.88395
2010,Multi-generational household,Urban regions,No,0.96033,51,51,0.90622,1.01443
2010,Multi-generational household,Rural regions,No,0.94922,44,44,0.88360,1.01484
2010,Other Combinations,Urban regions,No,0.99413,39,39,0.96983,1.01842
2011,Single-person household,Urban regions,Yes,0.02368,71,2400,0.01759,0.02976
2011,Single-person household,Urban regions,No,0.97448,2329,2400,0.96817,0.98079
2011,Single-person household,Rural regions,Yes,0.04833,57,1126,0.03580,0.06087
2011,Single-person household,Rural regions,No,0.94747,1069,1126,0.93444,0.96051
2011,Couple without children,Urban regions,Yes,0.06820,200,2766,0.05880,0.07760
2011,Couple without children,Urban regions,No,0.92952,2566,2766,0.91997,0.93906
2011,Couple without children,Rural regions,Yes,0.09516,175,1597,0.08076,0.10955
2011,Couple without children,Rural regions,No,0.89961,1422,1597,0.88487,0.91435
2011,Single parent,Urban regions,Yes,0.02791,47,1500,0.01958,0.03625
2011,Single parent,Urban regions,No,0.97117,1453,1500,0.96270,0.97964
2011,Single parent,Rural regions,Yes,0.06281,43,804,0.04602,0.07959
2011,Single parent,Rural regions,No,0.93719,761,804,0.92041,0.95398
2011,Couple with children,Urban regions,Yes,0.11512,465,3945,0.10516,0.12508
2011,Couple with children,Urban regions,No,0.88302,3480,3945,0.87299,0.89306
2011,Couple with children,Rural regions,Yes,0.14450,350,2214,0.12985,0.15915
2011,Couple with children,Rural regions,No,0.85361,1864,2214,0.83889,0.86834
2011,Multi-generational household,Urban regions,No,0.98624,60,60,0.95652,1.01597
2011,Multi-generational household,Rural regions,No,0.89371,53,53,0.80993,0.97748
2011,Other Combinations,Urban regions,No,0.93673,58,58,0.87353,0.99993
2011,Other Combinations,Rural regions,No,0.90899,34,34,0.81086,1.00713
2012,Single-person household,Urban regions,Yes,0.02323,69,2463,0.01728,0.02918
2012,Single-person household,Urban regions,No,0.97367,2394,2463,0.96734,0.97999
2012,Single-person household,Rural regions,Yes,0.04695,58,1214,0.03504,0.05885
2012,Single-person household,Rural regions,No,0.95177,1156,1214,0.93971,0.96382
2012,Couple without children,Urban regions,Yes,0.07386,233,2771,0.06412,0.08360
2012,Couple without children,Urban regions,No,0.92362,2538,2771,0.91373,0.93351
2012,Couple without children,Rural regions,Yes,0.11200,196,1674,0.09689,0.12711
2012,Couple without children,Rural regions,No,0.88489,1478,1674,0.86960,0.90018
2012,Single parent,Urban regions,Yes,0.03215,52,1400,0.02291,0.04139
2012,Single parent,Urban regions,No,0.96785,1348,1400,0.95861,0.97709
2012,Single parent,Rural regions,Yes,0.06518,48,779,0.04784,0.08253
2012,Single parent,Rural regions,No,0.93482,731,779,0.91747,0.95216
2012,Couple with children,Urban regions,Yes,0.12988,484,3689,0.11903,0.14073
2012,Couple with children,Urban regions,No,0.86977,3205,3689,0.85890,0.88063
2012,Couple with children,Rural regions,Yes,0.15566,367,2084,0.14009,0.17123
2012,Couple with children,Rural regions,No,0.84434,1717,2084,0.82877,0.85991
2012,Multi-generational household,Urban regions,No,0.98670,57,57,0.95670,1.01670
2012,Multi-generational household,Rural regions,No,0.87295,55,55,0.78413,0.96178
2012,Other Combinations,Urban regions,No,0.92910,55,55,0.86064,0.99756
2012,Other Combinations,Rural regions,No,0.96763,39,39,0.91135,1.02390
2013,Single-person household,Urban regions,Yes,0.02968,81,2627,0.02319,0.03617
2013,Single-person household,Urban regions,No,0.97004,2546,2627,0.96352,0.97656
2013,Single-person household,Rural regions,Yes,0.05274,61,1215,0.04017,0.06531
2013,Single-person household,Rural regions,No,0.94726,1154,1215,0.93469,0.95983
2013,Couple without children,Urban regions,Yes,0.08356,250,2969,0.07361,0.09352
2013,Couple without children,Urban regions,No,0.91630,2719,2969,0.90634,0.92626
2013,Couple without children,Rural regions,Yes,0.12187,197,1669,0.10617,0.13757
2013,Couple without children,Rural regions,No,0.87813,1472,1669,0.86243,0.89383
2013,Single parent,Urban regions,Yes,0.03541,50,1479,0.02599,0.04483
2013,Single parent,Urban regions,No,0.96379,1429,1479,0.95427,0.97332
