year,regtyp,hgeqpsol,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2007,Urban regions,Yes,0.02758,302,7377,0.02385,0.03132
2007,Urban regions,No,0.92906,7075,7377,0.92320,0.93492
2007,Rural regions,Yes,0.04633,225,3714,0.03957,0.05309
2007,Rural regions,No,0.90227,3489,3714,0.89272,0.91182
2008,Urban regions,Yes,0.03714,347,7100,0.03274,0.04154
2008,Urban regions,No,0.94510,6753,7100,0.93981,0.95040
2008,Rural regions,Yes,0.05066,226,3592,0.04349,0.05784
2008,Rural regions,No,0.93079,3366,3592,0.92249,0.93909
2009,Urban regions,Yes,0.04155,372,6666,0.03676,0.04634
2009,Urban regions,No,0.95002,6294,6666,0.94479,0.95525
2009,Rural regions,Yes,0.06389,264,3462,0.05574,0.07204
2009,Rural regions,No,0.92642,3198,3462,0.91772,0.93511
2010,Urban regions,Yes,0.04854,570,9048,0.04411,0.05297
2010,Urban regions,No,0.94412,8478,9048,0.93938,0.94885
2010,Rural regions,Yes,0.07332,455,4703,0.06587,0.08077
2010,Rural regions,No,0.92158,4248,4703,0.91389,0.92926
2011,Urban regions,Yes,0.05730,791,10737,0.05290,0.06170
2011,Urban regions,No,0.94080,9946,10737,0.93634,0.94527
2011,Rural regions,Yes,0.08784,632,5835,0.08057,0.09510
2011,Rural regions,No,0.90847,5203,5835,0.90107,0.91587
2012,Urban regions,Yes,0.06268,842,10439,0.05803,0.06733
2012,Urban regions,No,0.93520,9597,10439,0.93048,0.93993
2012,Rural regions,Yes,0.09443,676,5852,0.08694,0.10193
2012,Rural regions,No,0.90407,5176,5852,0.89652,0.91161
2013,Urban regions,Yes,0.06762,875,11846,0.06309,0.07214
2013,Urban regions,No,0.93212,10971,11846,0.92759,0.93665
2013,Rural regions,Yes,0.10274,688,6017,0.09507,0.11041
2013,Rural regions,No,0.89673,5329,6017,0.88905,0.90442
2014,Urban regions,Yes,0.07609,863,10392,0.07100,0.08119
2014,Urban regions,No,0.92205,9529,10392,0.91689,0.92720
2014,Rural regions,Yes,0.10837,678,5424,0.10010,0.11665
2014,Rural regions,No,0.89084,4746,5424,0.88254,0.89914
2015,Urban regions,Yes,0.07615,859,10370,0.07105,0.08126
2015,Urban regions,No,0.92155,9511,10370,0.91638,0.92673
2015,Rural regions,Yes,0.12000,709,5375,0.11131,0.12868
2015,Rural regions,No,0.87852,4666,5375,0.86978,0.88725
2016,Urban regions,Yes,0.07382,788,9367,0.06852,0.07911
2016,Urban regions,No,0.91919,8579,9367,0.91367,0.92471
2016,Rural regions,Yes,0.11850,635,4920,0.10947,0.12753
2016,Rural regions,No,0.87374,4285,4920,0.86445,0.88302
2017,Urban regions,Yes,0.07842,937,10230,0.07321,0.08363
2017,Urban regions,No,0.91354,9293,10230,0.90810,0.91899
2017,Rural regions,Yes,0.12789,747,5424,0.11901,0.13678
2017,Rural regions,No,0.86268,4677,5424,0.85352,0.87185
2018,Urban regions,Yes,0.08088,907,10160,0.07558,0.08618
2018,Urban regions,No,0.90921,9253,10160,0.90362,0.91479
2018,Rural regions,Yes,0.12548,731,5264,0.11653,0.13443
2018,Rural regions,No,0.86525,4533,5264,0.85602,0.87447
2019,Urban regions,Yes,0.07702,777,8235,0.07126,0.08278
2019,Urban regions,No,0.82733,7458,8235,0.81916,0.83549
2019,Rural regions,Yes,0.12178,646,4372,0.11208,0.13147
2019,Rural regions,No,0.78928,3726,4372,0.77719,0.80137
2020,Urban regions,Yes,0.09171,1102,10972,0.08631,0.09712
2020,Urban regions,No,0.89363,9870,10972,0.88786,0.89940
2020,Rural regions,Yes,0.14265,837,5276,0.13321,0.15209
2020,Rural regions,No,0.84752,4439,5276,0.83781,0.85722
2021,Urban regions,Yes,0.08049,719,6615,0.07393,0.08704
2021,Urban regions,No,0.79689,5896,6615,0.78719,0.80658
2021,Rural regions,Yes,0.12871,546,3330,0.11734,0.14009
2021,Rural regions,No,0.77788,2784,3330,0.76376,0.79200
2022,Urban regions,Yes,0.11601,1671,13143,0.11054,0.12149
2022,Urban regions,No,0.87016,11472,13143,0.86442,0.87591
2022,Rural regions,Yes,0.18395,1291,6068,0.17420,0.19369
2022,Rural regions,No,0.80905,4777,6068,0.79916,0.81894
