year,hhtyp,hgeqpsol,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2007,Single-person household,Yes,0.00937,43,3020,0.00593,0.01280
2007,Single-person household,No,0.95248,2977,3020,0.94489,0.96007
2007,Couple without children,Yes,0.03730,176,3760,0.03124,0.04336
2007,Couple without children,No,0.91454,3584,3760,0.90560,0.92348
2007,Single parent,No,0.94121,677,677,0.92347,0.95894
2007,Couple with children,Yes,0.06920,280,3439,0.06072,0.07769
2007,Couple with children,No,0.87344,3159,3439,0.86232,0.88455
2007,Multi-generational household,No,0.93530,84,84,0.88238,0.98822
2007,Other Combinations,No,0.83964,83,83,0.76022,0.91906
2008,Single-person household,Yes,0.01585,54,2954,0.01135,0.02036
2008,Single-person household,No,0.97098,2900,2954,0.96492,0.97703
2008,Couple without children,Yes,0.04984,204,3698,0.04282,0.05685
2008,Couple without children,No,0.93524,3494,3698,0.92731,0.94317
2008,Single parent,No,0.95819,655,655,0.94285,0.97353
2008,Couple with children,Yes,0.07859,288,3218,0.06930,0.08789
2008,Couple with children,No,0.89441,2930,3218,0.88379,0.90503
2008,Multi-generational household,No,0.92909,72,72,0.86939,0.98880
2008,Other Combinations,No,0.84265,68,68,0.75546,0.92984
2009,Single-person household,Yes,0.01685,61,2835,0.01211,0.02159
2009,Single-person household,No,0.97659,2774,2835,0.97102,0.98215
2009,Couple without children,Yes,0.06267,239,3533,0.05468,0.07067
2009,Couple without children,No,0.92676,3294,3533,0.91817,0.93535
2009,Single parent,No,0.96096,612,612,0.94560,0.97632
2009,Couple with children,Yes,0.09030,307,2993,0.08003,0.10057
2009,Couple with children,No,0.90040,2686,2993,0.88967,0.91113
2009,Multi-generational household,No,0.95984,62,62,0.91058,1.00911
2009,Other Combinations,No,0.90357,64,64,0.83068,0.97646
2010,Single-person household,Yes,0.02214,73,2682,0.01657,0.02771
2010,Single-person household,No,0.97079,2609,2682,0.96442,0.97717
2010,Couple without children,Yes,0.07019,257,3358,0.06155,0.07883
2010,Couple without children,No,0.92062,3101,3358,0.91148,0.92977
2010,Single parent,Yes,0.02750,53,1843,0.02003,0.03497
2010,Single parent,No,0.96722,1790,1843,0.95908,0.97535
2010,Couple with children,Yes,0.10653,631,5700,0.09852,0.11454
2010,Couple with children,No,0.89027,5069,5700,0.88216,0.89839
2010,Multi-generational household,No,0.95539,95,95,0.91365,0.99712
2010,Other Combinations,No,0.96117,62,62,0.91268,1.00965
2011,Single-person household,Yes,0.03076,128,3526,0.02506,0.03646
2011,Single-person household,No,0.96672,3398,3526,0.96080,0.97265
2011,Couple without children,Yes,0.07750,375,4363,0.06956,0.08543
2011,Couple without children,No,0.91920,3988,4363,0.91111,0.92729
2011,Single parent,Yes,0.03879,90,2304,0.03091,0.04668
2011,Single parent,No,0.96058,2214,2304,0.95263,0.96853
2011,Couple with children,Yes,0.12476,815,6159,0.11651,0.13302
2011,Couple with children,No,0.87337,5344,6159,0.86507,0.88168
2011,Multi-generational household,No,0.94613,113,113,0.90431,0.98794
2011,Other Combinations,No,0.92772,92,92,0.87452,0.98093
2012,Single-person household,Yes,0.03018,127,3677,0.02465,0.03571
2012,Single-person household,No,0.96725,3550,3677,0.96150,0.97300
2012,Couple without children,Yes,0.08703,429,4445,0.07874,0.09532
2012,Couple without children,No,0.91025,4016,4445,0.90184,0.91865
2012,Single parent,Yes,0.04348,100,2179,0.03491,0.05204
2012,Single parent,No,0.95652,2079,2179,0.94796,0.96509
2012,Couple with children,Yes,0.13809,851,5773,0.12919,0.14699
2012,Couple with children,No,0.86167,4922,5773,0.85276,0.87057
2012,Multi-generational household,No,0.92870,112,112,0.88083,0.97657
2012,Other Combinations,No,0.94399,94,94,0.89726,0.99072
2013,Single-person household,Yes,0.03657,142,3842,0.03063,0.04250
2013,Single-person household,No,0.96324,3700,3842,0.95729,0.96919
2013,Couple without children,Yes,0.09684,447,4638,0.08833,0.10536
2013,Couple without children,No,0.90307,4191,4638,0.89455,0.91158
2013,Single parent,Yes,0.04708,98,2243,0.03831,0.05585
2013,Single parent,No,0.95005,2145,2243,0.94104,0.95907
2013,Couple with children,Yes,0.14391,850,6639,0.13546,0.15235
2013,Couple with children,No,0.85574,5789,6639,0.84729,0.86419
2013,Multi-generational household,No,0.97221,141,141,0.94499,0.99944
2013,Other Combinations,No,0.94185,334,334,0.91672,0.96699
2014,Single-person household,Yes,0.04072,144,3559,0.03422,0.04721
2014,Single-person household,No,0.95676,3415,3559,0.95008,0.96344
2014,Couple without children,Yes,0.10835,448,4361,0.09913,0.11758
2014,Couple without children,No,0.89020,3913,4361,0.88092,0.89948
2014,Single parent,Yes,0.04711,103,1814,0.03736,0.05687
2014,Single parent,No,0.95258,1711,1814,0.94280,0.96236
2014,Couple with children,Yes,0.15692,826,5698,0.14748,0.16637
2014,Couple with children,No,0.84293,4872,5698,0.83348,0.85238
2014,Multi-generational household,No,0.93600,114,114,0.89087,0.98112
2014,Other Combinations,No,0.96473,250,250,0.94182,0.98764
2015,Single-person household,Yes,0.04294,164,3617,0.03633,0.04955
2015,Single-person household,No,0.95430,3453,3617,0.94750,0.96111
2015,Couple without children,Yes,0.10638,446,4370,0.09724,0.11553
2015,Couple without children,No,0.89121,3924,4370,0.88197,0.90044
2015,Single parent,Yes,0.05434,94,1710,0.04359,0.06509
2015,Single parent,No,0.94548,1616,1710,0.93472,0.95625
2015,Couple with children,Yes,0.17217,842,5657,0.16233,0.18200
2015,Couple with children,No,0.82703,4815,5657,0.81718,0.83689
2015,Multi-generational household,No,0.90708,130,130,0.85698,0.95718
2015,Other Combinations,No,0.95283,239,239,0.92589,0.97976
2016,Single-person household,Yes,0.03350,129,3379,0.02743,0.03957
2016,Single-person household,No,0.95789,3250,3379,0.95112,0.96467
2016,Couple without children,Yes,0.11446,451,4092,0.10471,0.12422
2016,Couple without children,No,0.88279,3641,4092,0.87294,0.89265
2016,Single parent,Yes,0.06525,81,1524,0.05285,0.07765
2016,Single parent,No,0.92838,1443,1524,0.91543,0.94133
2016,Couple with children,Yes,0.16297,745,4989,0.15272,0.17322
2016,Couple with children,No,0.82776,4244,4989,0.81728,0.83824
2016,Multi-generational household,No,0.86204,98,98,0.79341,0.93067
2016,Other Combinations,No,0.93634,188,188,0.90134,0.97133
2017,Single-person household,Yes,0.04603,181,3826,0.03939,0.05267
2017,Single-person household,No,0.94584,3645,3826,0.93867,0.95301
2017,Couple without children,Yes,0.11659,529,4604,0.10732,0.12586
2017,Couple without children,No,0.87917,4075,4604,0.86975,0.88858
2017,Single parent,Yes,0.06979,97,1537,0.05705,0.08253
2017,Single parent,No,0.92122,1440,1537,0.90775,0.93470
2017,Couple with children,Yes,0.16227,846,5316,0.15235,0.17218
2017,Couple with children,No,0.82555,4470,5316,0.81535,0.83575
2017,Multi-generational household,No,0.89044,106,106,0.83069,0.95018
2017,Other Combinations,No,0.87062,234,234,0.82752,0.91371
2018,Single-person household,Yes,0.04555,181,4017,0.03910,0.05199
2018,Single-person household,No,0.94439,3836,4017,0.93730,0.95147
2018,Couple without children,Yes,0.11637,520,4537,0.10704,0.12570
2018,Couple without children,No,0.88035,4017,4537,0.87091,0.88980
2018,Single parent,Yes,0.06557,99,1510,0.05308,0.07806
2018,Single parent,No,0.92225,1411,1510,0.90874,0.93577
2018,Couple with children,Yes,0.16813,806,5015,0.15777,0.17848
2018,Couple with children,No,0.81641,4209,5015,0.80570,0.82713
2018,Multi-generational household,No,0.88594,106,106,0.82513,0.94674
2018,Other Combinations,No,0.84212,207,207,0.79233,0.89191
2019,Single-person household,Yes,0.04406,158,3261,0.03701,0.05110
2019,Single-person household,No,0.84588,3103,3261,0.83348,0.85827
2019,Couple without children,Yes,0.11157,469,3858,0.10164,0.12151
2019,Couple without children,No,0.78989,3389,3858,0.77704,0.80275
2019,Single parent,Yes,0.06799,82,1233,0.05394,0.08205
2019,Single parent,No,0.82243,1151,1233,0.80109,0.84376
2019,Couple with children,Yes,0.15509,691,4009,0.14389,0.16630
2019,Couple with children,No,0.72465,3318,4009,0.71082,0.73848
2019,Multi-generational household,No,0.82312,77,77,0.73733,0.90891
2019,Other Combinations,No,0.70458,146,146,0.63032,0.77884
2020,Single-person household,Yes,0.05383,254,4588,0.04730,0.06036
2020,Single-person household,No,0.93277,4334,4588,0.92552,0.94002
2020,Couple without children,Yes,0.12890,670,5013,0.11962,0.13817
2020,Couple without children,No,0.86669,4343,5013,0.85728,0.87610
2020,Single parent,Yes,0.07922,103,1337,0.06474,0.09370
2020,Single parent,No,0.90804,1234,1337,0.89255,0.92354
2020,Couple with children,Yes,0.18609,871,4896,0.17519,0.19699
2020,Couple with children,No,0.79155,4025,4896,0.78017,0.80293
2020,Multi-generational household,No,0.83030,102,102,0.75710,0.90351
2020,Other Combinations,No,0.82916,271,271,0.78426,0.87405
2021,Single-person household,Yes,0.04860,171,2798,0.04063,0.05657
2021,Single-person household,No,0.83480,2627,2798,0.82104,0.84857
2021,Couple without children,Yes,0.11655,441,3120,0.10528,0.12781
2021,Couple without children,No,0.79969,2679,3120,0.78564,0.81374
2021,Single parent,Yes,0.08200,69,823,0.06324,0.10075
2021,Single parent,No,0.81533,754,823,0.78881,0.84186
2021,Couple with children,Yes,0.16985,539,2883,0.15614,0.18356
2021,Couple with children,No,0.69249,2344,2883,0.67564,0.70934
2021,Multi-generational household,No,0.73201,58,58,0.61703,0.84700
2021,Other Combinations,Yes,0.07988,31,228,0.04461,0.11515
2021,Other Combinations,No,0.74906,197,228,0.69266,0.80546
2022,Single-person household,Yes,0.08427,435,5564,0.07697,0.09157
2022,Single-person household,No,0.90474,5129,5564,0.89703,0.91246
2022,Couple without children,Yes,0.16567,918,5720,0.15604,0.17531
2022,Couple without children,No,0.82976,4802,5720,0.82002,0.83951
2022,Single parent,Yes,0.10381,107,1142,0.08611,0.12151
2022,Single parent,No,0.88483,1035,1142,0.86631,0.90335
