year,hhtyp,sampreg,hgeqpsol,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2007,Single-person household,West,No,0.95576,2253,2253,0.94727,0.96425
2007,Single-person household,East,No,0.93868,724,724,0.92119,0.95616
2007,Couple without children,West,Yes,0.04012,143,2800,0.03285,0.04739
2007,Couple without children,West,No,0.91405,2657,2800,0.90366,0.92443
2007,Couple without children,East,Yes,0.02610,33,960,0.01601,0.03619
2007,Couple without children,East,No,0.91650,927,960,0.89899,0.93401
2007,Single parent,West,No,0.94202,500,500,0.92151,0.96252
2007,Single parent,East,No,0.93790,177,177,0.90224,0.97355
2007,Couple with children,West,Yes,0.07103,238,2680,0.06130,0.08075
2007,Couple with children,West,No,0.86880,2442,2680,0.85601,0.88158
2007,Couple with children,East,Yes,0.05981,42,759,0.04292,0.07669
2007,Couple with children,East,No,0.89734,717,759,0.87574,0.91895
2007,Multi-generational household,West,No,0.92820,66,66,0.86544,0.99096
2007,Other Combinations,West,No,0.84907,64,64,0.76067,0.93747
2008,Single-person household,West,Yes,0.01736,45,2216,0.01192,0.02280
2008,Single-person household,West,No,0.96898,2171,2216,0.96176,0.97620
2008,Single-person household,East,No,0.97949,729,729,0.96919,0.98978
2008,Couple without children,West,Yes,0.05503,164,2725,0.04647,0.06359
2008,Couple without children,West,No,0.92815,2561,2725,0.91845,0.93785
2008,Couple without children,East,Yes,0.02954,40,973,0.01890,0.04018
2008,Couple without children,East,No,0.96297,933,973,0.95110,0.97484
2008,Single parent,West,No,0.95976,486,486,0.94226,0.97725
2008,Single parent,East,No,0.95200,169,169,0.91967,0.98432
2008,Couple with children,West,Yes,0.08257,253,2508,0.07180,0.09335
2008,Couple with children,West,No,0.88980,2255,2508,0.87754,0.90205
2008,Couple with children,East,Yes,0.05740,35,710,0.04028,0.07452
2008,Couple with children,East,No,0.91899,675,710,0.89890,0.93907
2008,Multi-generational household,West,No,0.91854,55,55,0.84558,0.99150
2008,Other Combinations,West,No,0.82710,53,53,0.72431,0.92989
2009,Single-person household,West,Yes,0.01784,49,2114,0.01220,0.02349
2009,Single-person household,West,No,0.97617,2065,2114,0.96966,0.98267
2009,Single-person household,East,No,0.97842,709,709,0.96772,0.98912
2009,Couple without children,West,Yes,0.06843,196,2585,0.05869,0.07816
2009,Couple without children,West,No,0.91961,2389,2585,0.90912,0.93009
2009,Couple without children,East,Yes,0.03999,43,948,0.02751,0.05247
2009,Couple without children,East,No,0.95496,905,948,0.94175,0.96817
2009,Single parent,West,No,0.95664,444,444,0.93767,0.97561
2009,Single parent,East,No,0.97611,168,168,0.95295,0.99927
2009,Couple with children,West,Yes,0.09588,267,2318,0.08390,0.10787
2009,Couple with children,West,No,0.89377,2051,2318,0.88123,0.90632
2009,Couple with children,East,Yes,0.06174,40,675,0.04357,0.07991
2009,Couple with children,East,No,0.93433,635,675,0.91563,0.95303
2009,Multi-generational household,West,No,0.94546,46,46,0.87911,1.01181
2009,Other Combinations,West,No,0.90200,51,51,0.81959,0.98441
2010,Single-person household,West,Yes,0.02427,62,2004,0.01753,0.03101
2010,Single-person household,West,No,0.96800,1942,2004,0.96029,0.97571
2010,Single-person household,East,No,0.98265,667,667,0.97273,0.99257
