year,migback,regtyp,plj0024_h,proportion,n,proportion_lower_confidence,proportion_upper_confidence
2002,No migration background,Urban regions,Since birth,0.9967835051546392,28961,0.9961313646942423,0.9974356456150361
2002,No migration background,Urban regions,Later,0.0032164948453608246,28961,0.002564354384963958,0.0038686353057576913
2002,No migration background,Rural regions,Since birth,0.998152359295054,28961,0.9976577566049533,0.9986469619851547
2002,No migration background,Rural regions,Later,0.001847640704945992,28961,0.0013530380148453341,0.00234224339504665
2002,Direct migration background,Urban regions,Later,0.5845360824742268,28961,0.5788603539728281,0.5902118109756256
2002,Direct migration background,Urban regions,Since birth,0.4154639175257732,28961,0.40978818902437447,0.42113964602717197
2002,Direct migration background,Rural regions,Since birth,0.5147540983606558,28961,0.5089979743865747,0.5205102223347369
2002,Direct migration background,Rural regions,Later,0.4852459016393443,28961,0.47948977766526324,0.4910020256134253
2002,Indirect migration background,Urban regions,Since birth,0.7254901960784313,28961,0.7203504223721383,0.7306299697847244
2002,Indirect migration background,Urban regions,Later,0.27450980392156865,28961,0.26937003021527567,0.27964957762786163
2002,Indirect migration background,Rural regions,Since birth,0.7450980392156863,28961,0.7400787456996164,0.7501173327317562
2002,Indirect migration background,Rural regions,Later,0.2549019607843137,28961,0.24988266726824382,0.2599212543003836
2003,No migration background,Urban regions,Since birth,0.9976993865030674,27727,0.9971354550545258,0.998263317951609
2003,No migration background,Urban regions,Later,0.0023006134969325155,27727,0.001736682048390943,0.002864544945474088
2003,No migration background,Rural regions,Since birth,0.998220640569395,27727,0.9977245628232331,0.9987167183155569
2003,No migration background,Rural regions,Later,0.0017793594306049821,27727,0.0012832816844430433,0.002275437176766921
2003,Direct migration background,Urban regions,Later,0.611578947368421,27727,0.605841981393791,0.617315913343051
2003,Direct migration background,Urban regions,Since birth,0.38842105263157894,27727,0.382684086656949,0.3941580186062089
2003,Direct migration background,Rural regions,Later,0.5491525423728814,27727,0.543295667552235,0.5550094171935277
2003,Direct migration background,Rural regions,Since birth,0.45084745762711864,27727,0.4449905828064723,0.456704332447765
2003,Indirect migration background,Urban regions,Since birth,0.7085889570552147,27727,0.7032401759797882,0.7139377381306413
2003,Indirect migration background,Urban regions,Later,0.29141104294478526,27727,0.2860622618693587,0.29675982402021184
2003,Indirect migration background,Rural regions,Since birth,0.7586206896551724,27727,0.7535837471605465,0.7636576321497982
2003,Indirect migration background,Rural regions,Later,0.2413793103448276,27727,0.23634236785020177,0.24641625283945343
2004,No migration background,Urban regions,Since birth,0.9971974076020319,26790,0.9965643543344711,0.9978304608695927
2004,No migration background,Urban regions,Later,0.0028025923979681207,26790,0.0021695391304073627,0.0034356456655288787
