year,regtyp,plj0024_h,proportion,n,lower_confidence,upper_confidence
2002,Staedtischer Raum,Seit Geburt,0.6113114990621844,28961,0.6056973825254495,0.6169256155989193
2002,Laendlicher Raum,Seit Geburt,0.3471360554032607,28961,0.3416531532077373,0.3526189575987841
2002,Staedtischer Raum,Erst spaeter,0.033184244697734816,28961,0.031121302199921565,0.03524718719554806
2002,Laendlicher Raum,Erst spaeter,0.008368200836820083,28961,0.007319043639126046,0.00941735803451412
2003,Staedtischer Raum,Seit Geburt,0.6121139788154558,27727,0.6063784582248897,0.617849499406022
2003,Laendlicher Raum,Seit Geburt,0.3435775026107713,27727,0.33798754238222484,0.34916746283931777
2003,Staedtischer Raum,Erst spaeter,0.034959470883683924,27727,0.03279745026169272,0.037121491505675126
2003,Laendlicher Raum,Erst spaeter,0.009349047690089015,27727,0.008216259667507025,0.010481835712671004
2004,Staedtischer Raum,Seit Geburt,0.6117527346731112,26790,0.6059167804458472,0.6175886889003752
2004,Laendlicher Raum,Seit Geburt,0.34342406512337825,26790,0.3377377940773519,0.3491103361694046
2004,Staedtischer Raum,Erst spaeter,0.035868735690663955,26790,0.03364186072989541,0.0380956106514325
2004,Laendlicher Raum,Erst spaeter,0.008954464512846604,26790,0.00782639378713792,0.010082535238555288
2005,Staedtischer Raum,Seit Geburt,0.6109459602930247,25520,0.6049642951180172,0.6169276254680323
2005,Laendlicher Raum,Seit Geburt,0.3445164030151821,25520,0.3386859593620613,0.3503468466683029
2005,Staedtischer Raum,Erst spaeter,0.036362671196517676,25520,0.03406599148812041,0.038659350904914944
2005,Laendlicher Raum,Erst spaeter,0.008174965495275507,25520,0.007070184401537016,0.009279746589014
2006,Staedtischer Raum,Seit Geburt,0.6070835368832438,27321,0.6012921561555487,0.6128749176109389
2006,Laendlicher Raum,Seit Geburt,0.3486077186126038,27321,0.34295707939753073,0.3542583578276769
2006,Staedtischer Raum,Erst spaeter,0.03502686858817782,27321,0.03284682065443416,0.037206916521921485
2006,Laendlicher Raum,Erst spaeter,0.009281875915974597,27321,0.008144770550287771,0.010418981281661422
2007,Staedtischer Raum,Seit Geburt,0.6050673742261069,25385,0.5990538251183251,0.6110809233338887
2007,Laendlicher Raum,Seit Geburt,0.3494615264554394,25385,0.3435960450082966,0.35532700790258215
2007,Staedtischer Raum,Erst spaeter,0.03641850059830394,25385,0.034114021652623616,0.038722979543984265
2007,Laendlicher Raum,Erst spaeter,0.009052598720149836,25385,0.007887455201093406,0.010217742239206266
2008,Staedtischer Raum,Seit Geburt,0.6041460464093259,23673,0.5979163356295533,0.6103757571890985
2008,Laendlicher Raum,Seit Geburt,0.34828989332453536,23673,0.3422207542919456,0.3543590323571251
2008,Staedtischer Raum,Erst spaeter,0.03849114703618168,23673,0.03604046767907003,0.04094182639329333
2008,Laendlicher Raum,Erst spaeter,0.009072913229957109,23673,0.007865033617416445,0.010280792842497773
2009,Staedtischer Raum,Seit Geburt,0.6021019257867544,21983,0.5956314902001778,0.6085723613733309
2009,Laendlicher Raum,Seit Geburt,0.3546265852512917,21983,0.34830241180803106,0.36095075869455234
2009,Staedtischer Raum,Erst spaeter,0.03464067637388445,21983,0.03222326661643121,0.037058086131337695
2009,Laendlicher Raum,Erst spaeter,0.008630812588069517,21983,0.007408010581164673,0.00985361459497436
2010,Staedtischer Raum,Seit Geburt,0.5899125756556826,35837,0.5848201781000651,0.5950049732113
2010,Laendlicher Raum,Seit Geburt,0.3480385563774938,35837,0.3431066493198926,0.352970463435095
2010,Staedtischer Raum,Erst spaeter,0.04864380183815288,35837,0.04641651793023915,0.050871085746066615
2010,Laendlicher Raum,Erst spaeter,0.013405066128670701,35837,0.012214388568411264,0.014595743688930138
2012,Staedtischer Raum,Seit Geburt,0.5796667434538892,40229,0.5748431297374896,0.5844903571702889
2012,Laendlicher Raum,Seit Geburt,0.3615910312523996,40229,0.3568959321077741,0.3662861303970251
2012,Staedtischer Raum,Erst spaeter,0.042693695769024036,40229,0.040718119558880606,0.044669271979167466
2012,Laendlicher Raum,Erst spaeter,0.01604852952468709,40229,0.0148205505947363,0.017276508454637882
2013,Staedtischer Raum,Seit Geburt,0.5547855403633639,44486,0.5501671398826027,0.5594039408441251
