year,age_gr,pgisced97,plj0024_h,proportion,n,proportion_lower_confidence,proportion_upper_confidence
2002,18-29 y.,in school,Since birth,0.9735099337748344,28961,0.971660405349792,0.9753594621998768
2002,18-29 y.,in school,Later,0.026490066225165563,28961,0.024640537800123187,0.02833959465020794
2002,18-29 y.,inadequately,Since birth,0.9642857142857143,28961,0.9621483765904485,0.9664230519809801
2002,18-29 y.,inadequately,Later,0.03571428571428571,28961,0.033576948019019906,0.03785162340955152
2002,18-29 y.,general elementary,Since birth,0.9279141104294478,28961,0.9249353998005404,0.9308928210583552
2002,18-29 y.,general elementary,Later,0.07208588957055215,28961,0.06910717894164475,0.07506460019945954
2002,18-29 y.,middle vocational,Since birth,0.9476534296028881,28961,0.9450882476225118,0.9502186115832645
2002,18-29 y.,middle vocational,Later,0.052346570397111915,28961,0.04978138841673559,0.054911752377488236
2002,18-29 y.,vocational + Abi,Since birth,0.95703125,28961,0.9546957024480086,0.9593667975519914
2002,18-29 y.,vocational + Abi,Later,0.04296875,28961,0.04063320244800862,0.04530429755199138
2002,18-29 y.,higher vocational,Since birth,0.9215686274509803,28961,0.9184722204332243,0.9246650344687364
2002,18-29 y.,higher vocational,Later,0.0784313725490196,28961,0.07533496553126358,0.08152777956677563
2002,18-29 y.,higher education,Since birth,0.9761904761904762,28961,0.974434607913745,0.9779463444672073
2002,18-29 y.,higher education,Later,0.023809523809523808,28961,0.022053655532792666,0.02556539208625495
2002,30-45 y.,inadequately,Since birth,0.9285714285714286,28961,0.9256052797650205,0.9315375773778367
2002,30-45 y.,inadequately,Later,0.07142857142857142,28961,0.06846242262216333,0.07439472023497952
2002,30-45 y.,general elementary,Since birth,0.852112676056338,28961,0.8480241828288575,0.8562011692838185
2002,30-45 y.,general elementary,Later,0.14788732394366197,28961,0.1437988307161815,0.15197581717114245
2002,30-45 y.,middle vocational,Since birth,0.9600447052249231,28961,0.957789000794892,0.9623004096549542
2002,30-45 y.,middle vocational,Later,0.03995529477507684,28961,0.037699590345045754,0.04221099920510792
2002,30-45 y.,vocational + Abi,Since birth,0.888015717092338,28961,0.884383781339586,0.89164765284509
2002,30-45 y.,vocational + Abi,Later,0.11198428290766209,28961,0.10835234715491013,0.11561621866041405
2002,30-45 y.,higher vocational,Since birth,0.9614285714285714,28961,0.9592106780276757,0.9636464648294671
2002,30-45 y.,higher vocational,Later,0.03857142857142857,28961,0.03635353517053281,0.04078932197232433
2002,30-45 y.,higher education,Since birth,0.9612784265519361,28961,0.959056394134072,0.9635004589698002
2002,30-45 y.,higher education,Later,0.03872157344806392,28961,0.03649954103019983,0.04094360586592801
2002,46-65 y.,inadequately,Since birth,0.6666666666666666,28961,0.6612373766918633,0.6720959566414699
2002,46-65 y.,inadequately,Later,0.3333333333333333,28961,0.3279040433585301,0.33876262330813656
2002,46-65 y.,general elementary,Since birth,0.9484346224677717,28961,0.9458876039928679,0.9509816409426755
2002,46-65 y.,general elementary,Later,0.05156537753222836,28961,0.049018359057324525,0.0541123960071322
2002,46-65 y.,middle vocational,Since birth,0.9766476388168137,28961,0.9749083021742625,0.9783869754593649
2002,46-65 y.,middle vocational,Later,0.0233523611831863,28961,0.02161302454063514,0.025091697825737464
2002,46-65 y.,vocational + Abi,Since birth,0.8776595744680851,28961,0.8738856140978283,0.8814335348383419
2002,46-65 y.,vocational + Abi,Later,0.12234042553191489,28961,0.11856646516165807,0.12611438590217172
2002,46-65 y.,higher vocational,Since birth,0.9602543720190779,28961,0.958004348163182,0.9625043958749738
2002,46-65 y.,higher vocational,Later,0.0397456279809221,28961,0.03749560412502621,0.041995651836817985
2002,46-65 y.,higher education,Since birth,0.9607843137254902,28961,0.9585487237358653,0.9630199037151151
2002,46-65 y.,higher education,Later,0.0392156862745098,28961,0.036980096284884925,0.04145127626413468
