year,plj0024_h,pgisced97,sampreg,proportion,n,lower_confidence,upper_confidence
2002,Since birth,middle vocational,West,0.3896051367612114,28961,0.38398861990349836,0.3952216536189244
2002,Since birth,higher education,West,0.1457606552404065,28961,0.14169660343182203,0.14982470704899095
2002,Since birth,middle vocational,East,0.14464836442691745,28961,0.1405972136862631,0.1486995151675718
2002,Since birth,general elementary,West,0.08554527529197634,28961,0.08232399576272136,0.08876655482123132
2002,Since birth,higher education,East,0.06628242074927954,28961,0.06341721217018409,0.06914762932837498
2002,Since birth,higher vocational,West,0.05819303301481369,28961,0.055496748357023416,0.060889317672603964
2002,Since birth,vocational + Abi,West,0.04090196673239294,28961,0.03862082174060574,0.04318311172418014
2002,Since birth,higher vocational,East,0.02280196167652561,28961,0.02108276052454005,0.02452116282851117
2002,Since birth,general elementary,East,0.01961676525607968,28961,0.018019559266817527,0.021213971245341832
2002,Since birth,in school,West,0.010819556094848071,28961,0.00962806232211771,0.012011049867578432
2002,Since birth,vocational + Abi,East,0.0067243035542747355,28961,0.005783047344456815,0.007665559764092656
2002,Since birth,inadequately,West,0.004196369887254158,28961,0.0034518556141094124,0.004940884160398904
2002,Since birth,in school,East,0.004044693867232924,28961,0.003313702837369886,0.004775684897095961
2002,Since birth,inadequately,East,0.0008594974467869963,28961,0.0005219888244384189,0.0011970060691355736
2002,Later,middle vocational,West,0.39789964994165694,28961,0.3922623581755864,0.40353694170772747
2002,Later,higher education,West,0.17736289381563594,28961,0.17296358118983748,0.1817622064414344
2002,Later,general elementary,West,0.16219369894982497,28961,0.15794810852771973,0.1664392893719302
2002,Later,vocational + Abi,West,0.11668611435239207,28961,0.1129885442856132,0.12038368441917094
2002,Later,higher vocational,West,0.07817969661610269,28961,0.07508783947191418,0.0812715537602912
2002,Later,inadequately,West,0.029171528588098017,28961,0.027233321666757838,0.031109735509438196
2002,Later,middle vocational,East,0.014002333722287048,28961,0.012649054387082618,0.01535561305749148
2002,Later,in school,West,0.009334889148191364,28961,0.008227329024216253,0.010442449272166476
2002,Later,higher education,East,0.009334889148191364,28961,0.008227329024216253,0.010442449272166476
2002,Later,general elementary,East,0.004667444574095682,28961,0.0038824385601977096,0.005452450587993655
2002,Later,higher vocational,East,0.0011668611435239206,28961,0.0007736685260749279,0.0015600537609729132
2003,Since birth,middle vocational,West,0.3853312302839117,27727,0.3796027119331976,0.3910597486346258
2003,Since birth,middle vocational,East,0.14695057833859096,27727,0.14278306137381208,0.15111809530336984
2003,Since birth,higher education,West,0.14384858044164037,27727,0.13971779430394532,0.14797936657933541
2003,Since birth,general elementary,West,0.08291272344900105,27727,0.07966693242726902,0.08615851447073308
2003,Since birth,higher education,East,0.06724500525762356,27727,0.06429706663057355,0.07019294388467356
