year,plj0024_h,proportion,n,proportion_lower_confidence,proportion_upper_confidence
2002,Since birth,0.958447554465445,28961,0.9561491219029102,0.9607459870279799
2002,Later,0.0415524455345549,28961,0.03925401297202009,0.043850878097089714
2003,Since birth,0.9556914814262271,27727,0.9532692975848895,0.9581136652675646
2003,Later,0.04430851857377294,27727,0.04188633473243547,0.0467307024151104
2004,Since birth,0.9551767997964894,26790,0.9526990181747189,0.9576545814182599
2004,Later,0.044823200203510556,26790,0.04234541858174009,0.04730098182528102
2005,Since birth,0.9554623633082068,25520,0.9529313984643808,0.9579933281520328
2005,Later,0.044537636691793184,25520,0.04200667184796718,0.04706860153561919
2006,Since birth,0.9556912554958475,27321,0.9532511348245318,0.9581313761671633
2006,Later,0.04430874450415242,27321,0.04186862383283671,0.04674886517546813
2007,Since birth,0.9545289006815463,25385,0.951966011926501,0.9570917894365916
2007,Later,0.04547109931845377,25385,0.04290821056340846,0.04803398807349908
2008,Since birth,0.9524359397338612,23673,0.949724582322213,0.9551472971455094
2008,Later,0.04756406026613879,23673,0.044852702854490605,0.050275417677786975
2009,Since birth,0.956728511038046,21983,0.9540387861018003,0.9594182359742918
2009,Later,0.04327148896195397,21983,0.04058176402570824,0.0459612138981997
2010,Since birth,0.9379511320331764,35837,0.9354533917091971,0.9404488723571557
2010,Later,0.06204886796682358,35837,0.05955112764284426,0.0645466082908029
2012,Since birth,0.9412577747062889,40229,0.9389599550600739,0.9435555943525039
2012,Later,0.05874222529371113,40229,0.05644440564749617,0.06104004493992608
2013,Since birth,0.8914778048323656,44486,0.8885873981999757,0.8943682114647555
2013,Later,0.1085221951676344,44486,0.1056317885352445,0.11141260180002428
2014,Since birth,0.9014307762899929,38694,0.8984606759837006,0.9044008765962852
2014,Later,0.09856922371000709,38694,0.0955991234037148,0.10153932401629938
2015,Since birth,0.900841662283009,38036,0.897838024888932,0.9038452996770859
2015,Later,0.09915833771699106,38036,0.09615470032291416,0.10216197511106796
2016,Since birth,0.904043509103807,41132,0.9011970955236688,0.9068899226839453
2016,Later,0.09595649089619296,41132,0.09311007731605467,0.09880290447633125
2017,Since birth,0.9111908783783784,45410,0.9085744202473509,0.9138073365094059
2017,Later,0.08880912162162162,45410,0.0861926634905941,0.09142557975264914
2018,Since birth,0.9118454898199416,43121,0.9091694377784918,0.9145215418613915
2018,Later,0.08815451018005842,43121,0.08547845813860855,0.09083056222150829
2020,Since birth,0.9203539823008849,42741,0.9177871753142662,0.9229207892875037
2020,Later,0.07964601769911504,42741,0.07707921071249636,0.08221282468573372
2021,Since birth,0.9230116787368696,27598,0.9198665872054176,0.9261567702683217
2021,Later,0.07698832126313042,27598,0.07384322973167838,0.08013341279458246
