year,quintil_oecd,regtyp,ple0081_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2002,1st Quintile,Urban regions,Yes,0.36159,828,2170,0.34137,0.38181
2002,1st Quintile,Urban regions,No,0.63841,1342,2170,0.61819,0.65863
2002,1st Quintile,Rural regions,Yes,0.37221,532,1298,0.34591,0.39852
2002,1st Quintile,Rural regions,No,0.62779,766,1298,0.60148,0.65409
2002,2nd Quintile,Urban regions,Yes,0.31269,747,2373,0.29403,0.33135
2002,2nd Quintile,Urban regions,No,0.68731,1626,2373,0.66865,0.70597
2002,2nd Quintile,Rural regions,Yes,0.26363,424,1546,0.24166,0.28561
2002,2nd Quintile,Rural regions,No,0.73637,1122,1546,0.71439,0.75834
2002,3rd Quintile,Urban regions,Yes,0.32483,842,2578,0.30675,0.34292
2002,3rd Quintile,Urban regions,No,0.67517,1736,2578,0.65708,0.69325
2002,3rd Quintile,Rural regions,Yes,0.29387,444,1461,0.27051,0.31724
2002,3rd Quintile,Rural regions,No,0.70613,1017,1461,0.68276,0.72949
2002,4th Quintile,Urban regions,Yes,0.30562,844,2757,0.28842,0.32282
2002,4th Quintile,Urban regions,No,0.69438,1913,2757,0.67718,0.71158
2002,4th Quintile,Rural regions,Yes,0.26789,425,1609,0.24624,0.28953
2002,4th Quintile,Rural regions,No,0.73211,1184,1609,0.71047,0.75376
2002,5th Quintile,Urban regions,Yes,0.27106,1013,3687,0.25671,0.28541
2002,5th Quintile,Urban regions,No,0.72894,2674,3687,0.71459,0.74329
2002,5th Quintile,Rural regions,Yes,0.24532,341,1311,0.22202,0.26862
2002,5th Quintile,Rural regions,No,0.75468,970,1311,0.73138,0.77798
2004,1st Quintile,Urban regions,Yes,0.38665,789,2058,0.36561,0.40770
2004,1st Quintile,Urban regions,No,0.61335,1269,2058,0.59230,0.63439
2004,1st Quintile,Rural regions,Yes,0.37246,471,1190,0.34498,0.39994
2004,1st Quintile,Rural regions,No,0.62754,719,1190,0.60006,0.65502
2004,2nd Quintile,Urban regions,Yes,0.30023,725,2312,0.28154,0.31892
2004,2nd Quintile,Urban regions,No,0.69977,1587,2312,0.68108,0.71846
2004,2nd Quintile,Rural regions,Yes,0.28024,438,1466,0.25724,0.30324
2004,2nd Quintile,Rural regions,No,0.71976,1028,1466,0.69676,0.74276
2004,3rd Quintile,Urban regions,Yes,0.30724,784,2513,0.28920,0.32528
2004,3rd Quintile,Urban regions,No,0.69276,1729,2513,0.67472,0.71080
2004,3rd Quintile,Rural regions,Yes,0.27323,416,1491,0.25060,0.29586
2004,3rd Quintile,Rural regions,No,0.72677,1075,1491,0.70414,0.74940
2004,4th Quintile,Urban regions,Yes,0.27378,791,2845,0.25739,0.29017
2004,4th Quintile,Urban regions,No,0.72622,2054,2845,0.70983,0.74261
2004,4th Quintile,Rural regions,Yes,0.25283,415,1497,0.23081,0.27486
2004,4th Quintile,Rural regions,No,0.74717,1082,1497,0.72514,0.76919
2004,5th Quintile,Urban regions,Yes,0.27818,1187,4608,0.26524,0.29112
2004,5th Quintile,Urban regions,No,0.72182,3421,4608,0.70888,0.73476
2004,5th Quintile,Rural regions,Yes,0.24962,359,1578,0.22826,0.27098
2004,5th Quintile,Rural regions,No,0.75038,1219,1578,0.72902,0.77174
2006,1st Quintile,Urban regions,Yes,0.40571,778,1896,0.38360,0.42782
2006,1st Quintile,Urban regions,No,0.59429,1118,1896,0.57218,0.61640
2006,1st Quintile,Rural regions,Yes,0.37965,431,1049,0.35027,0.40903
2006,1st Quintile,Rural regions,No,0.62035,618,1049,0.59097,0.64973
2006,2nd Quintile,Urban regions,Yes,0.31310,621,2018,0.29286,0.33334
2006,2nd Quintile,Urban regions,No,0.68690,1397,2018,0.66666,0.70714
2006,2nd Quintile,Rural regions,Yes,0.30107,391,1299,0.27612,0.32603
2006,2nd Quintile,Rural regions,No,0.69893,908,1299,0.67397,0.72388
2006,3rd Quintile,Urban regions,Yes,0.29904,661,2188,0.27986,0.31823
2006,3rd Quintile,Urban regions,No,0.70096,1527,2188,0.68177,0.72014
2006,3rd Quintile,Rural regions,Yes,0.21887,329,1388,0.19710,0.24063
2006,3rd Quintile,Rural regions,No,0.78113,1059,1388,0.75937,0.80290
2006,4th Quintile,Urban regions,Yes,0.27653,679,2635,0.25945,0.29361
2006,4th Quintile,Urban regions,No,0.72347,1956,2635,0.70639,0.74055
2006,4th Quintile,Rural regions,Yes,0.25225,339,1334,0.22893,0.27556
2006,4th Quintile,Rural regions,No,0.74775,995,1334,0.72444,0.77107
2006,5th Quintile,Urban regions,Yes,0.27407,1018,4118,0.26045,0.28770
2006,5th Quintile,Urban regions,No,0.72593,3100,4118,0.71230,0.73955
2006,5th Quintile,Rural regions,Yes,0.27042,332,1400,0.24714,0.29369
2006,5th Quintile,Rural regions,No,0.72958,1068,1400,0.70631,0.75286
2008,1st Quintile,Urban regions,Yes,0.37014,693,1871,0.34826,0.39203
2008,1st Quintile,Urban regions,No,0.62986,1178,1871,0.60797,0.65174
2008,1st Quintile,Rural regions,Yes,0.37102,433,1098,0.34243,0.39961
2008,1st Quintile,Rural regions,No,0.62898,665,1098,0.60039,0.65757
2008,2nd Quintile,Urban regions,Yes,0.29983,588,2055,0.28002,0.31965
2008,2nd Quintile,Urban regions,No,0.70017,1467,2055,0.68035,0.71998
2008,2nd Quintile,Rural regions,Yes,0.28485,353,1312,0.26042,0.30928
2008,2nd Quintile,Rural regions,No,0.71515,959,1312,0.69072,0.73958
2008,3rd Quintile,Urban regions,Yes,0.28339,622,2279,0.26489,0.30190
2008,3rd Quintile,Urban regions,No,0.71661,1657,2279,0.69810,0.73511
2008,3rd Quintile,Rural regions,Yes,0.26005,377,1536,0.23810,0.28199
2008,3rd Quintile,Rural regions,No,0.73995,1159,1536,0.71801,0.76190
2008,4th Quintile,Urban regions,Yes,0.27715,660,2562,0.25981,0.29448
2008,4th Quintile,Urban regions,No,0.72285,1902,2562,0.70552,0.74019
2008,4th Quintile,Rural regions,Yes,0.25839,338,1312,0.23470,0.28209
2008,4th Quintile,Rural regions,No,0.74161,974,1312,0.71791,0.76530
2008,5th Quintile,Urban regions,Yes,0.22678,825,3919,0.21367,0.23989
2008,5th Quintile,Urban regions,No,0.77322,3094,3919,0.76011,0.78633
2008,5th Quintile,Rural regions,Yes,0.23714,299,1345,0.21440,0.25988
2008,5th Quintile,Rural regions,No,0.76286,1046,1345,0.74012,0.78560
2010,1st Quintile,Urban regions,Yes,0.35232,608,1658,0.32932,0.37532
2010,1st Quintile,Urban regions,No,0.64768,1050,1658,0.62468,0.67068
2010,1st Quintile,Rural regions,Yes,0.35347,361,916,0.32249,0.38445
2010,1st Quintile,Rural regions,No,0.64653,555,916,0.61555,0.67751
2010,2nd Quintile,Urban regions,Yes,0.27517,491,1773,0.25437,0.29596
2010,2nd Quintile,Urban regions,No,0.72483,1282,1773,0.70404,0.74563
2010,2nd Quintile,Rural regions,Yes,0.26258,325,1235,0.23803,0.28714
2010,2nd Quintile,Rural regions,No,0.73742,910,1235,0.71286,0.76197
2010,3rd Quintile,Urban regions,Yes,0.26835,468,1895,0.24840,0.28831
