year,pgisced97,ple0081_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2002,No answer / don't know,Yes,0.48187,88,186,0.40986,0.55387
2002,No answer / don't know,No,0.51813,98,186,0.44613,0.59014
2002,Pre-primary Level,Yes,0.22568,137,612,0.19253,0.25883
2002,Pre-primary Level,No,0.77432,475,612,0.74117,0.80747
2002,Primary Level,Yes,0.39051,109,287,0.33397,0.44705
2002,Primary Level,No,0.60949,178,287,0.55295,0.66603
2002,Lower Secondary Level,Yes,0.30416,962,2890,0.28738,0.32093
2002,Lower Secondary Level,No,0.69584,1928,2890,0.67907,0.71262
2002,Upper Secondary Level,Yes,0.33333,3929,11579,0.32474,0.34191
2002,Upper Secondary Level,No,0.66667,7650,11579,0.65809,0.67526
2002,Post-secondary Non-tertiary Level,Yes,0.30042,355,1165,0.27408,0.32675
2002,Post-secondary Non-tertiary Level,No,0.69958,810,1165,0.67325,0.72592
2002,First Stage of Tertiary Education,Yes,0.25974,470,1742,0.23915,0.28034
2002,First Stage of Tertiary Education,No,0.74026,1272,1742,0.71966,0.76085
2002,Second Stage of Tertiary Education,Yes,0.22651,977,4556,0.21435,0.23866
2002,Second Stage of Tertiary Education,No,0.77349,3579,4556,0.76134,0.78565
2004,No answer / don't know,Yes,0.40565,110,266,0.34653,0.46476
2004,No answer / don't know,No,0.59435,156,266,0.53524,0.65347
2004,Pre-primary Level,Yes,0.23767,150,639,0.20464,0.27070
2004,Pre-primary Level,No,0.76233,489,639,0.72930,0.79536
2004,Primary Level,Yes,0.40765,102,255,0.34722,0.46809
2004,Primary Level,No,0.59235,153,255,0.53191,0.65278
2004,Lower Secondary Level,Yes,0.30030,805,2564,0.28255,0.31804
2004,Lower Secondary Level,No,0.69970,1759,2564,0.68196,0.71745
2004,Upper Secondary Level,Yes,0.32711,3561,10759,0.31824,0.33597
2004,Upper Secondary Level,No,0.67289,7198,10759,0.66403,0.68176
2004,Post-secondary Non-tertiary Level,Yes,0.29613,337,1153,0.26977,0.32250
2004,Post-secondary Non-tertiary Level,No,0.70387,816,1153,0.67750,0.73023
2004,First Stage of Tertiary Education,Yes,0.25431,434,1639,0.23322,0.27540
2004,First Stage of Tertiary Education,No,0.74569,1205,1639,0.72460,0.76678
2004,Second Stage of Tertiary Education,Yes,0.22551,877,4286,0.21299,0.23802
2004,Second Stage of Tertiary Education,No,0.77449,3409,4286,0.76198,0.78701
2006,No answer / don't know,Yes,0.43659,133,325,0.38259,0.49060
2006,No answer / don't know,No,0.56341,192,325,0.50940,0.61741
2006,Pre-primary Level,Yes,0.23061,87,397,0.18912,0.27209
2006,Pre-primary Level,No,0.76939,310,397,0.72791,0.81088
2006,Primary Level,Yes,0.47591,100,240,0.41259,0.53923
2006,Primary Level,No,0.52409,140,240,0.46077,0.58741
2006,Lower Secondary Level,Yes,0.32053,802,2477,0.30215,0.33891
2006,Lower Secondary Level,No,0.67947,1675,2477,0.66109,0.69785
2006,Upper Secondary Level,Yes,0.32642,3519,11069,0.31769,0.33516
2006,Upper Secondary Level,No,0.67358,7550,11069,0.66484,0.68231
2006,Post-secondary Non-tertiary Level,Yes,0.29303,344,1211,0.26739,0.31868
2006,Post-secondary Non-tertiary Level,No,0.70697,867,1211,0.68132,0.73261
2006,First Stage of Tertiary Education,Yes,0.25555,404,1649,0.23449,0.27661
2006,First Stage of Tertiary Education,No,0.74445,1245,1649,0.72339,0.76551
2006,Second Stage of Tertiary Education,Yes,0.21413,883,4574,0.20224,0.22602
2006,Second Stage of Tertiary Education,No,0.78587,3691,4574,0.77398,0.79776
2008,No answer / don't know,Yes,0.39489,123,335,0.34246,0.44731
2008,No answer / don't know,No,0.60511,212,335,0.55269,0.65754
2008,Pre-primary Level,Yes,0.17652,56,354,0.13675,0.21630
2008,Pre-primary Level,No,0.82348,298,354,0.78370,0.86325
2008,Primary Level,Yes,0.46058,79,184,0.38836,0.53280
2008,Primary Level,No,0.53942,105,184,0.46720,0.61164
2008,Lower Secondary Level,Yes,0.30176,592,2006,0.28166,0.32185
2008,Lower Secondary Level,No,0.69824,1414,2006,0.67815,0.71834
2008,Upper Secondary Level,Yes,0.31768,2963,9720,0.30843,0.32694
2008,Upper Secondary Level,No,0.68232,6757,9720,0.67306,0.69157
2008,Post-secondary Non-tertiary Level,Yes,0.28026,297,1089,0.25357,0.30695
2008,Post-secondary Non-tertiary Level,No,0.71974,792,1089,0.69305,0.74643
2008,First Stage of Tertiary Education,Yes,0.24064,332,1413,0.21834,0.26294
2008,First Stage of Tertiary Education,No,0.75936,1081,1413,0.73706,0.78166
2008,Second Stage of Tertiary Education,Yes,0.18922,747,4190,0.17735,0.20108
2008,Second Stage of Tertiary Education,No,0.81078,3443,4190,0.79892,0.82265
2010,No answer / don't know,Yes,0.33369,99,293,0.27960,0.38777
2010,No answer / don't know,No,0.66631,194,293,0.61223,0.72040
2010,Pre-primary Level,Yes,0.14581,32,271,0.10371,0.18791
2010,Pre-primary Level,No,0.85419,239,271,0.81209,0.89629
2010,Primary Level,Yes,0.45434,59,138,0.37096,0.53772
