year,pgisced97,sex,ple0081_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2002,No answer / don't know,male,Yes,0.48647,53,100,0.38801,0.58493
2002,No answer / don't know,male,No,0.51353,47,100,0.41507,0.61199
2002,No answer / don't know,female,Yes,0.47620,35,86,0.37003,0.58238
2002,No answer / don't know,female,No,0.52380,51,86,0.41762,0.62997
2002,Pre-primary Level,male,Yes,0.20824,60,296,0.16190,0.25457
2002,Pre-primary Level,male,No,0.79176,236,296,0.74543,0.83810
2002,Pre-primary Level,female,Yes,0.24485,77,316,0.19736,0.29233
2002,Pre-primary Level,female,No,0.75515,239,316,0.70767,0.80264
2002,Primary Level,male,Yes,0.54048,66,118,0.45018,0.63079
2002,Primary Level,male,No,0.45952,52,118,0.36921,0.54982
2002,Primary Level,female,Yes,0.26952,43,169,0.20242,0.33662
2002,Primary Level,female,No,0.73048,126,169,0.66338,0.79758
2002,Lower Secondary Level,male,Yes,0.47300,455,946,0.44116,0.50483
2002,Lower Secondary Level,male,No,0.52700,491,946,0.49517,0.55884
2002,Lower Secondary Level,female,Yes,0.23118,507,1944,0.21243,0.24992
2002,Lower Secondary Level,female,No,0.76882,1437,1944,0.75008,0.78757
2002,Upper Secondary Level,male,Yes,0.38883,2200,5562,0.37602,0.40165
2002,Upper Secondary Level,male,No,0.61117,3362,5562,0.59835,0.62398
2002,Upper Secondary Level,female,Yes,0.27932,1729,6017,0.26798,0.29065
2002,Upper Secondary Level,female,No,0.72068,4288,6017,0.70935,0.73202
2002,Post-secondary Non-tertiary Level,male,Yes,0.39864,192,493,0.35538,0.44191
2002,Post-secondary Non-tertiary Level,male,No,0.60136,301,493,0.55809,0.64462
2002,Post-secondary Non-tertiary Level,female,Yes,0.22188,163,672,0.19044,0.25332
2002,Post-secondary Non-tertiary Level,female,No,0.77812,509,672,0.74668,0.80956
2002,First Stage of Tertiary Education,male,Yes,0.28379,296,1009,0.25596,0.31163
2002,First Stage of Tertiary Education,male,No,0.71621,713,1009,0.68837,0.74404
2002,First Stage of Tertiary Education,female,Yes,0.22477,174,733,0.19453,0.25501
2002,First Stage of Tertiary Education,female,No,0.77523,559,733,0.74499,0.80547
2002,Second Stage of Tertiary Education,male,Yes,0.25009,608,2599,0.23344,0.26674
2002,Second Stage of Tertiary Education,male,No,0.74991,1991,2599,0.73326,0.76656
2002,Second Stage of Tertiary Education,female,Yes,0.19359,369,1957,0.17608,0.21110
2002,Second Stage of Tertiary Education,female,No,0.80641,1588,1957,0.78890,0.82392
2004,No answer / don't know,male,Yes,0.44799,65,140,0.36532,0.53066
2004,No answer / don't know,male,No,0.55201,75,140,0.46934,0.63468
2004,No answer / don't know,female,Yes,0.35709,45,126,0.27310,0.44109
2004,No answer / don't know,female,No,0.64291,81,126,0.55891,0.72690
2004,Pre-primary Level,male,Yes,0.22549,63,309,0.17882,0.27216
2004,Pre-primary Level,male,No,0.77451,246,309,0.72784,0.82118
2004,Pre-primary Level,female,Yes,0.25138,87,330,0.20450,0.29826
2004,Pre-primary Level,female,No,0.74862,243,330,0.70174,0.79550
2004,Primary Level,male,Yes,0.58349,62,102,0.48734,0.67963
