year,sampreg,sex,ple0081_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2002,West,male,Yes,0.35640,2960,8493,0.34621,0.36659
2002,West,male,No,0.64360,5533,8493,0.63341,0.65379
2002,West,female,Yes,0.26141,2465,9099,0.25238,0.27043
2002,West,female,No,0.73859,6634,9099,0.72957,0.74762
2002,East,male,Yes,0.37589,970,2630,0.35738,0.39441
2002,East,male,No,0.62411,1660,2630,0.60559,0.64262
2002,East,female,Yes,0.21835,632,2795,0.20303,0.23366
2002,East,female,No,0.78165,2163,2795,0.76634,0.79697
2004,West,male,Yes,0.34696,2624,7862,0.33644,0.35748
2004,West,male,No,0.65304,5238,7862,0.64252,0.66356
2004,West,female,Yes,0.25874,2237,8489,0.24943,0.26806
2004,West,female,No,0.74126,6252,8489,0.73194,0.75057
2004,East,male,Yes,0.35839,880,2496,0.33958,0.37721
2004,East,male,No,0.64161,1616,2496,0.62279,0.66042
2004,East,female,Yes,0.23204,635,2714,0.21616,0.24793
2004,East,female,No,0.76796,2079,2714,0.75207,0.78384
2006,West,male,Yes,0.34106,2533,7931,0.33062,0.35149
2006,West,male,No,0.65894,5398,7931,0.64851,0.66938
2006,West,female,Yes,0.27296,2266,8743,0.26362,0.28229
2006,West,female,No,0.72704,6477,8743,0.71771,0.73638
2006,East,male,Yes,0.34325,833,2525,0.32473,0.36177
2006,East,male,No,0.65675,1692,2525,0.63823,0.67527
2006,East,female,Yes,0.22917,640,2743,0.21344,0.24490
2006,East,female,No,0.77083,2103,2743,0.75510,0.78656
2008,West,male,Yes,0.32789,2093,6896,0.31680,0.33897
2008,West,male,No,0.67211,4803,6896,0.66103,0.68320
2008,West,female,Yes,0.24758,1808,7634,0.23790,0.25726
2008,West,female,No,0.75242,5826,7634,0.74274,0.76210
2008,East,male,Yes,0.33252,720,2301,0.31327,0.35177
2008,East,male,No,0.66748,1581,2301,0.64823,0.68673
2008,East,female,Yes,0.24034,568,2460,0.22346,0.25723
2008,East,female,No,0.75966,1892,2460,0.74277,0.77654
2010,West,male,Yes,0.31517,1741,5934,0.30334,0.32699
2010,West,male,No,0.68483,4193,5934,0.67301,0.69666
2010,West,female,Yes,0.23697,1506,6569,0.22669,0.24726
2010,West,female,No,0.76303,5063,6569,0.75274,0.77331
2010,East,male,Yes,0.31214,608,1982,0.29174,0.33255
2010,East,male,No,0.68786,1374,1982,0.66745,0.70826
2010,East,female,Yes,0.21438,482,2136,0.19697,0.23179
2010,East,female,No,0.78562,1654,2136,0.76821,0.80303
2012,West,male,Yes,0.29964,2057,7332,0.28916,0.31013
2012,West,male,No,0.70036,5275,7332,0.68987,0.71084
2012,West,female,Yes,0.23058,1875,8265,0.22150,0.23966
2012,West,female,No,0.76942,6390,8265,0.76034,0.77850
2012,East,male,Yes,0.33356,725,2286,0.31423,0.35290
2012,East,male,No,0.66644,1561,2286,0.64710,0.68577
2012,East,female,Yes,0.22273,607,2539,0.20654,0.23892
2012,East,female,No,0.77727,1932,2539,0.76108,0.79346
2014,West,male,Yes,0.29946,3014,9880,0.29043,0.30849
2014,West,male,No,0.70054,6866,9880,0.69151,0.70957
2014,West,female,Yes,0.22976,2773,11586,0.22210,0.23742
2014,West,female,No,0.77024,8813,11586,0.76258,0.77790
2014,East,male,Yes,0.34357,834,2537,0.32509,0.36205
2014,East,male,No,0.65643,1703,2537,0.63795,0.67491
2014,East,female,Yes,0.24199,786,3028,0.22673,0.25724
2014,East,female,No,0.75801,2242,3028,0.74276,0.77327
2016,West,male,Yes,0.28102,2505,8767,0.27161,0.29042
2016,West,male,No,0.71898,6262,8767,0.70958,0.72839
2016,West,female,Yes,0.21845,2373,10343,0.21048,0.22641
2016,West,female,No,0.78155,7970,10343,0.77359,0.78952
2016,East,male,Yes,0.33532,730,2272,0.31590,0.35474
2016,East,male,No,0.66468,1542,2272,0.64526,0.68410
2016,East,female,Yes,0.23599,684,2740,0.22009,0.25189
2016,East,female,No,0.76401,2056,2740,0.74811,0.77991
2018,West,male,Yes,0.26980,2464,9224,0.26075,0.27886
2018,West,male,No,0.73020,6760,9224,0.72114,0.73925
2018,West,female,Yes,0.21927,2465,10831,0.21148,0.22706
2018,West,female,No,0.78073,8366,10831,0.77294,0.78852
2018,East,male,Yes,0.31242,799,2518,0.29431,0.33052
2018,East,male,No,0.68758,1719,2518,0.66948,0.70569
2018,East,female,Yes,0.22713,749,2958,0.21203,0.24223
2018,East,female,No,0.77287,2209,2958,0.75777,0.78797
2020,West,male,Yes,0.24733,3105,11181,0.23933,0.25533
2020,West,male,No,0.75267,8076,11181,0.74467,0.76067
2020,West,female,Yes,0.20442,2316,11486,0.19704,0.21179
2020,West,female,No,0.79558,9170,11486,0.78821,0.80296
2020,East,male,Yes,0.29179,843,2764,0.27484,0.30874
2020,East,male,No,0.70821,1921,2764,0.69126,0.72516
2020,East,female,Yes,0.23739,697,2942,0.22201,0.25277
2020,East,female,No,0.76261,2245,2942,0.74723,0.77799
2022,West,male,Yes,0.22220,2121,9920,0.21402,0.23038
2022,West,male,No,0.77780,7799,9920,0.76962,0.78598
2022,West,female,Yes,0.18975,1850,10576,0.18227,0.19722
2022,West,female,No,0.81025,8726,10576,0.80278,0.81773
2022,East,male,Yes,0.25285,676,2635,0.23625,0.26945
2022,East,male,No,0.74715,1959,2635,0.73055,0.76375
2022,East,female,Yes,0.19599,623,2955,0.18168,0.21031
2022,East,female,No,0.80401,2332,2955,0.78969,0.81832
